,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.47942480000000004,0.18911440000000004,0.32718,0.3562352,0.2375824,0.2504976,0.346644,0.3013895999999999,0.470108,0.34646800000000005,0.33946319999999996,0.346644
Random Choice,0.47942480000000004,0.0,0.47872,0.47888,0.477696,0.479616,0.478672,0.4808,0.478736,0.47864,0.480816,0.481408,0.4808
Borda ranking,0.18911440000000004,0.47872,0.0,0.262144,0.32312,0.17488,0.181824,0.48736,0.24208,0.372624,0.48712,0.28328,0.48736
Plurality ranking,0.32718,0.47888,0.262144,0.0,0.319888,0.365552,0.365616,0.506432,0.380816,0.41328,0.50624,0.391344,0.506432
STV,0.3562352,0.477696,0.32312,0.319888,0.0,0.362464,0.367568,0.476288,0.387248,0.439936,0.47608,0.408128,0.476288
Approval Voting (AV),0.2375824,0.479616,0.17488,0.365552,0.362464,0.0,0.068928,0.457648,0.184192,0.384096,0.457424,0.250768,0.457648
Proportional Approval Voting (PAV),0.2504976,0.478672,0.181824,0.365616,0.367568,0.068928,0.0,0.470848,0.12384,0.361056,0.470624,0.243344,0.470848
Approval Chamberlin-Courant (CC),0.346644,0.4808,0.48736,0.506432,0.476288,0.457648,0.470848,0.0,0.477536,0.707408,0.000272,0.516976,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.3013895999999999,0.478736,0.24208,0.380816,0.387248,0.184192,0.12384,0.477536,0.0,0.345664,0.477376,0.2656,0.477536
Sequential Approval Chamberlin-Courant (seq-CC),0.470108,0.47864,0.372624,0.41328,0.439936,0.384096,0.361056,0.707408,0.345664,0.0,0.707248,0.341408,0.707408
Monroe's Approval Rule (Monroe),0.34646800000000005,0.480816,0.48712,0.50624,0.47608,0.457424,0.470624,0.000272,0.477376,0.707248,0.0,0.5168,0.000272
Greedy Monroe,0.33946319999999996,0.481408,0.28328,0.391344,0.408128,0.250768,0.243344,0.516976,0.2656,0.341408,0.5168,0.0,0.516976
Minimax Approval Voting (MAV),0.346644,0.4808,0.48736,0.506432,0.476288,0.457648,0.470848,0.0,0.477536,0.707408,0.000272,0.516976,0.0
