,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.4898422857142857,0.06738,0.323264,0.23149828571428574,0.08856685714285716,0.13781028571428575,0.4154462857142857,0.2155817142857143,0.3726662857142857,0.28201657142857145,0.20113714285714285,0.415412
Random Choice,0.4898422857142857,0.0,0.48976,0.4903314285714286,0.4917371428571429,0.4889257142857143,0.48956571428571427,0.48865142857142857,0.48942857142857144,0.4897485714285714,0.4899657142857143,0.48997714285714283,0.48865142857142857
Borda ranking,0.06738,0.48976,0.0,0.3283542857142857,0.24363428571428572,0.09961142857142857,0.11140571428571429,0.4177257142857143,0.1912,0.3525942857142857,0.27745142857142857,0.17969142857142859,0.41769142857142855
Plurality ranking,0.323264,0.4903314285714286,0.3283542857142857,0.0,0.25499428571428573,0.31594285714285714,0.34912,0.4793485714285714,0.3905142857142857,0.45525714285714286,0.3894285714285714,0.3724,0.4793257142857143
STV,0.23149828571428574,0.4917371428571429,0.24363428571428572,0.25499428571428573,0.0,0.21715428571428572,0.2616342857142857,0.4480342857142857,0.31104,0.4198057142857143,0.3339542857142857,0.2958514285714286,0.44801142857142856
Approval Voting (AV),0.08856685714285716,0.4889257142857143,0.09961142857142857,0.31594285714285714,0.21715428571428572,0.0,0.10353142857142857,0.4220685714285714,0.19241142857142857,0.3745942857142857,0.2822742857142857,0.18228571428571427,0.4220342857142857
Proportional Approval Voting (PAV),0.13781028571428575,0.48956571428571427,0.11140571428571429,0.34912,0.2616342857142857,0.10353142857142857,0.0,0.4137257142857143,0.11227428571428572,0.34477714285714284,0.2612457142857143,0.13456,0.4136914285714286
Approval Chamberlin-Courant (CC),0.4154462857142857,0.48865142857142857,0.4177257142857143,0.4793485714285714,0.4480342857142857,0.4220685714285714,0.4137257142857143,0.0,0.4133142857142857,0.5655085714285715,0.296,0.44073142857142855,4.5714285714285716e-05
Lexicographic Chamberlin-Courant (lex-CC),0.2155817142857143,0.48942857142857144,0.1912,0.3905142857142857,0.31104,0.19241142857142857,0.11227428571428572,0.4133142857142857,0.0,0.33115428571428573,0.2638057142857143,0.1592,0.41326857142857143
Sequential Approval Chamberlin-Courant (seq-CC),0.3726662857142857,0.4897485714285714,0.3525942857142857,0.45525714285714286,0.4198057142857143,0.3745942857142857,0.34477714285714284,0.5655085714285715,0.33115428571428573,0.0,0.45521142857142854,0.3341942857142857,0.5654628571428572
Monroe's Approval Rule (Monroe),0.28201657142857145,0.4899657142857143,0.27745142857142857,0.3894285714285714,0.3339542857142857,0.2822742857142857,0.2612457142857143,0.296,0.2638057142857143,0.45521142857142854,0.0,0.29970285714285716,0.296
Greedy Monroe,0.20113714285714285,0.48997714285714283,0.17969142857142859,0.3724,0.2958514285714286,0.18228571428571427,0.13456,0.44073142857142855,0.1592,0.3341942857142857,0.29970285714285716,0.0,0.4406857142857143
Minimax Approval Voting (MAV),0.415412,0.48865142857142857,0.41769142857142855,0.4793257142857143,0.44801142857142856,0.4220342857142857,0.4136914285714286,4.5714285714285716e-05,0.41326857142857143,0.5654628571428572,0.296,0.4406857142857143,0.0
