,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.31969600000000004,0.062191999999999976,0.28913599999999995,0.2433279999999999,0.09684799999999996,0.09684799999999996,0.30230399999999996,0.09684799999999996,0.333296,0.30230399999999996,0.20371199999999995,0.30230399999999996
Random Choice,0.31969600000000004,0.0,0.320048,0.320944,0.31968,0.31992,0.31992,0.319328,0.31992,0.321584,0.319328,0.3204,0.319328
Borda ranking,0.062191999999999976,0.320048,0.0,0.257792,0.2424,0.094544,0.094544,0.324112,0.094544,0.313312,0.324112,0.196384,0.324112
Plurality ranking,0.28913599999999995,0.320944,0.257792,0.0,0.268256,0.280528,0.280528,0.4,0.280528,0.159104,0.4,0.24072,0.4
STV,0.2433279999999999,0.31968,0.2424,0.268256,0.0,0.238448,0.238448,0.31848,0.238448,0.319824,0.31848,0.26584,0.31848
Approval Voting (AV),0.09684799999999996,0.31992,0.094544,0.280528,0.238448,0.0,0.0,0.311264,0.0,0.327088,0.311264,0.189664,0.311264
Proportional Approval Voting (PAV),0.09684799999999996,0.31992,0.094544,0.280528,0.238448,0.0,0.0,0.311264,0.0,0.327088,0.311264,0.189664,0.311264
Approval Chamberlin-Courant (CC),0.30230399999999996,0.319328,0.324112,0.4,0.31848,0.311264,0.311264,0.0,0.311264,0.4,0.0,0.334432,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.09684799999999996,0.31992,0.094544,0.280528,0.238448,0.0,0.0,0.311264,0.0,0.327088,0.311264,0.189664,0.311264
Sequential Approval Chamberlin-Courant (seq-CC),0.333296,0.321584,0.313312,0.159104,0.319824,0.327088,0.327088,0.4,0.327088,0.0,0.4,0.303712,0.4
Monroe's Approval Rule (Monroe),0.30230399999999996,0.319328,0.324112,0.4,0.31848,0.311264,0.311264,0.0,0.311264,0.4,0.0,0.334432,0.0
Greedy Monroe,0.20371199999999995,0.3204,0.196384,0.24072,0.26584,0.189664,0.189664,0.334432,0.189664,0.303712,0.334432,0.0,0.334432
Minimax Approval Voting (MAV),0.30230399999999996,0.319328,0.324112,0.4,0.31848,0.311264,0.311264,0.0,0.311264,0.4,0.0,0.334432,0.0
