,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.318576,0.10795200000000003,0.196016,0.096512,0.18588800000000003,0.18588800000000003,0.18588800000000003,0.18588800000000003,0.196016,0.18588800000000003,0.196016,0.27112000000000014
Random Choice,0.318576,0.0,0.31952,0.31976,0.31944,0.318816,0.318816,0.318816,0.318816,0.31976,0.318816,0.31976,0.319872
Borda ranking,0.10795200000000003,0.31952,0.0,0.175264,0.128976,0.176912,0.176912,0.176912,0.176912,0.175264,0.176912,0.175264,0.32368
Plurality ranking,0.196016,0.31976,0.175264,0.0,0.172144,0.064096,0.064096,0.064096,0.064096,0.0,0.064096,0.0,0.333712
STV,0.096512,0.31944,0.128976,0.172144,0.0,0.163712,0.163712,0.163712,0.163712,0.172144,0.163712,0.172144,0.301824
Approval Voting (AV),0.18588800000000003,0.318816,0.176912,0.064096,0.163712,0.0,0.0,0.0,0.0,0.064096,0.0,0.064096,0.306288
Proportional Approval Voting (PAV),0.18588800000000003,0.318816,0.176912,0.064096,0.163712,0.0,0.0,0.0,0.0,0.064096,0.0,0.064096,0.306288
Approval Chamberlin-Courant (CC),0.18588800000000003,0.318816,0.176912,0.064096,0.163712,0.0,0.0,0.0,0.0,0.064096,0.0,0.064096,0.306288
Lexicographic Chamberlin-Courant (lex-CC),0.18588800000000003,0.318816,0.176912,0.064096,0.163712,0.0,0.0,0.0,0.0,0.064096,0.0,0.064096,0.306288
Sequential Approval Chamberlin-Courant (seq-CC),0.196016,0.31976,0.175264,0.0,0.172144,0.064096,0.064096,0.064096,0.064096,0.0,0.064096,0.0,0.333712
Monroe's Approval Rule (Monroe),0.18588800000000003,0.318816,0.176912,0.064096,0.163712,0.0,0.0,0.0,0.0,0.064096,0.0,0.064096,0.306288
Greedy Monroe,0.196016,0.31976,0.175264,0.0,0.172144,0.064096,0.064096,0.064096,0.064096,0.0,0.064096,0.0,0.333712
Minimax Approval Voting (MAV),0.27112000000000014,0.319872,0.32368,0.333712,0.301824,0.306288,0.306288,0.306288,0.306288,0.333712,0.306288,0.333712,0.0
