,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.47652800000000023,0.064192,0.2901759999999999,0.22553600000000004,0.09923199999999996,0.09923199999999996,0.45681599999999994,0.09923199999999996,0.48120000000000024,0.25208,0.19406399999999993,0.23772799999999994
Random Choice,0.47652800000000023,0.0,0.477008,0.478288,0.480672,0.479008,0.479008,0.478608,0.479008,0.48184,0.4776,0.479424,0.47744
Borda ranking,0.064192,0.477008,0.0,0.258384,0.225552,0.09568,0.09568,0.487072,0.09568,0.444672,0.269088,0.18656,0.275712
Plurality ranking,0.2901759999999999,0.478288,0.258384,0.0,0.267408,0.281568,0.281568,0.679408,0.281568,0.28088,0.461488,0.247744,0.4
STV,0.22553600000000004,0.480672,0.225552,0.267408,0.0,0.223104,0.223104,0.479168,0.223104,0.454064,0.331952,0.254576,0.265648
Approval Voting (AV),0.09923199999999996,0.479008,0.09568,0.281568,0.223104,0.0,0.0,0.46576,0.0,0.468032,0.240576,0.17552,0.2528
Proportional Approval Voting (PAV),0.09923199999999996,0.479008,0.09568,0.281568,0.223104,0.0,0.0,0.46576,0.0,0.468032,0.240576,0.17552,0.2528
Approval Chamberlin-Courant (CC),0.45681599999999994,0.478608,0.487072,0.679408,0.479168,0.46576,0.46576,0.0,0.46576,0.8,0.270224,0.496208,0.319344
Lexicographic Chamberlin-Courant (lex-CC),0.09923199999999996,0.479008,0.09568,0.281568,0.223104,0.0,0.0,0.46576,0.0,0.468032,0.240576,0.17552,0.2528
Sequential Approval Chamberlin-Courant (seq-CC),0.48120000000000024,0.48184,0.444672,0.28088,0.454064,0.468032,0.468032,0.8,0.468032,0.0,0.60616,0.433152,0.68088
Monroe's Approval Rule (Monroe),0.25208,0.4776,0.269088,0.461488,0.331952,0.240576,0.240576,0.270224,0.240576,0.60616,0.0,0.312944,0.31472
Greedy Monroe,0.19406399999999993,0.479424,0.18656,0.247744,0.254576,0.17552,0.17552,0.496208,0.17552,0.433152,0.312944,0.0,0.287408
Minimax Approval Voting (MAV),0.23772799999999994,0.47744,0.275712,0.4,0.265648,0.2528,0.2528,0.319344,0.2528,0.68088,0.31472,0.287408,0.0
