,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.3197096,0.05587440000000001,0.1482288,0.07888640000000001,0.14365280000000002,0.14365280000000002,0.14365280000000002,0.14365280000000002,0.1482288,0.14365280000000002,0.1482288,0.2860968
Random Choice,0.3197096,0.0,0.31984,0.32072,0.32032,0.320624,0.320624,0.320624,0.320624,0.32072,0.320624,0.32072,0.320336
Borda ranking,0.05587440000000001,0.31984,0.0,0.162832,0.102256,0.165312,0.165312,0.165312,0.165312,0.162832,0.165312,0.162832,0.300576
Plurality ranking,0.1482288,0.32072,0.162832,0.0,0.117552,0.032784,0.032784,0.032784,0.032784,0.0,0.032784,0.0,0.305136
STV,0.07888640000000001,0.32032,0.102256,0.117552,0.0,0.117056,0.117056,0.117056,0.117056,0.117552,0.117056,0.117552,0.298768
Approval Voting (AV),0.14365280000000002,0.320624,0.165312,0.032784,0.117056,0.0,0.0,0.0,0.0,0.032784,0.0,0.032784,0.291344
Proportional Approval Voting (PAV),0.14365280000000002,0.320624,0.165312,0.032784,0.117056,0.0,0.0,0.0,0.0,0.032784,0.0,0.032784,0.291344
Approval Chamberlin-Courant (CC),0.14365280000000002,0.320624,0.165312,0.032784,0.117056,0.0,0.0,0.0,0.0,0.032784,0.0,0.032784,0.291344
Lexicographic Chamberlin-Courant (lex-CC),0.14365280000000002,0.320624,0.165312,0.032784,0.117056,0.0,0.0,0.0,0.0,0.032784,0.0,0.032784,0.291344
Sequential Approval Chamberlin-Courant (seq-CC),0.1482288,0.32072,0.162832,0.0,0.117552,0.032784,0.032784,0.032784,0.032784,0.0,0.032784,0.0,0.305136
Monroe's Approval Rule (Monroe),0.14365280000000002,0.320624,0.165312,0.032784,0.117056,0.0,0.0,0.0,0.0,0.032784,0.0,0.032784,0.291344
Greedy Monroe,0.1482288,0.32072,0.162832,0.0,0.117552,0.032784,0.032784,0.032784,0.032784,0.0,0.032784,0.0,0.305136
Minimax Approval Voting (MAV),0.2860968,0.320336,0.300576,0.305136,0.298768,0.291344,0.291344,0.291344,0.291344,0.305136,0.291344,0.305136,0.0
