,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.48107359999999993,0.06971119999999999,0.2766152,0.19041039999999995,0.0995768,0.1643736,0.31330480000000005,0.30041439999999997,0.2959208,0.22646,0.22344240000000004,0.4309448
Random Choice,0.48107359999999993,0.0,0.481344,0.482496,0.482864,0.482432,0.482368,0.480528,0.480768,0.482768,0.482864,0.483648,0.480304
Borda ranking,0.06971119999999999,0.481344,0.0,0.284624,0.206272,0.120096,0.140304,0.286928,0.271136,0.265648,0.201472,0.193984,0.435648
Plurality ranking,0.2766152,0.482496,0.284624,0.0,0.205808,0.25624,0.302752,0.404016,0.395728,0.397616,0.326016,0.33912,0.471008
STV,0.19041039999999995,0.482864,0.206272,0.205808,0.0,0.165392,0.234032,0.358848,0.349104,0.35008,0.278912,0.284032,0.448512
Approval Voting (AV),0.0995768,0.482432,0.120096,0.25624,0.165392,0.0,0.13648,0.298016,0.284096,0.28304,0.203184,0.206096,0.429168
Proportional Approval Voting (PAV),0.1643736,0.482368,0.140304,0.302752,0.234032,0.13648,0.0,0.184544,0.165696,0.192672,0.111936,0.112976,0.405264
Approval Chamberlin-Courant (CC),0.31330480000000005,0.480528,0.286928,0.404016,0.358848,0.298016,0.184544,0.0,0.02648,0.137952,0.173872,0.17144,0.365264
Lexicographic Chamberlin-Courant (lex-CC),0.30041439999999997,0.480768,0.271136,0.395728,0.349104,0.284096,0.165696,0.02648,0.0,0.11424,0.165712,0.152736,0.379696
Sequential Approval Chamberlin-Courant (seq-CC),0.2959208,0.482768,0.265648,0.397616,0.35008,0.28304,0.192672,0.137952,0.11424,0.0,0.252144,0.101984,0.412192
Monroe's Approval Rule (Monroe),0.22646,0.482864,0.201472,0.326016,0.278912,0.203184,0.111936,0.173872,0.165712,0.252144,0.0,0.172976,0.398176
Greedy Monroe,0.22344240000000004,0.483648,0.193984,0.33912,0.284032,0.206096,0.112976,0.17144,0.152736,0.101984,0.172976,0.0,0.417472
Minimax Approval Voting (MAV),0.4309448,0.480304,0.435648,0.471008,0.448512,0.429168,0.405264,0.365264,0.379696,0.412192,0.398176,0.417472,0.0
