,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.3191776,0.05780800000000001,0.16418320000000003,0.0748752,0.1633888,0.1633888,0.1633888,0.1633888,0.16418320000000003,0.1633888,0.16418320000000003,0.31347919999999996
Random Choice,0.3191776,0.0,0.319264,0.319232,0.318848,0.318576,0.318576,0.318576,0.318576,0.319232,0.318576,0.319232,0.320032
Borda ranking,0.05780800000000001,0.319264,0.0,0.197968,0.115744,0.198304,0.198304,0.198304,0.198304,0.197968,0.198304,0.197968,0.3212
Plurality ranking,0.16418320000000003,0.319232,0.197968,0.0,0.128992,0.025856,0.025856,0.025856,0.025856,0.0,0.025856,0.0,0.326384
STV,0.0748752,0.318848,0.115744,0.128992,0.0,0.127328,0.127328,0.127328,0.127328,0.128992,0.127328,0.128992,0.313008
Approval Voting (AV),0.1633888,0.318576,0.198304,0.025856,0.127328,0.0,0.0,0.0,0.0,0.025856,0.0,0.025856,0.31528
Proportional Approval Voting (PAV),0.1633888,0.318576,0.198304,0.025856,0.127328,0.0,0.0,0.0,0.0,0.025856,0.0,0.025856,0.31528
Approval Chamberlin-Courant (CC),0.1633888,0.318576,0.198304,0.025856,0.127328,0.0,0.0,0.0,0.0,0.025856,0.0,0.025856,0.31528
Lexicographic Chamberlin-Courant (lex-CC),0.1633888,0.318576,0.198304,0.025856,0.127328,0.0,0.0,0.0,0.0,0.025856,0.0,0.025856,0.31528
Sequential Approval Chamberlin-Courant (seq-CC),0.16418320000000003,0.319232,0.197968,0.0,0.128992,0.025856,0.025856,0.025856,0.025856,0.0,0.025856,0.0,0.326384
Monroe's Approval Rule (Monroe),0.1633888,0.318576,0.198304,0.025856,0.127328,0.0,0.0,0.0,0.0,0.025856,0.0,0.025856,0.31528
Greedy Monroe,0.16418320000000003,0.319232,0.197968,0.0,0.128992,0.025856,0.025856,0.025856,0.025856,0.0,0.025856,0.0,0.326384
Minimax Approval Voting (MAV),0.31347919999999996,0.320032,0.3212,0.326384,0.313008,0.31528,0.31528,0.31528,0.31528,0.326384,0.31528,0.326384,0.0
