,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV)
NN,,0.32048,0.068352,0.160896,0.17744,0.0,0.0,0.31110399999999994,0.0,0.328688,0.311072,0.14190399999999997,0.31110399999999994
Random Choice,0.32048,0.0,0.320496,0.320688,0.317872,0.32048,0.32048,0.321856,0.32048,0.319712,0.321872,0.319984,0.321856
Borda ranking,0.068352,0.320496,0.0,0.110384,0.178944,0.068352,0.068352,0.322896,0.068352,0.317776,0.322864,0.143216,0.322896
Plurality ranking,0.160896,0.320688,0.110384,0.0,0.194816,0.160896,0.160896,0.333424,0.160896,0.307408,0.333392,0.17192,0.333424
STV,0.17744,0.317872,0.178944,0.194816,0.0,0.17744,0.17744,0.319632,0.17744,0.32064,0.319632,0.199216,0.319632
Approval Voting (AV),0.0,0.32048,0.068352,0.160896,0.17744,0.0,0.0,0.311104,0.0,0.328688,0.311072,0.141904,0.311104
Proportional Approval Voting (PAV),0.0,0.32048,0.068352,0.160896,0.17744,0.0,0.0,0.311104,0.0,0.328688,0.311072,0.141904,0.311104
Approval Chamberlin-Courant (CC),0.31110399999999994,0.321856,0.322896,0.333424,0.319632,0.311104,0.311104,0.0,0.311104,0.4,3.2e-05,0.338176,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.32048,0.068352,0.160896,0.17744,0.0,0.0,0.311104,0.0,0.328688,0.311072,0.141904,0.311104
Sequential Approval Chamberlin-Courant (seq-CC),0.328688,0.319712,0.317776,0.307408,0.32064,0.328688,0.328688,0.4,0.328688,0.0,0.4,0.300592,0.4
Monroe's Approval Rule (Monroe),0.311072,0.321872,0.322864,0.333392,0.319632,0.311072,0.311072,3.2e-05,0.311072,0.4,0.0,0.338144,3.2e-05
Greedy Monroe,0.14190399999999997,0.319984,0.143216,0.17192,0.199216,0.141904,0.141904,0.338176,0.141904,0.300592,0.338144,0.0,0.338176
Minimax Approval Voting (MAV),0.31110399999999994,0.321856,0.322896,0.333424,0.319632,0.311104,0.311104,0.0,0.311104,0.4,3.2e-05,0.338176,0.0
