Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-1,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-2,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-3,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-4,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-5,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-6,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-7,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-8,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-9,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-10,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-11,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-12,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-13,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-14,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-15,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-16,0.06593406593406592,0.0,0.35714285714285715,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0
NN-17,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-18,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
NN-19,0.09890109890109887,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.14285714285714285,0.0
Min Violations Committee,0.005494505494505494,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.5439560439560439,0.5,0.9285714285714286,0.5714285714285714,0.9285714285714286,0.5714285714285714,0.2857142857142857,0.0,1.0,0.2857142857142857,0.35714285714285715,0.9285714285714286,0.7142857142857143,0.0
Random Choice,0.2747252747252747,0.07142857142857142,0.7142857142857143,0.07142857142857142,0.7142857142857143,0.07142857142857142,0.21428571428571427,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.5,0.35714285714285715,0.0
Borda ranking,0.021978021978021976,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0
