,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.47732559999999996,0.0,0.478432,0.478848,0.476336,0.477344,0.47848,0.478384,0.47912,0.478096,0.480976,0.477888,0.481456,0.479008,0.47752,0.479168
Borda ranking,0.052824800000000005,0.478432,0.0,0.471328,0.327824,0.05288,0.0048,0.480064,0.00864,0.399632,0.39608,0.054864,0.302416,0.007168,0.039024,0.318576
Plurality ranking,0.44168640000000003,0.478848,0.471328,0.0,0.22648,0.441664,0.473456,0.512208,0.47808,0.453968,0.475248,0.469968,0.496112,0.476816,0.448416,0.459744
STV,0.31932,0.476336,0.327824,0.22648,0.0,0.319328,0.330016,0.465344,0.333584,0.462992,0.423008,0.346768,0.40856,0.332448,0.321376,0.415136
Approval Voting (AV),7.039999999999999e-05,0.477344,0.05288,0.441664,0.319328,0.0,0.055088,0.471264,0.06152,0.409792,0.385424,0.099504,0.313136,0.059984,0.013952,0.31584
Proportional Approval Voting (PAV),0.0550328,0.47848,0.0048,0.473456,0.330016,0.055088,0.0,0.479456,0.006432,0.400336,0.395792,0.053072,0.301584,0.004896,0.041136,0.318768
Approval Chamberlin-Courant (CC),0.47129360000000003,0.478384,0.480064,0.512208,0.465344,0.471264,0.479456,0.0,0.480048,0.8,0.207168,0.50808,0.280208,0.479952,0.475376,0.479488
Lexicographic Chamberlin-Courant (lex-CC),0.06146480000000001,0.47912,0.00864,0.47808,0.333584,0.06152,0.006432,0.480048,0.0,0.399792,0.396368,0.048624,0.300304,0.001536,0.047568,0.32056
Sequential Approval Chamberlin-Courant (seq-CC),0.4097736,0.478096,0.399632,0.453968,0.462992,0.409792,0.400336,0.8,0.399792,0.0,0.67232,0.36784,0.600704,0.39984,0.40504,0.400384
Monroe's Approval Rule (Monroe),0.3854432,0.480976,0.39608,0.475248,0.423008,0.385424,0.395792,0.207168,0.396368,0.67232,0.0,0.441744,0.168976,0.396336,0.388608,0.409808
Greedy Monroe,0.0994544,0.477888,0.054864,0.469968,0.346768,0.099504,0.053072,0.50808,0.048624,0.36784,0.441744,0.0,0.347216,0.049344,0.088528,0.327696
Minimax Approval Voting (MAV),0.313128,0.481456,0.302416,0.496112,0.40856,0.313136,0.301584,0.280208,0.300304,0.600704,0.168976,0.347216,0.0,0.30064,0.310736,0.38016
Method of Equal Shares (aka Rule X) with Phragmén phase,0.059928800000000004,0.479008,0.007168,0.476816,0.332448,0.059984,0.004896,0.479952,0.001536,0.39984,0.396336,0.049344,0.30064,0.0,0.046032,0.320048
E Pluribus Hugo (EPH),0.013917600000000002,0.47752,0.039024,0.448416,0.321376,0.013952,0.041136,0.475376,0.047568,0.40504,0.388608,0.088528,0.310736,0.046032,0.0,0.31536
Random Serial Dictator,0.31581680000000006,0.479168,0.318576,0.459744,0.415136,0.31584,0.318768,0.479488,0.32056,0.400384,0.409808,0.327696,0.38016,0.320048,0.31536,0.0
NN,,0.47732559999999996,0.052824800000000005,0.44168640000000003,0.31932,7.039999999999999e-05,0.0550328,0.47129360000000003,0.06146480000000001,0.4097736,0.3854432,0.0994544,0.313128,0.059928800000000004,0.013917600000000002,0.31581680000000006
