,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Slater,0.0313176,0.031264,0.399776,0.320864,0.062688,0.178704,0.09656,0.179376,0.179376,0.179376,0.179376,0.178704,0.179376,0.178704,0.325952,0.178704,0.179376,0.27496,0.207344,0.098416,0.15168,0.087984,0.006672,0.013888,0.099616,0.019888,0.002992,0.002208,0.004288,0.083584,0.003664,0.007552,0.016944,0.00448,0.02384,0.00328,0.00072,0.004288,0.00088,0.00448,0.005776,0.0,0.008048,0.000912,0.016512,0.002032,0.00184,0.02016,0.02016,0.016208,0.016208,0.002256,0.012176,0.019904,0.0148,0.013504,0.007808,0.002032,0.023504,0.004512,0.015792,0.00272,0.081648,0.111152,0.055904,0.034336,0.018912
Top Cycle,0.0366608,0.036608,0.39848,0.320512,0.065408,0.18024,0.099744,0.181184,0.181184,0.181184,0.181184,0.18024,0.181184,0.18024,0.327632,0.18024,0.181184,0.275504,0.206576,0.100048,0.15256,0.089632,0.01136,0.015904,0.100784,0.022832,0.009376,0.009856,0.011232,0.075648,0.00896,0.009264,0.022256,0.005056,0.017984,0.009792,0.008112,0.005488,0.007888,0.005056,0.002928,0.008048,0.0,0.007712,0.019424,0.009616,0.009504,0.013648,0.013648,0.022928,0.022928,0.009648,0.014176,0.022624,0.016448,0.014848,0.009248,0.009616,0.02504,0.011536,0.022336,0.00912,0.083968,0.110032,0.059168,0.038096,0.022448
GOCHA,0.0310808,0.031024,0.399696,0.320944,0.06264,0.17896,0.096608,0.179648,0.179648,0.179648,0.179648,0.17896,0.179648,0.17896,0.325904,0.17896,0.179648,0.275168,0.207232,0.098608,0.151536,0.08816,0.006928,0.014016,0.099744,0.020112,0.003216,0.002672,0.004784,0.083248,0.003888,0.007712,0.017104,0.00432,0.023552,0.003056,0.000448,0.004304,0.000224,0.00432,0.005616,0.000912,0.007712,0.0,0.016016,0.001952,0.002208,0.01984,0.01984,0.016176,0.016176,0.002,0.012432,0.019856,0.014976,0.013632,0.007968,0.001952,0.02376,0.004704,0.01568,0.002768,0.081648,0.1112,0.055888,0.034624,0.018848
Bipartisan Set,0.0195304,0.019552,0.3996,0.321472,0.064288,0.179776,0.091744,0.17968,0.17968,0.17968,0.17968,0.179776,0.17968,0.179776,0.321664,0.179776,0.17968,0.27488,0.211584,0.100624,0.15248,0.094304,0.019248,0.020464,0.10536,0.02968,0.018048,0.01816,0.018416,0.093792,0.018048,0.019968,0.019344,0.018448,0.0284,0.0164,0.016208,0.01584,0.015952,0.018448,0.017904,0.016512,0.019424,0.016016,0.0,0.017728,0.017808,0.026032,0.026032,0.018352,0.018352,0.01776,0.021808,0.021504,0.02112,0.02056,0.020096,0.017728,0.024576,0.018144,0.018272,0.018032,0.083504,0.118368,0.057744,0.03512,0.020512
Minimax,0.0307464,0.030688,0.399872,0.320992,0.06232,0.178704,0.09608,0.179376,0.179376,0.179376,0.179376,0.178704,0.179376,0.178704,0.325632,0.178704,0.179376,0.274816,0.207232,0.098416,0.15144,0.087664,0.006624,0.013552,0.0996,0.019696,0.001904,0.001088,0.003328,0.085152,0.002832,0.007328,0.016688,0.006048,0.02496,0.004112,0.00168,0.005968,0.001856,0.006048,0.007344,0.002032,0.009616,0.001952,0.017728,0.0,0.000272,0.021472,0.021472,0.014576,0.014576,0.00144,0.01208,0.019536,0.01448,0.013312,0.007584,0.0,0.023504,0.003904,0.01536,0.00168,0.081472,0.111744,0.055328,0.034528,0.018576
Split Cycle,0.03101840000000001,0.03096,0.399856,0.320992,0.062464,0.178624,0.096208,0.179296,0.179296,0.179296,0.179296,0.178624,0.179296,0.178624,0.32576,0.178624,0.179296,0.27472,0.207312,0.098352,0.151488,0.087696,0.006592,0.0136,0.099536,0.019648,0.001728,0.000912,0.003184,0.08504,0.002688,0.007312,0.016832,0.005936,0.02488,0.004368,0.001952,0.005744,0.002128,0.005936,0.007232,0.00184,0.009504,0.002208,0.017808,0.000272,0.0,0.02136,0.02136,0.014784,0.014784,0.001712,0.012016,0.01968,0.014512,0.013344,0.007568,0.000272,0.023424,0.004144,0.015616,0.001856,0.08152,0.11168,0.055472,0.034544,0.018736
Ranked Pairs ZT,0.037027199999999996,0.037008,0.39544,0.320656,0.071152,0.184288,0.102688,0.185184,0.185184,0.185184,0.185184,0.184288,0.185184,0.184288,0.327632,0.184288,0.185184,0.276416,0.210416,0.105936,0.157488,0.098272,0.022208,0.024976,0.109168,0.033024,0.021232,0.021648,0.022784,0.085312,0.020816,0.021088,0.028448,0.017584,0.007568,0.021648,0.020224,0.017792,0.02,0.017584,0.015712,0.02016,0.013648,0.01984,0.026032,0.021472,0.02136,0.0,0.0,0.028928,0.028928,0.021488,0.023904,0.028368,0.025088,0.023872,0.021104,0.021472,0.029088,0.023056,0.02856,0.020976,0.09008,0.117776,0.065216,0.044352,0.029088
Ranked Pairs TB,0.037027199999999996,0.037008,0.39544,0.320656,0.071152,0.184288,0.102688,0.185184,0.185184,0.185184,0.185184,0.184288,0.185184,0.184288,0.327632,0.184288,0.185184,0.276416,0.210416,0.105936,0.157488,0.098272,0.022208,0.024976,0.109168,0.033024,0.021232,0.021648,0.022784,0.085312,0.020816,0.021088,0.028448,0.017584,0.007568,0.021648,0.020224,0.017792,0.02,0.017584,0.015712,0.02016,0.013648,0.01984,0.026032,0.021472,0.02136,0.0,0.0,0.028928,0.028928,0.021488,0.023904,0.028368,0.025088,0.023872,0.021104,0.021472,0.029088,0.023056,0.02856,0.020976,0.09008,0.117776,0.065216,0.044352,0.029088
Simple Stable Voting,0.0167592,0.016816,0.399952,0.320864,0.05568,0.183792,0.092032,0.183472,0.183472,0.183472,0.183472,0.183792,0.183472,0.183792,0.319856,0.183792,0.183472,0.275904,0.208496,0.095776,0.146784,0.095696,0.01792,0.021552,0.107952,0.0268,0.01592,0.015072,0.012992,0.097184,0.016848,0.019696,0.009856,0.020224,0.030912,0.013584,0.015968,0.020192,0.016112,0.020224,0.021504,0.016208,0.022928,0.016176,0.018352,0.014576,0.014784,0.028928,0.028928,0.0,0.0,0.01552,0.022608,0.012896,0.022512,0.022384,0.019984,0.014576,0.028592,0.012768,0.00688,0.015648,0.077792,0.117296,0.051104,0.039216,0.02192
Stable Voting,0.0167592,0.016816,0.399952,0.320864,0.05568,0.183792,0.092032,0.183472,0.183472,0.183472,0.183472,0.183792,0.183472,0.183792,0.319856,0.183792,0.183472,0.275904,0.208496,0.095776,0.146784,0.095696,0.01792,0.021552,0.107952,0.0268,0.01592,0.015072,0.012992,0.097184,0.016848,0.019696,0.009856,0.020224,0.030912,0.013584,0.015968,0.020192,0.016112,0.020224,0.021504,0.016208,0.022928,0.016176,0.018352,0.014576,0.014784,0.028928,0.028928,0.0,0.0,0.01552,0.022608,0.012896,0.022512,0.022384,0.019984,0.014576,0.028592,0.012768,0.00688,0.015648,0.077792,0.117296,0.051104,0.039216,0.02192
