,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Random Choice,0.31765920000000003,0.0,0.317536,0.317168,0.317216,0.31712,0.31712,0.31712,0.31712,0.317168,0.31712,0.317168,0.319312,0.317168,0.31712,0.318064,0.318704,0.318016,0.3188,0.317024,0.317056,0.317072,0.31648,0.317744,0.31736,0.317328,0.317344,0.317456,0.31728,0.317088,0.317168,0.31736,0.316944,0.317616,0.317504,0.317312,0.317504,0.31736,0.317424,0.317408,0.317456,0.317456,0.317296,0.317248,0.317344,0.31704,0.31704,0.317584,0.317584,0.31744,0.317392,0.317232,0.317088,0.317072,0.317104,0.317264,0.317136,0.317472,0.317408,0.31736,0.318112,0.317504,0.31768,0.317392,0.31688
Borda ranking,0.0245992,0.317536,0.0,0.038832,0.02736,0.03984,0.03984,0.03984,0.03984,0.038832,0.03984,0.038832,0.317664,0.038832,0.03984,0.17752,0.146304,0.033008,0.073776,0.026576,0.022848,0.023984,0.028192,0.025648,0.023296,0.022576,0.02128,0.059216,0.024416,0.02392,0.013344,0.024784,0.032,0.0204,0.022,0.025648,0.022496,0.024768,0.026128,0.023008,0.027728,0.022736,0.02424,0.021232,0.0216,0.030032,0.030032,0.016864,0.016864,0.0228,0.022768,0.008832,0.024032,0.024288,0.024016,0.021216,0.023376,0.020336,0.013344,0.019872,0.027056,0.072208,0.010896,0.022544,0.020624
Plurality ranking,0.04100320000000001,0.317168,0.038832,0.0,0.038656,0.014816,0.014816,0.014816,0.014816,0.0,0.014816,0.0,0.319072,0.0,0.014816,0.17624,0.167616,0.055552,0.102848,0.035472,0.035712,0.03696,0.031776,0.044672,0.03864,0.038416,0.038368,0.064912,0.039232,0.037488,0.037504,0.039648,0.045808,0.03832,0.03856,0.040208,0.0388,0.039648,0.040208,0.038528,0.041424,0.038848,0.040304,0.038416,0.038288,0.043552,0.043552,0.037728,0.037728,0.038592,0.030128,0.037344,0.03688,0.037696,0.037312,0.038384,0.0228,0.038,0.037696,0.038288,0.054224,0.080784,0.04008,0.03096,0.03312
STV,0.011968800000000003,0.317216,0.02736,0.038656,0.0,0.037056,0.037056,0.037056,0.037056,0.038656,0.037056,0.038656,0.312832,0.038656,0.037056,0.177744,0.157664,0.042864,0.087936,0.016192,0.020208,0.017184,0.023312,0.027664,0.021504,0.021008,0.0204,0.060064,0.022304,0.0184,0.016576,0.026096,0.029312,0.020736,0.021776,0.026336,0.021984,0.02608,0.027312,0.021648,0.028144,0.022096,0.01888,0.021248,0.021472,0.028464,0.028464,0.016368,0.016368,0.020496,0.021312,0.019024,0.01712,0.018656,0.018224,0.021232,0.01896,0.019856,0.016992,0.021392,0.03992,0.080816,0.02904,0.014976,0.015344
Approval Voting (AV),0.0397072,0.31712,0.03984,0.014816,0.037056,0.0,0.0,0.0,0.0,0.014816,0.0,0.014816,0.313024,0.014816,0.0,0.1764,0.168784,0.056592,0.10416,0.036528,0.037312,0.038016,0.03472,0.045904,0.040112,0.039824,0.039456,0.069952,0.040864,0.038704,0.038,0.042464,0.047984,0.039856,0.040576,0.042784,0.040816,0.042464,0.043168,0.040464,0.044384,0.04096,0.041216,0.03992,0.039904,0.046224,0.046224,0.038032,0.038032,0.040032,0.033072,0.037968,0.037968,0.039328,0.03848,0.039904,0.02776,0.039184,0.038128,0.039824,0.055568,0.086928,0.041104,0.03128,0.034208
Proportional Approval Voting (PAV),0.0397072,0.31712,0.03984,0.014816,0.037056,0.0,0.0,0.0,0.0,0.014816,0.0,0.014816,0.313024,0.014816,0.0,0.1764,0.168784,0.056592,0.10416,0.036528,0.037312,0.038016,0.03472,0.045904,0.040112,0.039824,0.039456,0.069952,0.040864,0.038704,0.038,0.042464,0.047984,0.039856,0.040576,0.042784,0.040816,0.042464,0.043168,0.040464,0.044384,0.04096,0.041216,0.03992,0.039904,0.046224,0.046224,0.038032,0.038032,0.040032,0.033072,0.037968,0.037968,0.039328,0.03848,0.039904,0.02776,0.039184,0.038128,0.039824,0.055568,0.086928,0.041104,0.03128,0.034208
Approval Chamberlin-Courant (CC),0.0397072,0.31712,0.03984,0.014816,0.037056,0.0,0.0,0.0,0.0,0.014816,0.0,0.014816,0.313024,0.014816,0.0,0.1764,0.168784,0.056592,0.10416,0.036528,0.037312,0.038016,0.03472,0.045904,0.040112,0.039824,0.039456,0.069952,0.040864,0.038704,0.038,0.042464,0.047984,0.039856,0.040576,0.042784,0.040816,0.042464,0.043168,0.040464,0.044384,0.04096,0.041216,0.03992,0.039904,0.046224,0.046224,0.038032,0.038032,0.040032,0.033072,0.037968,0.037968,0.039328,0.03848,0.039904,0.02776,0.039184,0.038128,0.039824,0.055568,0.086928,0.041104,0.03128,0.034208
Lexicographic Chamberlin-Courant (lex-CC),0.0397072,0.31712,0.03984,0.014816,0.037056,0.0,0.0,0.0,0.0,0.014816,0.0,0.014816,0.313024,0.014816,0.0,0.1764,0.168784,0.056592,0.10416,0.036528,0.037312,0.038016,0.03472,0.045904,0.040112,0.039824,0.039456,0.069952,0.040864,0.038704,0.038,0.042464,0.047984,0.039856,0.040576,0.042784,0.040816,0.042464,0.043168,0.040464,0.044384,0.04096,0.041216,0.03992,0.039904,0.046224,0.046224,0.038032,0.038032,0.040032,0.033072,0.037968,0.037968,0.039328,0.03848,0.039904,0.02776,0.039184,0.038128,0.039824,0.055568,0.086928,0.041104,0.03128,0.034208
Sequential Approval Chamberlin-Courant (seq-CC),0.04100320000000001,0.317168,0.038832,0.0,0.038656,0.014816,0.014816,0.014816,0.014816,0.0,0.014816,0.0,0.319072,0.0,0.014816,0.17624,0.167616,0.055552,0.102848,0.035472,0.035712,0.03696,0.031776,0.044672,0.03864,0.038416,0.038368,0.064912,0.039232,0.037488,0.037504,0.039648,0.045808,0.03832,0.03856,0.040208,0.0388,0.039648,0.040208,0.038528,0.041424,0.038848,0.040304,0.038416,0.038288,0.043552,0.043552,0.037728,0.037728,0.038592,0.030128,0.037344,0.03688,0.037696,0.037312,0.038384,0.0228,0.038,0.037696,0.038288,0.054224,0.080784,0.04008,0.03096,0.03312
Monroe's Approval Rule (Monroe),0.0397072,0.31712,0.03984,0.014816,0.037056,0.0,0.0,0.0,0.0,0.014816,0.0,0.014816,0.313024,0.014816,0.0,0.1764,0.168784,0.056592,0.10416,0.036528,0.037312,0.038016,0.03472,0.045904,0.040112,0.039824,0.039456,0.069952,0.040864,0.038704,0.038,0.042464,0.047984,0.039856,0.040576,0.042784,0.040816,0.042464,0.043168,0.040464,0.044384,0.04096,0.041216,0.03992,0.039904,0.046224,0.046224,0.038032,0.038032,0.040032,0.033072,0.037968,0.037968,0.039328,0.03848,0.039904,0.02776,0.039184,0.038128,0.039824,0.055568,0.086928,0.041104,0.03128,0.034208
