,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Tideman Alternative Top Cycle,0.03790639999999999,0.318688,0.053616,0.137808,0.081648,0.142432,0.142432,0.142432,0.142432,0.137808,0.142432,0.137808,0.303792,0.137808,0.142432,0.241552,0.22064,0.126928,0.149904,0.066384,0.010656,0.007504,0.074576,0.03072,0.011696,0.012448,0.01368,0.092688,0.011744,0.0,0.023888,0.017664,0.034736,0.015488,0.014768,0.015808,0.014992,0.017696,0.01792,0.013888,0.021008,0.01552,0.026128,0.014,0.013344,0.02904,0.02904,0.023168,0.023168,0.012624,0.016496,0.026944,0.008656,0.009488,0.001184,0.013984,0.025776,0.01496,0.023632,0.013616,0.089072,0.126944,0.053296,0.034848,0.020224
Knockout Voting,0.024392000000000004,0.318128,0.03328,0.143744,0.084208,0.146944,0.146944,0.146944,0.146944,0.143744,0.146944,0.143744,0.298608,0.143744,0.146944,0.243056,0.216368,0.121168,0.138848,0.084384,0.021696,0.025856,0.087536,0.029984,0.019024,0.017728,0.016064,0.102064,0.020608,0.023888,0.0,0.02664,0.039504,0.016912,0.018944,0.026,0.019888,0.026656,0.028224,0.018144,0.031312,0.020512,0.025168,0.01744,0.017776,0.0352,0.0352,0.010448,0.010448,0.018672,0.02688,0.006608,0.026656,0.026368,0.02432,0.017424,0.031712,0.014576,0.005952,0.015408,0.08,0.128928,0.04016,0.037824,0.023744
Banks,0.043922400000000014,0.318112,0.053248,0.142128,0.0924,0.147904,0.147904,0.147904,0.147904,0.142128,0.147904,0.142128,0.308256,0.142128,0.147904,0.242816,0.218336,0.125872,0.146896,0.081408,0.018272,0.023056,0.082336,0.027984,0.015152,0.015104,0.017024,0.083168,0.015408,0.017664,0.02664,0.0,0.026816,0.014384,0.011136,0.009824,0.009296,6.4e-05,0.004576,0.010992,0.01144,0.0104,0.0216,0.014672,0.013712,0.020608,0.020608,0.026896,0.026896,0.01512,0.021792,0.026576,0.02368,0.021728,0.018048,0.014656,0.030096,0.018256,0.026128,0.014864,0.086112,0.119712,0.053344,0.040528,0.025824
Condorcet,0.047777599999999976,0.318096,0.066112,0.150864,0.099184,0.155184,0.155184,0.155184,0.155184,0.150864,0.155184,0.150864,0.308256,0.150864,0.155184,0.246064,0.226608,0.137008,0.157136,0.094816,0.035648,0.037056,0.095408,0.044256,0.03472,0.035056,0.035808,0.084272,0.034208,0.034736,0.039504,0.026816,0.0,0.034048,0.032192,0.027552,0.030848,0.026784,0.02408,0.032512,0.017296,0.029056,0.034,0.034736,0.034112,0.012352,0.012352,0.039936,0.039936,0.035168,0.036592,0.03944,0.037088,0.035712,0.034864,0.034752,0.038832,0.036448,0.039568,0.034496,0.097456,0.12208,0.06544,0.05208,0.039664
Copeland,0.033011200000000004,0.318672,0.046976,0.140608,0.086752,0.145072,0.145072,0.145072,0.145072,0.140608,0.145072,0.140608,0.303648,0.140608,0.145072,0.242416,0.216944,0.122544,0.14424,0.079168,0.014816,0.020448,0.081632,0.02456,0.011632,0.01064,0.008896,0.091952,0.012864,0.015488,0.016912,0.014384,0.034048,0.0,0.005232,0.014384,0.007024,0.0144,0.01656,0.007664,0.020352,0.008128,0.020496,0.00872,0.00928,0.028512,0.028512,0.015104,0.015104,0.010096,0.02024,0.020304,0.02144,0.0208,0.015968,0.008704,0.028576,0.004768,0.012816,0.009024,0.082544,0.124304,0.046512,0.034368,0.017616
Llull,0.03557199999999999,0.31848,0.049472,0.140352,0.088272,0.145344,0.145344,0.145344,0.145344,0.140352,0.145344,0.140352,0.30512,0.140352,0.145344,0.242144,0.217248,0.12368,0.145296,0.078592,0.013552,0.02,0.080448,0.02464,0.008576,0.007776,0.00952,0.089568,0.009792,0.014768,0.018944,0.011136,0.032192,0.005232,0.0,0.009872,0.002,0.011152,0.01272,0.004048,0.01792,0.0036,0.018624,0.005504,0.006144,0.02616,0.02616,0.01792,0.01792,0.00656,0.020032,0.0228,0.020864,0.019632,0.015344,0.005488,0.02832,0.008816,0.017472,0.006304,0.084032,0.123424,0.049104,0.034928,0.021632
Uncovered Set,0.043490400000000005,0.31864,0.054672,0.142384,0.093856,0.148208,0.148208,0.148208,0.148208,0.142384,0.148208,0.142384,0.308256,0.142384,0.148208,0.242736,0.21872,0.126768,0.148016,0.079952,0.016896,0.021552,0.081248,0.027552,0.0132,0.014112,0.016208,0.08376,0.012128,0.015808,0.026,0.009824,0.027552,0.014384,0.009872,0.0,0.007888,0.009824,0.00536,0.01032,0.012064,0.00992,0.016752,0.013904,0.012768,0.021088,0.021088,0.026432,0.026432,0.014528,0.02208,0.028,0.022224,0.020144,0.016336,0.013888,0.030352,0.01776,0.026,0.013424,0.087408,0.12096,0.054496,0.040144,0.027728
Uncovered Set - Fishburn,0.035732,0.318336,0.050368,0.14064,0.088608,0.145728,0.145728,0.145728,0.145728,0.14064,0.145728,0.14064,0.30528,0.14064,0.145728,0.242336,0.217648,0.124144,0.14576,0.078832,0.01376,0.020224,0.080624,0.02496,0.00904,0.008624,0.010416,0.088144,0.010112,0.014992,0.019888,0.009296,0.030848,0.007024,0.002,0.007888,0.0,0.009312,0.010752,0.004512,0.016496,0.00216,0.01704,0.006128,0.006752,0.024912,0.024912,0.018848,0.018848,0.006752,0.020224,0.023696,0.021104,0.019792,0.015568,0.006112,0.028608,0.010032,0.018624,0.007024,0.084544,0.122736,0.050064,0.0356,0.022592
Uncovered Set - Bordes,0.04393839999999999,0.318096,0.05328,0.142144,0.092416,0.14792,0.14792,0.14792,0.14792,0.142144,0.14792,0.142144,0.308256,0.142144,0.14792,0.242816,0.218352,0.125856,0.146944,0.081456,0.018288,0.023088,0.082368,0.027968,0.015152,0.01512,0.01704,0.083136,0.015408,0.017696,0.026656,6.4e-05,0.026784,0.0144,0.011152,0.009824,0.009312,0.0,0.004512,0.011008,0.011408,0.010416,0.021616,0.014688,0.013728,0.020608,0.020608,0.026912,0.026912,0.015136,0.021808,0.026608,0.023728,0.02176,0.018096,0.014672,0.030112,0.018272,0.026144,0.01488,0.08616,0.119696,0.053376,0.040528,0.02584
Uncovered Set - McKelvey,0.04576239999999998,0.318192,0.054896,0.142704,0.094208,0.148736,0.148736,0.148736,0.148736,0.142704,0.148736,0.142704,0.308256,0.142704,0.148736,0.24296,0.218656,0.126864,0.147808,0.081808,0.019152,0.023472,0.082464,0.02896,0.01624,0.016928,0.0188,0.079424,0.015584,0.01792,0.028224,0.004576,0.02408,0.01656,0.01272,0.00536,0.010752,0.004512,0.0,0.013152,0.007648,0.011952,0.02024,0.016544,0.015648,0.017664,0.017664,0.028928,0.028928,0.017072,0.02256,0.028224,0.02408,0.021792,0.018304,0.016528,0.030672,0.02024,0.02816,0.016336,0.087248,0.118128,0.05488,0.041696,0.027856
Slater,0.03578560000000001,0.318336,0.050464,0.14032,0.088048,0.14512,0.14512,0.14512,0.14512,0.14032,0.14512,0.14032,0.304656,0.14032,0.14512,0.242048,0.217808,0.124496,0.146272,0.078,0.012432,0.019248,0.080032,0.023824,0.006928,0.005904,0.00776,0.089872,0.008512,0.013888,0.018144,0.010992,0.032512,0.007664,0.004048,0.01032,0.004512,0.011008,0.013152,0.0,0.018224,0.005536,0.019744,0.006592,0.005744,0.026496,0.026496,0.018144,0.018144,0.006528,0.019968,0.023792,0.020272,0.018928,0.014672,0.006576,0.028288,0.008176,0.01848,0.007024,0.085104,0.124,0.050048,0.034848,0.021504
Top Cycle,0.046850400000000014,0.318432,0.057856,0.144368,0.095952,0.150464,0.150464,0.150464,0.150464,0.144368,0.150464,0.144368,0.308256,0.144368,0.150464,0.243568,0.219824,0.128784,0.149568,0.084624,0.023024,0.026416,0.085216,0.031792,0.0208,0.021408,0.022688,0.071776,0.02016,0.021008,0.031312,0.01144,0.017296,0.020352,0.01792,0.012064,0.016496,0.011408,0.007648,0.018224,0.0,0.014512,0.024944,0.021056,0.02032,0.014672,0.014672,0.032,0.032,0.021536,0.024656,0.031184,0.026896,0.02488,0.021152,0.02104,0.032336,0.023472,0.031328,0.02072,0.089344,0.114736,0.05752,0.044544,0.031152
GOCHA,0.035732,0.318352,0.050928,0.141152,0.089104,0.146128,0.146128,0.146128,0.146128,0.141152,0.146128,0.141152,0.30528,0.141152,0.146128,0.242336,0.217808,0.124608,0.146208,0.079344,0.014448,0.020768,0.08112,0.025552,0.009792,0.009264,0.011088,0.08616,0.010896,0.01552,0.020512,0.0104,0.029056,0.008128,0.0036,0.00992,0.00216,0.010416,0.011952,0.005536,0.014512,0.0,0.018416,0.00696,0.0076,0.02416,0.02416,0.01944,0.01944,0.007552,0.020832,0.024256,0.021616,0.020368,0.01608,0.006944,0.02912,0.010688,0.019216,0.008032,0.085072,0.122032,0.05056,0.03624,0.023184
Bipartisan Set,0.0279712,0.318288,0.054896,0.143312,0.085008,0.145024,0.145024,0.145024,0.145024,0.143312,0.145024,0.143312,0.30176,0.143312,0.145024,0.243152,0.222928,0.127872,0.148864,0.085472,0.025072,0.027008,0.087184,0.035488,0.023056,0.023312,0.023776,0.095536,0.02304,0.026128,0.025168,0.0216,0.034,0.020496,0.018624,0.016752,0.01704,0.021616,0.02024,0.019744,0.024944,0.018416,0.0,0.022304,0.022288,0.029936,0.029936,0.024816,0.024816,0.022624,0.029008,0.028224,0.027744,0.026832,0.026496,0.022288,0.03128,0.0236,0.024544,0.0224,0.088432,0.127696,0.054448,0.037872,0.027184
Minimax,0.0342944,0.318368,0.048272,0.139568,0.08744,0.14416,0.14416,0.14416,0.14416,0.139568,0.14416,0.139568,0.304,0.139568,0.14416,0.241792,0.217696,0.123472,0.14528,0.07784,0.012144,0.019248,0.080048,0.023664,0.005904,0.004784,0.006672,0.092688,0.007632,0.014,0.01744,0.014672,0.034736,0.00872,0.005504,0.013904,0.006128,0.014688,0.016544,0.006592,0.021056,0.00696,0.022304,0.0,0.0016,0.029008,0.029008,0.014224,0.014224,0.005632,0.018832,0.0216,0.020112,0.0192,0.014608,3.2e-05,0.027536,0.008144,0.016832,0.002768,0.08384,0.125152,0.048144,0.03488,0.021424
Split Cycle,0.035351999999999995,0.318352,0.048768,0.139328,0.087632,0.14408,0.14408,0.14408,0.14408,0.139328,0.14408,0.139328,0.304448,0.139328,0.14408,0.24184,0.217872,0.123728,0.145728,0.077216,0.011552,0.018672,0.079472,0.02328,0.005152,0.003824,0.005776,0.091952,0.006864,0.013344,0.017776,0.013712,0.034112,0.00928,0.006144,0.012768,0.006752,0.013728,0.015648,0.005744,0.02032,0.0076,0.022288,0.0016,0.0,0.028128,0.028128,0.01472,0.01472,0.00624,0.018624,0.022096,0.019488,0.018464,0.013936,0.001568,0.027296,0.00872,0.017568,0.00336,0.084304,0.124736,0.048576,0.034928,0.021584
Ranked Pairs ZT,0.04683439999999999,0.318384,0.06144,0.146352,0.09752,0.152576,0.152576,0.152576,0.152576,0.146352,0.152576,0.146352,0.308256,0.146352,0.152576,0.244384,0.221936,0.132464,0.152832,0.089856,0.030304,0.032064,0.090304,0.039312,0.028912,0.02944,0.030432,0.083296,0.028288,0.02904,0.0352,0.020608,0.012352,0.028512,0.02616,0.021088,0.024912,0.020608,0.017664,0.026496,0.014672,0.02416,0.029936,0.029008,0.028128,0.0,0.0,0.035632,0.035632,0.029632,0.031408,0.034768,0.032128,0.03032,0.029328,0.029024,0.03432,0.031456,0.0352,0.02872,0.093264,0.120272,0.060912,0.048688,0.035136
Ranked Pairs TB,0.04683439999999999,0.318384,0.06144,0.146352,0.09752,0.152576,0.152576,0.152576,0.152576,0.146352,0.152576,0.146352,0.308256,0.146352,0.152576,0.244384,0.221936,0.132464,0.152832,0.089856,0.030304,0.032064,0.090304,0.039312,0.028912,0.02944,0.030432,0.083296,0.028288,0.02904,0.0352,0.020608,0.012352,0.028512,0.02616,0.021088,0.024912,0.020608,0.017664,0.026496,0.014672,0.02416,0.029936,0.029008,0.028128,0.0,0.0,0.035632,0.035632,0.029632,0.031408,0.034768,0.032128,0.03032,0.029328,0.029024,0.03432,0.031456,0.0352,0.02872,0.093264,0.120272,0.060912,0.048688,0.035136
Simple Stable Voting,0.022405599999999998,0.318448,0.041552,0.142304,0.083408,0.145664,0.145664,0.145664,0.145664,0.142304,0.145664,0.142304,0.298352,0.142304,0.145664,0.242608,0.219568,0.121024,0.14136,0.083728,0.020736,0.02528,0.086784,0.029536,0.017088,0.015648,0.013984,0.10272,0.019168,0.023168,0.010448,0.026896,0.039936,0.015104,0.01792,0.026432,0.018848,0.026912,0.028928,0.018144,0.032,0.01944,0.024816,0.014224,0.01472,0.035632,0.035632,0.0,0.0,0.017216,0.026336,0.01488,0.026,0.026288,0.023552,0.014192,0.030272,0.013312,0.008624,0.014624,0.080656,0.129216,0.042608,0.036672,0.021856
Stable Voting,0.022405599999999998,0.318448,0.041552,0.142304,0.083408,0.145664,0.145664,0.145664,0.145664,0.142304,0.145664,0.142304,0.298352,0.142304,0.145664,0.242608,0.219568,0.121024,0.14136,0.083728,0.020736,0.02528,0.086784,0.029536,0.017088,0.015648,0.013984,0.10272,0.019168,0.023168,0.010448,0.026896,0.039936,0.015104,0.01792,0.026432,0.018848,0.026912,0.028928,0.018144,0.032,0.01944,0.024816,0.014224,0.01472,0.035632,0.035632,0.0,0.0,0.017216,0.026336,0.01488,0.026,0.026288,0.023552,0.014192,0.030272,0.013312,0.008624,0.014624,0.080656,0.129216,0.042608,0.036672,0.021856
Loss-Trimmer Voting,0.03364160000000001,0.318288,0.050992,0.140288,0.085952,0.144624,0.144624,0.144624,0.144624,0.140288,0.144624,0.140288,0.303488,0.140288,0.144624,0.241744,0.2184,0.125104,0.146752,0.076688,0.012352,0.017936,0.079264,0.023856,0.00384,0.004176,0.008064,0.093168,0.004416,0.012624,0.018672,0.01512,0.035168,0.010096,0.00656,0.014528,0.006752,0.015136,0.017072,0.006528,0.021536,0.007552,0.022624,0.005632,0.00624,0.029632,0.029632,0.017216,0.017216,0.0,0.019696,0.02432,0.01896,0.018,0.01328,0.0056,0.028256,0.009488,0.019008,0.006192,0.085648,0.126384,0.050688,0.034432,0.021152
Daunou,0.037960799999999996,0.318592,0.054256,0.12592,0.085536,0.132224,0.132224,0.132224,0.132224,0.12592,0.132224,0.12592,0.302192,0.12592,0.132224,0.240912,0.223808,0.12792,0.152208,0.0776,0.01552,0.019888,0.078224,0.034416,0.019264,0.01904,0.019072,0.094912,0.019856,0.016496,0.02688,0.021792,0.036592,0.02024,0.020032,0.02208,0.020224,0.021808,0.02256,0.019968,0.024656,0.020832,0.029008,0.018832,0.018624,0.031408,0.031408,0.026336,0.026336,0.019696,0.0,0.027584,0.019872,0.020464,0.016256,0.018832,0.013888,0.019536,0.026352,0.018672,0.090864,0.129024,0.053552,0.03464,0.023392
Blacks,0.0282,0.318304,0.026672,0.144432,0.086784,0.147696,0.147696,0.147696,0.147696,0.144432,0.147696,0.144432,0.29848,0.144432,0.147696,0.243536,0.2144,0.119968,0.136448,0.086944,0.025472,0.028816,0.089696,0.03216,0.024512,0.023568,0.022032,0.101952,0.025856,0.026944,0.006608,0.026576,0.03944,0.020304,0.0228,0.028,0.023696,0.026608,0.028224,0.023792,0.031184,0.024256,0.028224,0.0216,0.022096,0.034768,0.034768,0.01488,0.01488,0.02432,0.027584,0.0,0.029216,0.028992,0.027072,0.021584,0.0324,0.019728,0.007776,0.018976,0.078384,0.12816,0.036384,0.041024,0.026192
Condorcet IRV,0.03416240000000001,0.318656,0.055888,0.133424,0.074944,0.138032,0.138032,0.138032,0.138032,0.133424,0.138032,0.133424,0.301376,0.133424,0.138032,0.241264,0.22496,0.128112,0.15328,0.057728,0.013824,0.001984,0.07088,0.035936,0.018256,0.018912,0.019888,0.097968,0.018464,0.008656,0.026656,0.02368,0.037088,0.02144,0.020864,0.022224,0.021104,0.023728,0.02408,0.020272,0.026896,0.021616,0.027744,0.020112,0.019488,0.032128,0.032128,0.026,0.026,0.01896,0.019872,0.029216,0.0,0.003728,0.007552,0.020112,0.021392,0.020848,0.0264,0.019776,0.090768,0.129328,0.054672,0.031808,0.017584
Condorcet IRV PUT,0.0356616,0.318656,0.055664,0.134768,0.076704,0.139808,0.139808,0.139808,0.139808,0.134768,0.139808,0.134768,0.302576,0.134768,0.139808,0.241488,0.224224,0.127728,0.152608,0.061456,0.014688,0.005264,0.07128,0.035056,0.0172,0.017936,0.019264,0.096,0.017248,0.009488,0.026368,0.021728,0.035712,0.0208,0.019632,0.020144,0.019792,0.02176,0.021792,0.018928,0.02488,0.020368,0.026832,0.0192,0.018464,0.03032,0.03032,0.026288,0.026288,0.018,0.020464,0.028992,0.003728,0.0,0.008976,0.0192,0.022736,0.020528,0.026336,0.0188,0.090272,0.128048,0.054704,0.032672,0.018
