,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.47707920000000004,0.0,0.476816,0.476496,0.475616,0.477168,0.477504,0.477984,0.477312,0.478336,0.477408,0.477872,0.478016,0.477728,0.477168,0.476592
Borda ranking,0.11988239999999999,0.476816,0.0,0.258336,0.136464,0.110912,0.1272,0.321776,0.252304,0.304592,0.166656,0.157216,0.390352,0.127344,0.114256,0.25552
Plurality ranking,0.3011032,0.476496,0.258336,0.0,0.174752,0.297648,0.299968,0.371904,0.333696,0.348608,0.310416,0.309376,0.421824,0.30072,0.297376,0.356416
STV,0.16512239999999997,0.475616,0.136464,0.174752,0.0,0.161392,0.166944,0.34024,0.27544,0.336112,0.188544,0.191264,0.392288,0.167216,0.161616,0.268848
Approval Voting (AV),0.10584640000000001,0.477168,0.110912,0.297648,0.161392,0.0,0.074128,0.312496,0.235456,0.294336,0.131536,0.12856,0.383792,0.075184,0.020192,0.240144
Proportional Approval Voting (PAV),0.14204799999999995,0.477504,0.1272,0.299968,0.166944,0.074128,0.0,0.255328,0.171296,0.249472,0.081392,0.082992,0.364624,0.031072,0.05848,0.245168
Approval Chamberlin-Courant (CC),0.3430776,0.477984,0.321776,0.371904,0.34024,0.312496,0.255328,0.0,0.1076,0.270512,0.225728,0.255056,0.22768,0.271216,0.30256,0.371984
Lexicographic Chamberlin-Courant (lex-CC),0.2776056,0.477312,0.252304,0.333696,0.27544,0.235456,0.171296,0.1076,0.0,0.182128,0.162,0.171264,0.292368,0.187856,0.222752,0.315888
Sequential Approval Chamberlin-Courant (seq-CC),0.3370304,0.478336,0.304592,0.348608,0.336112,0.294336,0.249472,0.270512,0.182128,0.0,0.273936,0.18864,0.421456,0.229232,0.282752,0.361552
Monroe's Approval Rule (Monroe),0.18018240000000002,0.477408,0.166656,0.310416,0.188544,0.131536,0.081392,0.225728,0.162,0.273936,0.0,0.113056,0.352688,0.096912,0.121152,0.260944
Greedy Monroe,0.1813304,0.477872,0.157216,0.309376,0.191264,0.12856,0.082992,0.255056,0.171264,0.18864,0.113056,0.0,0.383792,0.063104,0.115872,0.257392
Minimax Approval Voting (MAV),0.34116959999999996,0.478016,0.390352,0.421824,0.392288,0.383792,0.364624,0.22768,0.292368,0.421456,0.352688,0.383792,0.0,0.381792,0.37928,0.396944
Method of Equal Shares (aka Rule X) with Phragmén phase,0.142952,0.477728,0.127344,0.30072,0.167216,0.075184,0.031072,0.271216,0.187856,0.229232,0.096912,0.063104,0.381792,0.0,0.060944,0.244816
E Pluribus Hugo (EPH),0.11820399999999999,0.477168,0.114256,0.297376,0.161616,0.020192,0.05848,0.30256,0.222752,0.282752,0.121152,0.115872,0.37928,0.060944,0.0,0.241936
Random Serial Dictator,0.25961519999999993,0.476592,0.25552,0.356416,0.268848,0.240144,0.245168,0.371984,0.315888,0.361552,0.260944,0.257392,0.396944,0.244816,0.241936,0.0
NN,,0.47707920000000004,0.11988239999999999,0.3011032,0.16512239999999997,0.10584640000000001,0.14204799999999995,0.3430776,0.2776056,0.3370304,0.18018240000000002,0.1813304,0.34116959999999996,0.142952,0.11820399999999999,0.25961519999999993
