Method,1,2,3,4,5
Neural Network,6.909090909090909e-06,6.890909090909091e-05,0.0008470909090909,0.0016734545454545,0.001446
Random Choice,0.0081590909090909,0.011074,0.0150470909090909,0.0167458181818181,0.0154783636363636
Borda ranking,0.0011272727272727,0.0013485454545454,0.0020167272727272,0.0023836363636363,0.001886
Plurality ranking,0.0045078181818181,0.0063832727272727,0.0078,0.0081776363636363,0.0076205454545454
Approval Voting (AV),0.0045061818181818,0.0031754545454545,0.0024883636363636,0.0037141818181818,0.0035105454545454
Proportional Approval Voting (PAV),0.0045061818181818,0.0042798181818181,0.0037410909090909,0.0044143636363636,0.0035105454545454
Approval Chamberlin-Courant (CC),0.0045061818181818,0.0067563636363636,0.0142623636363636,0.0168225454545454,0.0155536363636363
Lexicographic Chamberlin-Courant (lex-CC),0.0045061818181818,0.0065056363636363,0.007150909090909,0.0092085454545454,0.0035105454545454
Sequential Approval Chamberlin-Courant (seq-CC),0.0045103636363636,0.0064114545454545,0.0122196363636363,0.0151647272727272,0.0154847272727272
Monroe's Approval Rule (Monroe),0.0045061818181818,0.0057981818181818,0.010618909090909,0.0162641818181818,0.0155241818181818
Greedy Monroe,0.0045103636363636,0.0056476363636363,0.0064130909090909,0.007242,0.0061501818181818
Minimax Approval Voting (MAV),0.0081076363636363,0.0110527272727272,0.0140810909090909,0.0127694545454545,0.0155536363636363
