Method,1,2,3,4,5
Neural Network,6.181818181818182e-06,4.745454545454545e-05,0.0007052727272727,0.001344909090909,0.0011618181818181
Random Choice,0.0082298181818181,0.0113450909090909,0.0155505454545454,0.0172270909090909,0.0157656363636363
Borda ranking,0.0010721818181818,0.0012765454545454,0.0017872727272727,0.0020547272727272,0.0017312727272727
Plurality ranking,0.0041370909090909,0.0061643636363636,0.0076254545454545,0.0080225454545454,0.007260909090909
Approval Voting (AV),0.0041554545454545,0.0027167272727272,0.0022034545454545,0.0029918181818181,0.0029563636363636
Proportional Approval Voting (PAV),0.0041554545454545,0.0039614545454545,0.0033103636363636,0.0035210909090909,0.0029563636363636
Approval Chamberlin-Courant (CC),0.0041554545454545,0.006918,0.014652909090909,0.0172454545454545,0.0157523636363636
Lexicographic Chamberlin-Courant (lex-CC),0.0041554545454545,0.0066336363636363,0.0070552727272727,0.0090703636363636,0.0029563636363636
Sequential Approval Chamberlin-Courant (seq-CC),0.0041407272727272,0.0064978181818181,0.0124594545454545,0.0154567272727272,0.0156050909090909
Monroe's Approval Rule (Monroe),0.0041554545454545,0.0057445454545454,0.0105014545454545,0.0165512727272727,0.0157336363636363
Greedy Monroe,0.0041407272727272,0.0055458181818181,0.0059478181818181,0.0065014545454545,0.0055341818181818
Minimax Approval Voting (MAV),0.0081818181818181,0.0112836363636363,0.014538,0.0127870909090909,0.0157523636363636
