Method,1,2,3,4,5
Neural Network,0.0,6.90909090909091e-05,0.0004847272727272,0.0011301818181818,0.0010974545454545
Random Choice,0.0053507272727272,0.0043483636363636,0.0051585454545454,0.0073921818181818,0.009732909090909
Borda ranking,0.000714,0.000646909090909,0.000654,0.0008894545454545,0.001354
Plurality ranking,0.0026192727272727,0.0026612727272727,0.0026987272727272,0.002920909090909,0.0032230909090909
Approval Voting (AV),0.0026105454545454,0.001852909090909,0.0017723636363636,0.0032492727272727,0.0054778181818181
Proportional Approval Voting (PAV),0.0026105454545454,0.0020576363636363,0.0020087272727272,0.0032872727272727,0.0054778181818181
Approval Chamberlin-Courant (CC),0.0026105454545454,0.002546909090909,0.0038534545454545,0.0073185454545454,0.0096252727272727
Lexicographic Chamberlin-Courant (lex-CC),0.0026105454545454,0.0023892727272727,0.0031932727272727,0.0039196363636363,0.0054778181818181
Sequential Approval Chamberlin-Courant (seq-CC),0.0026192727272727,0.0024778181818181,0.0034527272727272,0.0064918181818181,0.0092012727272727
Monroe's Approval Rule (Monroe),0.0026105454545454,0.0025454545454545,0.0038470909090909,0.0073185454545454,0.0096252727272727
Greedy Monroe,0.0026192727272727,0.0024765454545454,0.0030303636363636,0.0051247272727272,0.0074485454545454
Minimax Approval Voting (MAV),0.005346909090909,0.0043465454545454,0.0039492727272727,0.0073185454545454,0.0096252727272727
