Method,1,2,3,4,5
Neural Network,6e-06,7.109090909090909e-05,0.000932,0.0018756363636363,0.001774909090909
Random Choice,0.007944,0.0105932727272727,0.0143932727272727,0.0161805454545454,0.014886909090909
Borda ranking,0.0011483636363636,0.0013618181818181,0.0020945454545454,0.0025227272727272,0.0022147272727272
Plurality ranking,0.0046061818181818,0.006438,0.0078292727272727,0.0080150909090909,0.0074454545454545
Approval Voting (AV),0.0046174545454545,0.003254,0.002638,0.0041072727272727,0.0046367272727272
Proportional Approval Voting (PAV),0.0046174545454545,0.004306,0.0039212727272727,0.0048923636363636,0.0046367272727272
Approval Chamberlin-Courant (CC),0.0046174545454545,0.0066923636363636,0.0137547272727272,0.0160983636363636,0.014922
Lexicographic Chamberlin-Courant (lex-CC),0.0046174545454545,0.0064472727272727,0.007056,0.0095267272727272,0.0046367272727272
Sequential Approval Chamberlin-Courant (seq-CC),0.004602,0.0063265454545454,0.0117105454545454,0.014604909090909,0.0146578181818181
Monroe's Approval Rule (Monroe),0.0046174545454545,0.0058283636363636,0.0107143636363636,0.0158721818181818,0.0149196363636363
Greedy Monroe,0.004602,0.0057014545454545,0.0066732727272727,0.0078198181818181,0.0068016363636363
Minimax Approval Voting (MAV),0.0080101818181818,0.0105343636363636,0.0136918181818181,0.0129047272727272,0.014922
