,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Random Choice,0.3197056,0.0,0.319536,0.319728,0.319568,0.319776,0.319776,0.319776,0.319776,0.319728,0.319776,0.319728,0.3216,0.319728,0.319776,0.31992,0.320656,0.321056,0.320944,0.319808,0.320032,0.319824,0.320608,0.320416,0.320192,0.32024,0.320128,0.320048,0.320224,0.320368,0.319952,0.32032,0.320368,0.320192,0.32032,0.320256,0.320288,0.32032,0.320272,0.320288,0.320336,0.320288,0.320224,0.320272,0.320272,0.320336,0.320336,0.320272,0.320272,0.320256,0.320368,0.319952,0.319856,0.319792,0.320432,0.320272,0.319968,0.320192,0.319648,0.320304,0.320416,0.321008,0.319632,0.320016,0.319632
Borda ranking,0.06404480000000001,0.319536,0.0,0.22024,0.13008,0.220512,0.220512,0.220512,0.220512,0.22024,0.220512,0.22024,0.322192,0.22024,0.220512,0.28592,0.168784,0.096176,0.109824,0.134208,0.063168,0.06664,0.15208,0.063888,0.062336,0.06184,0.061392,0.138448,0.062528,0.06408,0.04512,0.063008,0.073792,0.06104,0.061808,0.06336,0.061888,0.063008,0.063552,0.06192,0.064848,0.061968,0.063456,0.061616,0.061696,0.071216,0.071216,0.055376,0.055376,0.061904,0.066288,0.04192,0.0672,0.06656,0.064144,0.061616,0.074608,0.060976,0.048368,0.060256,0.081136,0.126064,0.054832,0.087072,0.069728
Plurality ranking,0.1848088,0.319728,0.22024,0.0,0.144096,0.0288,0.0288,0.0288,0.0288,0.0,0.0288,0.0,0.325456,0.0,0.0288,0.255568,0.307472,0.230944,0.2864,0.137728,0.180992,0.177408,0.118336,0.194176,0.18344,0.183568,0.183936,0.214512,0.183344,0.18216,0.190944,0.18472,0.190896,0.18432,0.183856,0.183856,0.183856,0.18472,0.184544,0.183712,0.184976,0.18392,0.184256,0.183648,0.1836,0.188592,0.188592,0.188848,0.188848,0.183504,0.175936,0.192064,0.176288,0.177264,0.182,0.183648,0.159376,0.184272,0.189904,0.184032,0.228416,0.223328,0.20088,0.163264,0.173184
STV,0.0894176,0.319568,0.13008,0.144096,0.0,0.1416,0.1416,0.1416,0.1416,0.144096,0.1416,0.144096,0.311856,0.144096,0.1416,0.267552,0.246096,0.154528,0.207904,0.03616,0.100144,0.093248,0.081072,0.112032,0.102368,0.102112,0.101696,0.167104,0.102768,0.100512,0.098448,0.103856,0.109568,0.10128,0.10216,0.104736,0.10224,0.103856,0.104816,0.102224,0.105584,0.102336,0.096544,0.102192,0.102256,0.108464,0.108464,0.098048,0.098048,0.101744,0.098736,0.099472,0.091616,0.092656,0.100128,0.102192,0.0924,0.101536,0.097632,0.102608,0.146176,0.167472,0.119648,0.077248,0.089552
Approval Voting (AV),0.18384720000000002,0.319776,0.220512,0.0288,0.1416,0.0,0.0,0.0,0.0,0.0288,0.0,0.0288,0.313328,0.0288,0.0,0.255808,0.311328,0.231968,0.2864,0.138272,0.181776,0.178112,0.121232,0.194448,0.184224,0.184256,0.184544,0.219392,0.184224,0.183232,0.190928,0.185824,0.192096,0.184928,0.184736,0.185072,0.184768,0.185824,0.185808,0.18456,0.186352,0.184816,0.1848,0.184432,0.184432,0.190048,0.190048,0.18864,0.18864,0.18424,0.17712,0.192096,0.177072,0.17824,0.183072,0.184432,0.162304,0.18472,0.189856,0.184896,0.229152,0.22824,0.201392,0.1628,0.173616
Proportional Approval Voting (PAV),0.18384720000000002,0.319776,0.220512,0.0288,0.1416,0.0,0.0,0.0,0.0,0.0288,0.0,0.0288,0.313328,0.0288,0.0,0.255808,0.311328,0.231968,0.2864,0.138272,0.181776,0.178112,0.121232,0.194448,0.184224,0.184256,0.184544,0.219392,0.184224,0.183232,0.190928,0.185824,0.192096,0.184928,0.184736,0.185072,0.184768,0.185824,0.185808,0.18456,0.186352,0.184816,0.1848,0.184432,0.184432,0.190048,0.190048,0.18864,0.18864,0.18424,0.17712,0.192096,0.177072,0.17824,0.183072,0.184432,0.162304,0.18472,0.189856,0.184896,0.229152,0.22824,0.201392,0.1628,0.173616
Approval Chamberlin-Courant (CC),0.18384720000000002,0.319776,0.220512,0.0288,0.1416,0.0,0.0,0.0,0.0,0.0288,0.0,0.0288,0.313328,0.0288,0.0,0.255808,0.311328,0.231968,0.2864,0.138272,0.181776,0.178112,0.121232,0.194448,0.184224,0.184256,0.184544,0.219392,0.184224,0.183232,0.190928,0.185824,0.192096,0.184928,0.184736,0.185072,0.184768,0.185824,0.185808,0.18456,0.186352,0.184816,0.1848,0.184432,0.184432,0.190048,0.190048,0.18864,0.18864,0.18424,0.17712,0.192096,0.177072,0.17824,0.183072,0.184432,0.162304,0.18472,0.189856,0.184896,0.229152,0.22824,0.201392,0.1628,0.173616
Lexicographic Chamberlin-Courant (lex-CC),0.18384720000000002,0.319776,0.220512,0.0288,0.1416,0.0,0.0,0.0,0.0,0.0288,0.0,0.0288,0.313328,0.0288,0.0,0.255808,0.311328,0.231968,0.2864,0.138272,0.181776,0.178112,0.121232,0.194448,0.184224,0.184256,0.184544,0.219392,0.184224,0.183232,0.190928,0.185824,0.192096,0.184928,0.184736,0.185072,0.184768,0.185824,0.185808,0.18456,0.186352,0.184816,0.1848,0.184432,0.184432,0.190048,0.190048,0.18864,0.18864,0.18424,0.17712,0.192096,0.177072,0.17824,0.183072,0.184432,0.162304,0.18472,0.189856,0.184896,0.229152,0.22824,0.201392,0.1628,0.173616
Sequential Approval Chamberlin-Courant (seq-CC),0.1848088,0.319728,0.22024,0.0,0.144096,0.0288,0.0288,0.0288,0.0288,0.0,0.0288,0.0,0.325456,0.0,0.0288,0.255568,0.307472,0.230944,0.2864,0.137728,0.180992,0.177408,0.118336,0.194176,0.18344,0.183568,0.183936,0.214512,0.183344,0.18216,0.190944,0.18472,0.190896,0.18432,0.183856,0.183856,0.183856,0.18472,0.184544,0.183712,0.184976,0.18392,0.184256,0.183648,0.1836,0.188592,0.188592,0.188848,0.188848,0.183504,0.175936,0.192064,0.176288,0.177264,0.182,0.183648,0.159376,0.184272,0.189904,0.184032,0.228416,0.223328,0.20088,0.163264,0.173184
Monroe's Approval Rule (Monroe),0.18384720000000002,0.319776,0.220512,0.0288,0.1416,0.0,0.0,0.0,0.0,0.0288,0.0,0.0288,0.313328,0.0288,0.0,0.255808,0.311328,0.231968,0.2864,0.138272,0.181776,0.178112,0.121232,0.194448,0.184224,0.184256,0.184544,0.219392,0.184224,0.183232,0.190928,0.185824,0.192096,0.184928,0.184736,0.185072,0.184768,0.185824,0.185808,0.18456,0.186352,0.184816,0.1848,0.184432,0.184432,0.190048,0.190048,0.18864,0.18864,0.18424,0.17712,0.192096,0.177072,0.17824,0.183072,0.184432,0.162304,0.18472,0.189856,0.184896,0.229152,0.22824,0.201392,0.1628,0.173616
