,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.47959040000000003,0.0,0.478928,0.478864,0.47728,0.478064,0.478832,0.479136,0.479072,0.480336,0.47952,0.48008,0.4796,0.47912,0.477136,0.477328
Borda ranking,0.0832376,0.478928,0.0,0.312896,0.22144,0.14744,0.171696,0.291184,0.277424,0.273008,0.228496,0.222208,0.434976,0.16904,0.143376,0.36952
Plurality ranking,0.30254000000000003,0.478864,0.312896,0.0,0.169248,0.278432,0.339456,0.428176,0.420688,0.420368,0.36248,0.377104,0.480976,0.332256,0.28608,0.405296
STV,0.2251584,0.47728,0.22144,0.169248,0.0,0.22088,0.25136,0.357664,0.347456,0.35176,0.282416,0.299536,0.448784,0.247136,0.21784,0.390208
Approval Voting (AV),0.12567040000000002,0.478064,0.14744,0.278432,0.22088,0.0,0.161232,0.297984,0.285584,0.286128,0.222576,0.231104,0.428288,0.155984,0.040016,0.3564
Proportional Approval Voting (PAV),0.19960559999999997,0.478832,0.171696,0.339456,0.25136,0.161232,0.0,0.15896,0.141904,0.178544,0.110512,0.11952,0.401008,0.05152,0.13568,0.36928
Approval Chamberlin-Courant (CC),0.32195759999999995,0.479136,0.291184,0.428176,0.357664,0.297984,0.15896,0.0,0.023248,0.12912,0.157872,0.152832,0.36984,0.186112,0.276752,0.401024
Lexicographic Chamberlin-Courant (lex-CC),0.3107288,0.479072,0.277424,0.420688,0.347456,0.285584,0.141904,0.023248,0.0,0.108848,0.150112,0.136528,0.383424,0.169936,0.263504,0.398144
Sequential Approval Chamberlin-Courant (seq-CC),0.3070192,0.480336,0.273008,0.420368,0.35176,0.286128,0.178544,0.12912,0.108848,0.0,0.239968,0.07752,0.41256,0.147568,0.26136,0.399728
Monroe's Approval Rule (Monroe),0.2575512,0.47952,0.228496,0.36248,0.282416,0.222576,0.110512,0.157872,0.150112,0.239968,0.0,0.180528,0.397136,0.13488,0.20224,0.383984
Greedy Monroe,0.2568312,0.48008,0.222208,0.377104,0.299536,0.231104,0.11952,0.152832,0.136528,0.07752,0.180528,0.0,0.416032,0.089424,0.205232,0.382816
Minimax Approval Voting (MAV),0.42691920000000005,0.4796,0.434976,0.480976,0.448784,0.428288,0.401008,0.36984,0.383424,0.41256,0.397136,0.416032,0.0,0.415664,0.427232,0.458848
Method of Equal Shares (aka Rule X) with Phragmén phase,0.1952872,0.47912,0.16904,0.332256,0.247136,0.155984,0.05152,0.186112,0.169936,0.147568,0.13488,0.089424,0.415664,0.0,0.127728,0.368192
E Pluribus Hugo (EPH),0.140748,0.477136,0.143376,0.28608,0.21784,0.040016,0.13568,0.276752,0.263504,0.26136,0.20224,0.205232,0.427232,0.127728,0.0,0.357808
Random Serial Dictator,0.3676136,0.477328,0.36952,0.405296,0.390208,0.3564,0.36928,0.401024,0.398144,0.399728,0.383984,0.382816,0.458848,0.368192,0.357808,0.0
NN,,0.47959040000000003,0.0832376,0.30254000000000003,0.2251584,0.12567040000000002,0.19960559999999997,0.32195759999999995,0.3107288,0.3070192,0.2575512,0.2568312,0.42691920000000005,0.1952872,0.140748,0.3676136
