,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.319824,0.0,0.32,0.3188,0.3212,0.319824,0.319824,0.320912,0.319824,0.319456,0.320896,0.32008,0.320912,0.319728,0.319824,0.31968
Borda ranking,0.068704,0.32,0.0,0.108384,0.059328,0.068704,0.068704,0.323424,0.068704,0.315872,0.323376,0.14216,0.323424,0.066416,0.068704,0.17976
Plurality ranking,0.15873599999999993,0.3188,0.108384,0.0,0.103472,0.158736,0.158736,0.332544,0.158736,0.304784,0.332496,0.171296,0.332544,0.151168,0.158736,0.191504
STV,0.09305599999999999,0.3212,0.059328,0.103472,0.0,0.093056,0.093056,0.32128,0.093056,0.318368,0.321232,0.150128,0.32128,0.094192,0.093056,0.183344
Approval Voting (AV),0.0,0.319824,0.068704,0.158736,0.093056,0.0,0.0,0.312928,0.0,0.326544,0.31288,0.142768,0.312928,0.044752,0.0,0.176048
Proportional Approval Voting (PAV),0.0,0.319824,0.068704,0.158736,0.093056,0.0,0.0,0.312928,0.0,0.326544,0.31288,0.142768,0.312928,0.044752,0.0,0.176048
Approval Chamberlin-Courant (CC),0.31292800000000004,0.320912,0.323424,0.332544,0.32128,0.312928,0.312928,0.0,0.312928,0.4,4.8e-05,0.339152,0.0,0.330368,0.312928,0.319952
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.319824,0.068704,0.158736,0.093056,0.0,0.0,0.312928,0.0,0.326544,0.31288,0.142768,0.312928,0.044752,0.0,0.176048
Sequential Approval Chamberlin-Courant (seq-CC),0.32654399999999983,0.319456,0.315872,0.304784,0.318368,0.326544,0.326544,0.4,0.326544,0.0,0.4,0.300496,0.4,0.308256,0.326544,0.318432
Monroe's Approval Rule (Monroe),0.3128799999999999,0.320896,0.323376,0.332496,0.321232,0.31288,0.31288,4.8e-05,0.31288,0.4,0.0,0.339104,4.8e-05,0.33032,0.31288,0.319936
Greedy Monroe,0.142768,0.32008,0.14216,0.171296,0.150128,0.142768,0.142768,0.339152,0.142768,0.300496,0.339104,0.0,0.339152,0.130912,0.142768,0.189504
Minimax Approval Voting (MAV),0.31292800000000004,0.320912,0.323424,0.332544,0.32128,0.312928,0.312928,0.0,0.312928,0.4,4.8e-05,0.339152,0.0,0.330368,0.312928,0.319952
Method of Equal Shares (aka Rule X) with Phragmén phase,0.04475199999999999,0.319728,0.066416,0.151168,0.094192,0.044752,0.044752,0.330368,0.044752,0.308256,0.33032,0.130912,0.330368,0.0,0.044752,0.176288
E Pluribus Hugo (EPH),0.0,0.319824,0.068704,0.158736,0.093056,0.0,0.0,0.312928,0.0,0.326544,0.31288,0.142768,0.312928,0.044752,0.0,0.176048
Random Serial Dictator,0.17604799999999995,0.31968,0.17976,0.191504,0.183344,0.176048,0.176048,0.319952,0.176048,0.318432,0.319936,0.189504,0.319952,0.176288,0.176048,0.0
NN,,0.319824,0.068704,0.15873599999999993,0.09305599999999999,0.0,0.0,0.31292800000000004,0.0,0.32654399999999983,0.3128799999999999,0.142768,0.31292800000000004,0.04475199999999999,0.0,0.17604799999999995
