,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Daunou,0.025671428571428567,0.24421714285714285,0.052617142857142855,0.15706285714285714,0.09902857142857142,0.15709714285714285,0.15709714285714285,0.15709714285714285,0.15709714285714285,0.15706285714285714,0.15709714285714285,0.15706285714285714,0.24589714285714287,0.15706285714285714,0.15709714285714285,0.21926857142857142,0.1956342857142857,0.10627428571428571,0.08934857142857143,0.09781714285714285,0.011965714285714286,0.014251428571428571,0.10765714285714285,0.02577142857142857,0.012914285714285715,0.013062857142857143,0.013337142857142856,0.11373714285714286,0.012994285714285713,0.011165714285714286,0.020937142857142856,0.013954285714285714,0.025451428571428573,0.01456,0.013428571428571429,0.013337142857142856,0.013337142857142856,0.013954285714285714,0.013805714285714286,0.013314285714285714,0.014411428571428572,0.01336,0.019748571428571428,0.013108571428571428,0.013085714285714286,0.024205714285714285,0.024205714285714285,0.02048,0.02048,0.013108571428571428,0.0,0.021611428571428573,0.014411428571428572,0.014274285714285715,0.011154285714285714,0.013108571428571428,0.012982857142857143,0.014582857142857142,0.02112,0.013291428571428572,0.07285714285714286,0.10464,0.056114285714285714,0.05064,0.016434285714285714
Blacks,0.018030857142857144,0.24413714285714286,0.031005714285714286,0.17142857142857143,0.10206857142857143,0.17005714285714285,0.17005714285714285,0.17005714285714285,0.17005714285714285,0.17142857142857143,0.17005714285714285,0.17142857142857143,0.24405714285714286,0.17142857142857143,0.17005714285714285,0.2213142857142857,0.19369142857142857,0.10913142857142857,0.07736,0.10564571428571429,0.01832,0.021245714285714284,0.11741714285714286,0.023428571428571427,0.017211428571428572,0.017074285714285715,0.016514285714285714,0.11912,0.01734857142857143,0.01872,0.0031085714285714284,0.01750857142857143,0.026731428571428573,0.015668571428571428,0.016822857142857143,0.017805714285714286,0.017005714285714287,0.01750857142857143,0.01782857142857143,0.017074285714285715,0.01882285714285714,0.017108571428571428,0.017085714285714287,0.016674285714285714,0.016765714285714287,0.025965714285714286,0.025965714285714286,0.012034285714285714,0.012034285714285714,0.017108571428571428,0.021611428571428573,0.0,0.02224,0.021634285714285714,0.018811428571428573,0.016674285714285714,0.027348571428571427,0.015908571428571428,0.005805714285714286,0.015142857142857144,0.06317714285714286,0.10438857142857143,0.045154285714285716,0.05973714285714286,0.021611428571428573
Condorcet IRV,0.021794285714285714,0.24376,0.053245714285714285,0.15830857142857144,0.09157714285714286,0.15715428571428572,0.15715428571428572,0.15715428571428572,0.15715428571428572,0.15830857142857144,0.15715428571428572,0.15830857142857144,0.24491428571428572,0.15830857142857144,0.15715428571428572,0.21961142857142857,0.19580571428571428,0.10539428571428572,0.09053714285714286,0.08340571428571429,0.01056,0.0034514285714285714,0.10210285714285715,0.026411428571428572,0.014651428571428572,0.014582857142857142,0.014628571428571428,0.11709714285714286,0.01464,0.011931428571428572,0.02144,0.015588571428571429,0.02593142857142857,0.015428571428571429,0.014902857142857143,0.014845714285714285,0.014891428571428571,0.015588571428571429,0.015508571428571429,0.014925714285714285,0.016171428571428573,0.014925714285714285,0.01872,0.014765714285714287,0.014742857142857143,0.024457142857142858,0.024457142857142858,0.020102857142857145,0.020102857142857145,0.014777142857142857,0.014411428571428572,0.02224,0.0,0.0028685714285714287,0.011394285714285714,0.014765714285714287,0.014228571428571429,0.015542857142857143,0.02014857142857143,0.01504,0.07337142857142857,0.10539428571428572,0.056228571428571426,0.046605714285714285,0.011942857142857142
Condorcet IRV PUT,0.023003428571428574,0.24384,0.05264,0.15954285714285715,0.09260571428571429,0.15851428571428572,0.15851428571428572,0.15851428571428572,0.15851428571428572,0.15954285714285715,0.15851428571428572,0.15954285714285715,0.24550857142857144,0.15954285714285715,0.15851428571428572,0.21989714285714285,0.1946857142857143,0.10510857142857143,0.09025142857142857,0.08627428571428572,0.010525714285714286,0.005554285714285714,0.10259428571428572,0.025474285714285713,0.013691428571428571,0.013702857142857143,0.013874285714285714,0.11585142857142858,0.013577142857142857,0.01072,0.02085714285714286,0.014468571428571428,0.025314285714285713,0.014537142857142858,0.013794285714285714,0.013542857142857143,0.013782857142857144,0.014468571428571428,0.014182857142857143,0.013874285714285714,0.014525714285714286,0.013817142857142858,0.01793142857142857,0.013885714285714286,0.013851428571428572,0.023897142857142856,0.023897142857142856,0.020034285714285713,0.020034285714285713,0.013782857142857144,0.014274285714285715,0.021634285714285714,0.0028685714285714287,0.0,0.01016,0.013885714285714286,0.015462857142857143,0.014788571428571429,0.019725714285714287,0.013874285714285714,0.07310857142857143,0.10464,0.05619428571428572,0.04726857142857143,0.012685714285714286
Smith IRV,0.02727485714285714,0.24437714285714285,0.04981714285714286,0.16386285714285714,0.10006857142857142,0.16309714285714286,0.16309714285714286,0.16309714285714286,0.16309714285714286,0.16386285714285714,0.16309714285714286,0.16386285714285714,0.24710857142857143,0.16386285714285714,0.16309714285714286,0.22024,0.19174857142857143,0.10561142857142858,0.08651428571428571,0.0948,0.0074514285714285715,0.011062857142857143,0.10678857142857143,0.02088,0.0071314285714285715,0.007268571428571429,0.007268571428571429,0.11156571428571428,0.007074285714285714,0.0007542857142857143,0.01817142857142857,0.008331428571428571,0.024034285714285713,0.00856,0.007588571428571429,0.007348571428571428,0.0076,0.008331428571428571,0.008102857142857143,0.00768,0.0084,0.007657142857142857,0.017177142857142856,0.0074514285714285715,0.00744,0.022514285714285716,0.022514285714285716,0.016502857142857142,0.016502857142857142,0.007371428571428571,0.011154285714285714,0.018811428571428573,0.011394285714285714,0.01016,0.0,0.0074514285714285715,0.019782857142857144,0.00888,0.017245714285714284,0.007657142857142857,0.07041142857142857,0.10049142857142856,0.05411428571428571,0.05132571428571429,0.01569142857142857
Smith-Minimax,0.024826285714285714,0.24408,0.04768,0.1650742857142857,0.10169142857142857,0.16465142857142856,0.16465142857142856,0.16465142857142856,0.16465142857142856,0.1650742857142857,0.16465142857142856,0.1650742857142857,0.24736,0.1650742857142857,0.16465142857142856,0.22046857142857143,0.19150857142857142,0.10550857142857142,0.08420571428571429,0.09817142857142858,0.006994285714285714,0.013245714285714286,0.10851428571428572,0.01681142857142857,0.0017942857142857142,0.0011657142857142858,0.0027085714285714287,0.11168,0.002697142857142857,0.007348571428571428,0.014445714285714286,0.0051085714285714285,0.024,0.004011428571428571,0.001577142857142857,0.004971428571428571,0.0015542857142857142,0.0051085714285714285,0.006251428571428572,0.0017257142857142857,0.00864,0.0017257142857142857,0.014594285714285714,0.0,0.00014857142857142857,0.022365714285714287,0.022365714285714287,0.01136,0.01136,0.0014857142857142857,0.013108571428571428,0.016674285714285714,0.014765714285714287,0.013885714285714286,0.0074514285714285715,0.0,0.020994285714285715,0.004022857142857143,0.012765714285714286,0.0016457142857142857,0.06822857142857143,0.09921142857142858,0.05180571428571429,0.05170285714285714,0.014868571428571429
Condorcet Plurality,0.022497142857142858,0.24419428571428572,0.05835428571428571,0.14408,0.09664,0.14586285714285716,0.14586285714285716,0.14586285714285716,0.14586285714285716,0.14408,0.14586285714285716,0.14408,0.24437714285714285,0.14408,0.14586285714285716,0.21892571428571428,0.20038857142857142,0.10793142857142857,0.09510857142857143,0.09763428571428572,0.0188,0.015668571428571428,0.10596571428571429,0.031497142857142855,0.02065142857142857,0.020617142857142858,0.02105142857142857,0.12148571428571428,0.02081142857142857,0.019782857142857144,0.026845714285714285,0.021382857142857144,0.02713142857142857,0.021725714285714286,0.02112,0.021302857142857144,0.021028571428571428,0.021382857142857144,0.02154285714285714,0.02104,0.02198857142857143,0.021017142857142856,0.022502857142857144,0.020994285714285715,0.02096,0.02605714285714286,0.02605714285714286,0.024925714285714287,0.024925714285714287,0.020742857142857143,0.012982857142857143,0.027348571428571427,0.014228571428571429,0.015462857142857143,0.019782857142857144,0.020994285714285715,0.0,0.021794285714285714,0.025988571428571427,0.021245714285714284,0.07721142857142857,0.10968,0.06022857142857143,0.04842285714285714,0.014891428571428571
Copeland-Local-Borda,0.02215885714285714,0.24385142857142858,0.046914285714285714,0.16587428571428572,0.10149714285714286,0.16496,0.16496,0.16496,0.16496,0.16587428571428572,0.16496,0.16587428571428572,0.24593142857142858,0.16587428571428572,0.16496,0.2205257142857143,0.19235428571428573,0.10586285714285715,0.08390857142857143,0.09894857142857143,0.008331428571428571,0.013954285714285714,0.10965714285714286,0.015965714285714284,0.0051314285714285715,0.004525714285714286,0.0029714285714285715,0.11324571428571428,0.005874285714285715,0.008651428571428572,0.013291428571428572,0.008068571428571428,0.024994285714285715,0.0018857142857142857,0.0044,0.007931428571428572,0.004514285714285715,0.008068571428571428,0.009211428571428572,0.0041371428571428575,0.01048,0.004651428571428571,0.014525714285714286,0.004022857142857143,0.004171428571428572,0.023474285714285715,0.023474285714285715,0.0096,0.0096,0.004674285714285714,0.014582857142857142,0.015908571428571428,0.015542857142857143,0.014788571428571429,0.00888,0.004022857142857143,0.021794285714285714,0.0,0.010537142857142858,0.004891428571428572,0.06769142857142857,0.10002285714285715,0.05061714285714286,0.052297142857142855,0.014342857142857143
Copeland-Global-Borda,0.014013142857142856,0.24386285714285713,0.03681142857142857,0.17006857142857143,0.10065142857142857,0.16883428571428571,0.16883428571428571,0.16883428571428571,0.16883428571428571,0.17006857142857143,0.16883428571428571,0.17006857142857143,0.2438057142857143,0.17006857142857143,0.16883428571428571,0.22129142857142858,0.19502857142857144,0.10717714285714286,0.07900571428571429,0.10355428571428571,0.015348571428571428,0.018582857142857144,0.11517714285714285,0.021714285714285714,0.013874285714285714,0.013405714285714286,0.01216,0.11925714285714285,0.0144,0.017211428571428572,0.0038285714285714286,0.016594285714285714,0.026925714285714285,0.010194285714285715,0.012948571428571429,0.016445714285714286,0.013177142857142858,0.016594285714285714,0.017645714285714285,0.013302857142857142,0.01882285714285714,0.013302857142857142,0.014457142857142858,0.012765714285714286,0.012914285714285715,0.026114285714285715,0.026114285714285715,0.006697142857142857,0.006697142857142857,0.013062857142857143,0.02112,0.005805714285714286,0.02014857142857143,0.019725714285714287,0.017245714285714284,0.012765714285714286,0.025988571428571427,0.010537142857142858,0.0,0.013017142857142857,0.06402285714285715,0.10445714285714286,0.04604571428571429,0.05702857142857143,0.018582857142857144
Borda-Minimax Faceoff,0.02548571428571428,0.24411428571428573,0.04614857142857143,0.1653257142857143,0.10192,0.16482285714285713,0.16482285714285713,0.16482285714285713,0.16482285714285713,0.1653257142857143,0.16482285714285713,0.1653257142857143,0.2474742857142857,0.1653257142857143,0.16482285714285713,0.22044571428571427,0.19084571428571429,0.10593142857142857,0.08380571428571429,0.09844571428571429,0.007222857142857143,0.0136,0.10917714285714286,0.017028571428571428,0.0024114285714285713,0.002182857142857143,0.0033942857142857143,0.11113142857142858,0.002742857142857143,0.007531428571428572,0.01337142857142857,0.005565714285714286,0.023737142857142856,0.004925714285714286,0.0027542857142857143,0.004731428571428571,0.002697142857142857,0.005565714285714286,0.00624,0.0028,0.008217142857142857,0.002834285714285714,0.014697142857142857,0.0016457142857142857,0.0017371428571428572,0.022102857142857143,0.022102857142857143,0.012331428571428571,0.012331428571428571,0.0024685714285714285,0.013291428571428572,0.015142857142857144,0.01504,0.013874285714285714,0.007657142857142857,0.0016457142857142857,0.021245714285714284,0.004891428571428572,0.013017142857142857,0.0,0.06804571428571428,0.09882285714285714,0.051782857142857144,0.05202285714285714,0.015417142857142857
