,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Uncovered Set - Fishburn,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Uncovered Set - Bordes,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Uncovered Set - McKelvey,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Slater,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Top Cycle,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
GOCHA,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Bipartisan Set,0.018426666666666664,0.27874666666666664,0.044853333333333335,0.07329333333333334,0.04102666666666667,0.07366666666666667,0.07366666666666667,0.07366666666666667,0.07366666666666667,0.07329333333333334,0.07366666666666667,0.07329333333333334,0.27982666666666667,0.07329333333333334,0.07366666666666667,0.21681333333333333,0.24974666666666667,0.08404,0.1112,0.04536,0.01812,0.018706666666666667,0.026613333333333333,0.01804,0.01804,0.01804,0.01804,0.07037333333333333,0.01804,0.01804,0.018813333333333335,0.01804,0.030533333333333332,0.01804,0.01804,0.01804,0.01804,0.01804,0.01804,0.01804,0.01804,0.01804,0.0,0.01804,0.01804,0.02872,0.02872,0.017866666666666666,0.017866666666666666,0.01804,0.018266666666666667,0.018813333333333335,0.018706666666666667,0.01864,0.01804,0.01804,0.018453333333333332,0.01804,0.018813333333333335,0.01804,0.08392,0.15316,0.06693333333333333,0.018253333333333333,0.018213333333333335
Minimax,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Split Cycle,0.036466666666666675,0.27864,0.04262666666666667,0.07142666666666667,0.05592,0.07568,0.07568,0.07568,0.07568,0.07142666666666667,0.07568,0.07142666666666667,0.28561333333333333,0.07142666666666667,0.07568,0.2168,0.24108,0.08226666666666667,0.10790666666666666,0.03021333333333333,0.00022666666666666666,0.00356,0.009866666666666666,0.0,0.0,0.0,0.0,0.054893333333333336,0.0,0.0,0.016586666666666666,0.0,0.025026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804,0.0,0.0,0.02156,0.02156,0.017426666666666667,0.017426666666666667,0.0,0.0041066666666666665,0.016586666666666666,0.00356,0.0034666666666666665,0.0,0.0,0.016586666666666666,0.0,0.016586666666666666,0.0,0.08212,0.13578666666666667,0.06673333333333334,0.018586666666666668,0.016306666666666667
Ranked Pairs ZT,0.036466666666666675,0.27873333333333333,0.054093333333333334,0.0828,0.057973333333333335,0.08488,0.08488,0.08488,0.08488,0.0828,0.08488,0.0828,0.28561333333333333,0.0828,0.08488,0.22104,0.22853333333333334,0.09404,0.12009333333333333,0.04957333333333333,0.021666666666666667,0.02292,0.030466666666666666,0.02156,0.02156,0.02156,0.02156,0.06776,0.02156,0.02156,0.028053333333333333,0.02156,0.008053333333333332,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02872,0.02156,0.02156,0.0,0.0,0.028666666666666667,0.028666666666666667,0.02156,0.023253333333333334,0.028053333333333333,0.02292,0.02288,0.02156,0.02156,0.02796,0.02156,0.028053333333333333,0.02156,0.09388,0.15676,0.07778666666666667,0.029,0.02794666666666667
