,NN,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Random Choice,0.47934400000000016,0.0,0.479344,0.480368,0.479344,0.479344,0.479344,0.4804,0.479344,0.47824,0.479344,0.479344,0.479344,0.479344,0.479344,0.479344
Borda ranking,0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.2997280000000001,0.480368,0.299728,0.0,0.299728,0.299728,0.299728,0.557456,0.299728,0.180896,0.299728,0.299728,0.299728,0.299728,0.299728,0.299728
STV,0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.35847999999999997,0.4804,0.35848,0.557456,0.35848,0.35848,0.35848,0.0,0.35848,0.717872,0.35848,0.35848,0.35848,0.35848,0.35848,0.35848
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3593919999999998,0.47824,0.359392,0.180896,0.359392,0.359392,0.359392,0.717872,0.359392,0.0,0.359392,0.359392,0.359392,0.359392,0.359392,0.359392
Monroe's Approval Rule (Monroe),0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.0,0.479344,0.0,0.299728,0.0,0.0,0.0,0.35848,0.0,0.359392,0.0,0.0,0.0,0.0,0.0,0.0
NN,,0.47934400000000016,0.0,0.2997280000000001,0.0,0.0,0.0,0.35847999999999997,0.0,0.3593919999999998,0.0,0.0,0.0,0.0,0.0,0.0
