,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.33246707070707066,0.11559555555555555,0.8668444444444445,0.0,0.26454666666666665,0.8211999999999999,0.3928977777777778,0.00668,0.4428755555555555,0.2323422222222222,0.5141555555555555,0.0
Borda ranking,0.011630303030302994,0.0,0.05089333333333333,0.0,4.444444444444445e-06,0.05089333333333333,8.88888888888889e-06,0.0,0.02612888888888889,4.444444444444445e-06,0.0,0.0
Plurality ranking,0.04444202020202015,0.0,0.20068000000000003,0.0,0.0,0.19926666666666668,6.222222222222222e-05,0.0,0.08061333333333333,0.0,0.008239999999999999,0.0
Approval Voting (AV),0.007733737373737357,0.0,0.042551111111111116,0.0,2.2222222222222223e-05,0.04241333333333333,7.999999999999999e-05,0.0,0.0,4.444444444444445e-06,0.0,0.0
Proportional Approval Voting (PAV),0.009944242424242394,0.0,0.05517333333333333,0.0,1.777777777777778e-05,0.05415111111111112,2.666666666666667e-05,4.444444444444445e-06,0.0,1.3333333333333335e-05,0.0,0.0
Approval Chamberlin-Courant (CC),0.2753288888888889,0.05497777777777778,0.7492133333333333,4.444444444444445e-06,0.2658088888888889,0.7091866666666667,0.2700444444444445,0.005204444444444446,0.3330488888888889,0.2335111111111111,0.40761777777777775,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.05323838383838381,0.0,0.28906666666666664,0.0,0.005848888888888889,0.27596,0.005866666666666667,0.00308,0.0,0.0058,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.25000808080808073,0.03864,0.6933866666666666,4.444444444444445e-06,0.2074488888888889,0.6607777777777778,0.20936444444444444,0.0009333333333333333,0.33032,0.17906222222222223,0.43015111111111115,0.0
Monroe's Approval Rule (Monroe),0.18932727272727268,0.040413333333333336,0.54236,0.0,0.18428444444444445,0.5070622222222223,0.167,0.0028488888888888887,0.19262222222222222,0.1636266666666667,0.28238222222222226,0.0
Greedy Monroe,0.04120242424242421,0.0,0.19340888888888885,0.0,0.00012,0.19314666666666666,0.00019555555555555556,0.0,0.06600888888888888,3.555555555555556e-05,0.0003111111111111111,0.0
Minimax Approval Voting (MAV),0.280850101010101,0.08070666666666665,0.8437466666666666,4.444444444444445e-06,0.1718711111111111,0.7955155555555555,0.23283111111111113,0.006493333333333333,0.3481955555555556,0.14517333333333332,0.46481333333333336,0.0
NN,6.79012345679012e-08,0.0,0.0,0.0,1.707818930041152e-07,0.0,5.349794238683126e-07,0.0,0.0,4.11522633744856e-08,0.0,0.0
