,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.2587850505050505,0.10778222222222222,0.8491377777777778,4.444444444444445e-06,0.20768444444444445,0.7480844444444444,0.30843999999999994,0.020133333333333333,0.1708488888888889,0.1769777777777778,0.25754222222222223,0.0
Borda ranking,0.03174020202020195,0.0,0.14156444444444446,0.0,0.03134222222222222,0.11849777777777779,0.028897777777777783,0.0019644444444444444,0.004906666666666667,0.020782222222222223,0.0011866666666666666,0.0
Plurality ranking,0.12804606060606058,0.016528888888888885,0.6134311111111111,0.0,0.0011244444444444444,0.54068,0.0044577777777777775,0.0,0.0796488888888889,0.0,0.15263555555555558,0.0
Approval Voting (AV),0.06295515151515149,0.004582222222222222,0.26139555555555555,0.0,0.06975111111111112,0.22446666666666668,0.07651111111111111,4.4444444444444447e-05,0.0018533333333333334,0.05390222222222222,0.0,0.0
Proportional Approval Voting (PAV),0.07505979797979795,0.004582222222222222,0.3318,0.0,0.07666222222222224,0.2834,0.06706666666666666,0.0004666666666666667,0.002208888888888889,0.05947111111111111,0.0,0.0
Approval Chamberlin-Courant (CC),0.2194270707070707,0.05701333333333333,0.74176,4.444444444444445e-06,0.20325777777777773,0.65252,0.21795555555555557,0.010791111111111109,0.13161777777777778,0.17182666666666668,0.2269511111111111,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.1168751515151515,0.004582222222222222,0.5066488888888889,4.444444444444445e-06,0.11746222222222223,0.4446177777777777,0.09814222222222223,0.00639111111111111,0.012462222222222222,0.09531555555555554,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.20185131313131308,0.03850666666666666,0.7150666666666665,4.444444444444445e-06,0.19263111111111111,0.6309288888888889,0.19968444444444444,0.008111111111111109,0.12208444444444444,0.16303555555555554,0.15031111111111112,0.0
Monroe's Approval Rule (Monroe),0.1957923232323232,0.049408888888888884,0.6865377777777778,0.0,0.18110666666666664,0.6025377777777777,0.18316888888888888,0.00708888888888889,0.09701333333333334,0.15272000000000002,0.19413333333333332,0.0
Greedy Monroe,0.11083676767676762,0.00555111111111111,0.4756577777777778,4.444444444444445e-06,0.10621333333333334,0.4173955555555556,0.09464444444444446,0.0015422222222222222,0.022493333333333334,0.08535111111111111,0.01035111111111111,0.0
Minimax Approval Voting (MAV),0.23288202020202023,0.09163555555555557,0.8129377777777778,4.444444444444445e-06,0.18932,0.7185333333333334,0.25509333333333334,0.01884444444444445,0.13449777777777777,0.15962222222222222,0.18121333333333334,0.0
NN,0.00012040684624017926,5.617283950617285e-07,3.7111111111111086e-05,0.0,0.00045200823045267495,0.0,0.0004892366255144035,6.1728395061728405e-09,1.9938271604938263e-06,0.0003275781893004113,1.597942386831277e-05,0.0
