Method,Mean,Cond L,Cond W,Cons.,Dummet,F Maj,Stab.,Maj W,Maj L,S. Coal.,Pareto,Unan.
NN,0.013129987762237725,0.00021821153846153852,0.007762807692307696,9.884615384615386e-06,0.042229596153846166,6.673076923076925e-06,0.05997952884615383,0.00013150000000000005,0.00033136538461538487,0.03064501923076923,0.0031152692307692314,9.615384615384617e-09
Random,0.24685667832167837,0.08277596153846155,0.8254136538461544,0.013691153846153846,0.29537403846153826,0.19465134615384613,0.36114384615384615,0.08620634615384619,0.18861249999999996,0.22514038461538455,0.3606882692307693,0.08172596153846155
Borda,0.019465087412587352,0.0,0.10756461538461533,1.2115384615384617e-05,0.028841153846153843,0.012958269230769223,0.03445980769230769,0.001831538461538461,0.005361346153846153,0.019787307692307687,0.003299807692307693,0.0
Bloc,0.037154825174825115,0.003356346153846154,0.23020634615384608,1.6153846153846157e-05,0.05747750000000002,0.0,0.07232250000000003,0.00010326923076923073,0.0015969230769230778,0.04362403846153846,0.0,0.0
PAV,0.041649370629370575,0.0033538461538461543,0.2736146153846153,1.403846153846154e-05,0.06292057692307693,0.004534038461538463,0.06289903846153846,0.0007650000000000006,0.0021032692307692306,0.04793865384615386,0.0,0.0
lex-CC,0.0612171503496503,0.0033640384615384643,0.3915507692307693,1.403846153846154e-05,0.08767423076923074,0.025809038461538456,0.08112461538461536,0.006557115384615384,0.009128653846153845,0.06816615384615386,0.0,0.0
STV,0.06170755244755241,0.002933461538461538,0.39298423076923067,1.711538461538462e-05,0.05729307692307693,0.026447884615384613,0.0997132692307692,0.0010644230769230772,0.03581346153846154,0.045384615384615364,0.01713153846153846,0.0
Greedy M.,0.06216122377622373,0.004352115384615389,0.39377096153846164,1.557692307692308e-05,0.08184384615384616,0.024821730769230776,0.08292634615384616,0.0020994230769230773,0.020669423076923096,0.06394442307692308,0.009329615384615382,0.0
SNTV,0.09830104895104887,0.009519423076923075,0.5484292307692308,0.0,0.06249134615384617,0.11303115384615392,0.008463076923076927,0.0,0.10320903846153853,0.0,0.18458846153846148,0.051579807692307696
Monroe,0.12982777972027973,0.030733076923076922,0.5755019230769229,1.3461538461538462e-05,0.17009288461538458,0.0654196153846154,0.17832557692307696,0.009368846153846156,0.0775598076923077,0.14218826923076916,0.17890211538461537,0.0
MAV,0.16524680069930067,0.06204115384615384,0.717131923076923,1.634615384615385e-05,0.17649057692307693,0.10716442307692309,0.23892384615384626,0.03528692307692308,0.11915057692307696,0.1431728846153846,0.2183361538461539,0.0
seq-CC,0.18614501748251747,0.029559230769230765,0.6830238461538465,0.0009253846153846155,0.2553701923076923,0.16058576923076925,0.22609596153846154,0.03981269230769233,0.14604615384615388,0.18205538461538462,0.25507538461538454,0.06904519230769232
CC,0.1989942832167832,0.04029326923076923,0.7033953846153843,0.0009290384615384616,0.27342769230769237,0.16234384615384612,0.24997134615384625,0.045358846153846145,0.1523098076923077,0.1993613461538463,0.2925084615384616,0.06903807692307694
