,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.2825260606060606,0.11019555555555555,0.8630177777777779,0.0,0.10257777777777778,0.7813866666666667,0.2277022222222222,4.444444444444445e-06,0.4436888888888889,0.07396444444444444,0.5052488888888889,0.0
Borda ranking,0.028863838383838342,0.0,0.0772311111111111,0.0,0.05386666666666667,0.07716444444444444,0.059160000000000004,0.0,0.01749777777777778,0.032582222222222214,0.0,0.0
Plurality ranking,0.2220840404040404,0.05891555555555556,0.7950266666666667,0.0,7.11111111111111e-05,0.7166044444444445,0.04792888888888888,0.0,0.32081777777777776,0.0,0.50356,0.0
Approval Voting (AV),0.07805535353535348,0.013164444444444444,0.33179111111111115,0.0,0.05748,0.29928,0.10552444444444445,0.0,0.013222222222222222,0.03814666666666666,0.0,0.0
Proportional Approval Voting (PAV),0.08885171717171711,0.013164444444444444,0.4033288888888889,0.0,0.06651111111111112,0.3652133333333334,0.07249333333333334,0.0,0.013173333333333334,0.04348444444444445,0.0,0.0
Approval Chamberlin-Courant (CC),0.2530739393939394,0.06644444444444446,0.8624933333333333,0.0,0.10204444444444445,0.7773866666666666,0.15048444444444445,4.444444444444445e-06,0.34482666666666667,0.07359555555555555,0.40653333333333336,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.09362303030303026,0.013164444444444444,0.4269466666666666,0.0,0.07032444444444445,0.38810666666666666,0.07195555555555555,4.444444444444445e-06,0.013177777777777778,0.04617333333333333,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.24565696969696965,0.05178222222222223,0.847048888888889,0.0,0.10188444444444444,0.76484,0.15837777777777778,0.0,0.3306622222222222,0.07332888888888889,0.3743022222222222,0.0
Monroe's Approval Rule (Monroe),0.23691474747474744,0.05625333333333334,0.8342755555555557,0.0,0.09899555555555556,0.7519733333333334,0.1109511111111111,4.444444444444445e-06,0.2886133333333334,0.07181333333333334,0.3931822222222222,0.0
Greedy Monroe,0.1276012121212121,0.01356,0.5268444444444444,0.0,0.08656444444444444,0.4831644444444445,0.08815111111111112,0.0,0.10069777777777777,0.06056444444444445,0.04406666666666667,0.0
Minimax Approval Voting (MAV),0.25560121212121206,0.08012444444444444,0.8478266666666667,0.0,0.10208444444444445,0.7659333333333334,0.13505333333333336,4.444444444444445e-06,0.34871111111111114,0.07368444444444444,0.45819111111111105,0.0
NN,0.00015756303778525973,0.0,6.193415637860089e-07,0.0,0.0005322098765432097,0.0,0.0008467222222222221,0.0,8.23045267489712e-09,0.0003532098765432099,4.238683127572019e-07,0.0
