,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.256640404040404,0.10678222222222221,0.8470844444444445,1.3333333333333335e-05,0.2064711111111111,0.7419866666666667,0.3051333333333333,0.019697777777777776,0.1626,0.17577777777777776,0.2574977777777778,0.0
Borda ranking,0.03253858585858583,0.0,0.14416444444444446,4.444444444444445e-06,0.03279555555555555,0.11989333333333334,0.030706666666666667,0.001813333333333333,0.005088888888888889,0.022199999999999998,0.0012577777777777778,0.0
Plurality ranking,0.1290945454545454,0.017759999999999998,0.6194844444444445,0.0,0.0011244444444444444,0.5422755555555556,0.00448,0.0,0.07819555555555555,0.0,0.15672000000000003,0.0
Approval Voting (AV),0.06553737373737369,0.00504,0.26909777777777777,4.444444444444445e-06,0.07452444444444445,0.2301688888888889,0.08168888888888888,0.0001288888888888889,0.0021022222222222223,0.05815555555555555,0.0,0.0
Proportional Approval Voting (PAV),0.07751757575757572,0.005057777777777777,0.3396888888888889,4.444444444444445e-06,0.08122222222222222,0.2891377777777777,0.07122666666666667,0.0005644444444444445,0.0022533333333333333,0.06353777777777776,0.0,0.0
Approval Chamberlin-Courant (CC),0.2190117171717171,0.05696,0.7425111111111111,1.3333333333333335e-05,0.20452444444444445,0.6495466666666667,0.2194311111111111,0.010742222222222222,0.1256088888888889,0.17386666666666667,0.22592444444444443,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.11816080808080803,0.005066666666666667,0.5105244444444444,8.88888888888889e-06,0.12056444444444442,0.44630666666666674,0.10071999999999999,0.00664,0.011875555555555556,0.09806222222222222,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2013276767676767,0.038933333333333334,0.7158044444444445,1.3333333333333335e-05,0.19404888888888888,0.6286711111111112,0.19956444444444443,0.007986666666666666,0.1160311111111111,0.16380888888888887,0.14974222222222222,0.0
Monroe's Approval Rule (Monroe),0.19660202020202014,0.049333333333333326,0.6900622222222222,8.88888888888889e-06,0.18353777777777777,0.6024622222222222,0.18590666666666666,0.007355555555555555,0.0934,0.15562222222222222,0.19493333333333332,0.0
Greedy Monroe,0.11243313131313126,0.0061022222222222216,0.4807022222222222,4.444444444444445e-06,0.10937333333333334,0.4196888888888889,0.09832,0.0017466666666666668,0.021631111111111108,0.08871111111111112,0.010484444444444444,0.0
Minimax Approval Voting (MAV),0.23213777777777775,0.09146222222222224,0.812151111111111,1.3333333333333335e-05,0.1912177777777778,0.7132266666666667,0.25551999999999997,0.018448888888888886,0.12918666666666667,0.16190666666666667,0.18038222222222225,0.0
NN,0.00012729629629629593,3.4156378600823053e-07,4.160082304526749e-05,4.11522633744856e-08,0.00047433333333333344,0.0,0.0005134135802469136,5.555555555555557e-08,2.2572016460905334e-06,0.00034933539094650183,1.8880658436213994e-05,0.0
