,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.12621494949494946,0.05812444444444444,0.6516977777777778,0.0,0.10033333333333333,0.35823111111111117,0.1468533333333333,0.0,0.0,0.07308888888888888,3.555555555555556e-05,0.0
Borda ranking,0.01568929292929289,0.0,0.11114222222222223,0.0,0.010466666666666668,0.0352,0.00923111111111111,0.0,0.0,0.006542222222222223,0.0,0.0
Plurality ranking,0.05558303030303027,0.003546666666666667,0.4053511111111111,0.0,0.0,0.20237777777777777,0.0001377777777777778,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.056621414141414084,0.0029066666666666668,0.3141333333333334,0.0,0.05724888888888889,0.1498533333333333,0.05723111111111111,0.0,0.0,0.04146222222222222,0.0,0.0
Proportional Approval Voting (PAV),0.05848121212121207,0.0029111111111111113,0.3282222222222222,0.0,0.05752,0.15726666666666664,0.055848888888888885,0.0,0.0,0.04152444444444445,0.0,0.0
Approval Chamberlin-Courant (CC),0.10197292929292925,0.03025777777777778,0.5211866666666667,0.0,0.10089333333333333,0.27568000000000004,0.11980888888888888,0.0,0.0,0.07386666666666668,8.88888888888889e-06,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.06609575757575753,0.00296,0.3771555555555556,0.0,0.05945777777777778,0.18516,0.059840000000000004,0.0,0.0,0.04248,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.09269252525252522,0.01572888888888889,0.49612000000000006,0.0,0.08640888888888888,0.26319111111111115,0.09474222222222223,0.0,0.0,0.06342666666666667,0.0,0.0
Monroe's Approval Rule (Monroe),0.10195353535353534,0.03026222222222223,0.52108,0.0,0.10088444444444444,0.2756088888888889,0.11977777777777776,0.0,0.0,0.07386666666666668,8.88888888888889e-06,0.0
Greedy Monroe,0.07899636363636359,0.007568888888888887,0.4365022222222222,0.0,0.07156444444444444,0.2255777777777778,0.0761911111111111,0.0,0.0,0.05155555555555555,0.0,0.0
Minimax Approval Voting (MAV),0.12392565656565652,0.057564444444444446,0.6456533333333334,0.0,0.10094222222222222,0.3553777777777778,0.12975555555555557,0.0,0.0,0.07388,8.88888888888889e-06,0.0
NN,6.886120463898209e-05,6.329218106995887e-06,2.9699588477366248e-05,0.0,0.0002310432098765433,1.502057613168725e-07,0.00034396296296296296,0.0,0.0,0.0001462880658436214,0.0,0.0
