Method,Mean,Cond L,Cond W,Cons.,Dummet,F Maj,Stab.,Maj W,Maj L,S. Coal.,Pareto,Unan.
NN,0.012604361363636327,0.00024562499999999997,0.005390350000000001,4.2000000000000004e-06,0.041946,6.025e-06,0.055582500000000014,0.00010902500000000005,0.00030979999999999994,0.0323858,0.0026686500000000007,0.0
Random,0.2414121363636364,0.0834865,0.8331960000000003,0.011666,0.2844315,0.18004599999999998,0.3586595,0.06798149999999999,0.1892385,0.222185,0.353729,0.070914
Borda,0.01932013636363631,0.0,0.11277750000000002,8e-06,0.027634999999999993,0.012776000000000001,0.029770500000000005,0.0014945000000000002,0.0055245,0.019771499999999997,0.002764,0.0
Bloc,0.03716436363636359,0.0029115,0.22370500000000004,9.999999999999999e-06,0.059033499999999996,0.0,0.07363499999999999,8.700000000000003e-05,0.00146,0.047966,0.0,0.0
PAV,0.04183699999999995,0.002906,0.26878250000000004,9e-06,0.064573,0.0047905000000000005,0.06426699999999999,0.0006659999999999997,0.0018930000000000006,0.05232,0.0,0.0
lex-CC,0.06367422727272723,0.0029165000000000007,0.4022895,9e-06,0.09282250000000002,0.026915500000000002,0.0846065,0.006172500000000001,0.00924,0.0754445,0.0,0.0
Greedy M.,0.06398727272727268,0.0037895000000000003,0.3997174999999999,1.0500000000000001e-05,0.08531249999999999,0.026196999999999998,0.08534150000000001,0.0019384999999999997,0.021309499999999995,0.07007500000000001,0.0101685,0.0
SNTV,0.09717959090909088,0.010482499999999999,0.559027,0.0,0.05370950000000001,0.10798300000000002,0.006689499999999998,0.0,0.102959,0.0,0.1834535,0.0446715
Monroe,0.13544081818181813,0.035195000000000004,0.5994215000000002,8.000000000000001e-06,0.17397249999999997,0.0716485,0.18146549999999995,0.007432499999999999,0.08394450000000002,0.14928799999999998,0.18747300000000003,0.0
MAV,0.16873377272727264,0.06324499999999998,0.7314915000000002,1.1e-05,0.17865199999999998,0.10419399999999998,0.25059849999999995,0.027473999999999988,0.128442,0.1493195,0.22264399999999998,0.0
seq-CC,0.1839247272727272,0.03164949999999999,0.6983655000000002,0.000552,0.24851449999999997,0.15460150000000003,0.22428249999999994,0.03154649999999999,0.14773700000000003,0.184423,0.241506,0.059994000000000006
CC,0.1970065454545454,0.0410765,0.7191264999999999,0.0005505,0.264306,0.15587299999999998,0.24613900000000002,0.036287,0.15378750000000002,0.1990825,0.2908555000000001,0.059988
