,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.2591127272727272,0.10885777777777778,0.8494133333333332,1.777777777777778e-05,0.20792444444444447,0.7484933333333333,0.30803555555555556,0.019991111111111112,0.17074666666666666,0.17638666666666666,0.26037333333333335,0.0
Borda ranking,0.03168363636363631,0.0,0.1413777777777778,4.444444444444445e-06,0.031275555555555556,0.11837777777777776,0.028577777777777775,0.0020088888888888886,0.005031111111111111,0.020773333333333335,0.0010933333333333335,0.0
Plurality ranking,0.12889171717171716,0.01718666666666667,0.6168666666666667,0.0,0.0009911111111111112,0.5434755555555557,0.004293333333333333,0.0,0.0804311111111111,0.0,0.15456444444444445,0.0
Approval Voting (AV),0.06324202020202016,0.004573333333333333,0.26283555555555554,4.444444444444445e-06,0.07020888888888889,0.22584,0.07596444444444445,9.777777777777778e-05,0.0018844444444444444,0.05425333333333334,0.0,0.0
Proportional Approval Voting (PAV),0.07526464646464642,0.004582222222222222,0.3326622222222222,4.444444444444445e-06,0.0767911111111111,0.2845333333333333,0.06695111111111111,0.0005955555555555557,0.001951111111111111,0.059840000000000004,0.0,0.0
Approval Chamberlin-Courant (CC),0.22023393939393937,0.057626666666666666,0.7425377777777776,1.3333333333333333e-05,0.20487555555555553,0.6533733333333333,0.22113777777777777,0.010946666666666667,0.13138666666666665,0.1741333333333333,0.2265422222222222,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.11676404040404037,0.004582222222222222,0.5064666666666666,4.444444444444445e-06,0.11701333333333332,0.4447733333333333,0.09815555555555557,0.006702222222222223,0.011555555555555555,0.09515111111111112,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.20189858585858586,0.038275555555555556,0.7150577777777777,8.88888888888889e-06,0.19237777777777781,0.6313866666666667,0.1990177777777778,0.008608888888888888,0.12227555555555557,0.16276000000000002,0.15111555555555556,0.0
Monroe's Approval Rule (Monroe),0.196500202020202,0.04994222222222222,0.6865111111111111,1.3333333333333333e-05,0.18287555555555557,0.6025288888888888,0.18613333333333335,0.007395555555555556,0.09673333333333334,0.15534222222222221,0.19402666666666665,0.0
Greedy Monroe,0.11023636363636362,0.005608888888888888,0.47403999999999996,8.88888888888889e-06,0.10497777777777778,0.41583111111111115,0.09371111111111112,0.0016311111111111114,0.022302222222222223,0.08429333333333335,0.010195555555555555,0.0
Minimax Approval Voting (MAV),0.23348080808080804,0.09255555555555556,0.8125466666666665,1.3333333333333333e-05,0.19068444444444446,0.7175911111111112,0.25768888888888886,0.019,0.13563555555555554,0.16181777777777778,0.18075555555555553,0.0
NN,0.00012027927422371824,6.337448559670782e-07,4.226337448559672e-05,4.11522633744856e-08,0.0004542057613168722,4.11522633744856e-09,0.00048030658436214006,9.259259259259268e-08,1.95267489711934e-06,0.00032782304526748977,1.5748971193415632e-05,0.0
