Method,Mean,Cond L,Cond W,Cons.,Dummet,F Maj,Stab.,Maj W,Maj L,S. Coal.,Pareto,Unan.
NN,0.0034356818181817865,3.2000000000000005e-05,0.0002035,0.0,0.016275,0.0,0.014619,0.0,0.0,0.006662999999999999,0.0,0.0
Random,0.08967999999999998,0.07450999999999999,0.6713600000000001,0.0,0.08811,0.0,0.09905,1e-05,0.0,0.05344,0.0,0.0
Borda,0.010753636363636325,0.0,0.10624999999999998,0.0,0.0073,0.0,0.00272,0.0,0.0,0.00202,0.0,0.0
SNTV,0.03573272727272723,0.00447,0.38856,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0
Bloc,0.03750272727272723,0.00395,0.30167,0.0,0.04743,0.0,0.03363,0.0,0.0,0.02585,0.0,0.0
PAV,0.03890181818181815,0.00395,0.31758,0.0,0.04752,0.0,0.03297,0.0,0.0,0.025900000000000003,0.0,0.0
lex-CC,0.043057272727272694,0.0039900000000000005,0.36033000000000004,0.0,0.048670000000000005,0.0,0.03416,0.0,0.0,0.02648,0.0,0.0
Greedy M.,0.052924545454545426,0.01015,0.42782,0.0,0.06068,0.0,0.04861,0.0,0.0,0.034910000000000004,0.0,0.0
seq-CC,0.06289272727272723,0.018889999999999997,0.49029999999999996,0.0,0.07447,0.0,0.06382,0.0,0.0,0.044340000000000004,0.0,0.0
Monroe,0.0724236363636363,0.04045,0.5229900000000001,0.0,0.08787,0.0,0.09140000000000001,0.0,0.0,0.05395,0.0,0.0
CC,0.07243818181818178,0.04045,0.52315,0.0,0.08787,0.0,0.09140000000000001,0.0,0.0,0.05395,0.0,0.0
MAV,0.08970272727272723,0.07476000000000001,0.67125,0.0,0.08787,0.0,0.0989,0.0,0.0,0.05395,0.0,0.0
