Method,Mean,Cond L,Cond W,Cons.,Dummet,F Maj,Stab.,Maj W,Maj L,S. Coal.,Pareto,Unan.
NN,0.01966444886363633,0.00025237500000000005,0.013706187500000003,7.770833333333334e-06,0.06115727083333333,8.16666666666667e-06,0.09136764583333333,0.00014272916666666668,0.00034110416666666664,0.045191458333333344,0.004134208333333333,2.0833333333333338e-08
Random,0.25275814393939394,0.05731083333333334,0.8444791666666663,0.009923333333333333,0.32617791666666685,0.16008375,0.4196299999999998,0.06229874999999999,0.17101541666666667,0.25242458333333323,0.40604875,0.07094708333333333
Borda,0.025083446969696926,0.0,0.12504125000000002,8.750000000000001e-06,0.04325083333333333,0.01144125,0.05585458333333334,0.00121625,0.00446375,0.030459999999999997,0.00418125,0.0
Bloc,0.04577083333333329,0.0020704166666666675,0.2542225000000001,1.1666666666666668e-05,0.07978916666666667,0.0,0.1050979166666667,7.041666666666668e-05,0.0009179166666666666,0.061299166666666655,0.0,0.0
PAV,0.051128409090909016,0.0020575000000000007,0.30838875000000004,9.166666666666666e-06,0.08761625000000002,0.00405625,0.09075166666666667,0.0006804166666666665,0.0013762500000000005,0.06747625,0.0,0.0
lex-CC,0.07260393939393932,0.0020595833333333347,0.44063625000000006,9.166666666666666e-06,0.11700833333333334,0.023629583333333332,0.11137833333333334,0.005239166666666666,0.0073500000000000015,0.0913329166666667,0.0,0.0
Greedy M.,0.07487613636363634,0.0026908333333333346,0.4474658333333333,1e-05,0.1122833333333333,0.02272,0.11777291666666666,0.0019200000000000005,0.01822166666666666,0.08857875000000003,0.011974166666666666,0.0
SNTV,0.1072420833333333,0.007458750000000003,0.6182187499999998,0.0,0.062055000000000006,0.10601500000000001,0.012319166666666666,0.0,0.09801624999999999,0.0,0.22666791666666672,0.048912083333333335
Monroe,0.15238234848484847,0.025666666666666667,0.6489629166666667,7.916666666666667e-06,0.21418500000000004,0.05991125,0.23064375,0.006449166666666666,0.07822624999999998,0.17927000000000004,0.2328829166666666,0.0
MAV,0.1803712121212121,0.04392999999999999,0.7496570833333333,9.166666666666666e-06,0.21873958333333332,0.08404333333333332,0.2991066666666667,0.021910833333333334,0.10958916666666664,0.17839833333333335,0.2786991666666666,0.0
seq-CC,0.20187939393939383,0.024523333333333338,0.73994625,0.0004916666666666666,0.29202750000000005,0.14015333333333335,0.27821875,0.03237291666666666,0.13885083333333334,0.2158508333333334,0.2966637500000001,0.06157416666666667
CC,0.2141144696969696,0.031008333333333336,0.7560004166666667,0.0004870833333333333,0.3080641666666667,0.14078833333333332,0.3005816666666667,0.036157916666666665,0.14543083333333331,0.23153124999999994,0.3436837499999999,0.061525416666666666
