,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
Random Choice,0.24944969696969693,0.10656888888888888,0.8453955555555556,4.444444444444445e-06,0.20424,0.7325555555555555,0.30086666666666667,0.017275555555555558,0.1223777777777778,0.17262666666666668,0.24203555555555553,0.0
Borda ranking,0.033928888888888835,0.0,0.1521422222222222,0.0,0.034257777777777776,0.12447111111111113,0.031324444444444446,0.0018355555555555556,0.005,0.022848888888888887,0.0013377777777777778,0.0
Plurality ranking,0.1290133333333333,0.019680000000000003,0.6282755555555556,0.0,0.0009955555555555555,0.5454444444444444,0.004315555555555555,0.0,0.0682,0.0,0.15223555555555557,0.0
Approval Voting (AV),0.07016565656565654,0.005644444444444444,0.28415111111111113,4.444444444444445e-06,0.0832,0.24088000000000007,0.09029333333333334,8.888888888888889e-05,0.002177777777777777,0.06538222222222223,0.0,0.0
Proportional Approval Voting (PAV),0.08283272727272722,0.005622222222222222,0.35923111111111117,4.444444444444445e-06,0.09009333333333333,0.30345333333333335,0.07872,0.00046666666666666666,0.002422222222222222,0.07114666666666666,0.0,0.0
Approval Chamberlin-Courant (CC),0.213650101010101,0.05690222222222222,0.7430577777777777,4.444444444444445e-06,0.20112000000000002,0.6429955555555555,0.21595555555555557,0.009591111111111113,0.09503111111111112,0.1699288888888889,0.21556444444444442,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.12239232323232319,0.005635555555555555,0.5258088888888889,4.444444444444445e-06,0.12948,0.45573333333333327,0.10800444444444444,0.005786666666666666,0.010484444444444444,0.10537777777777776,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.1955923232323232,0.038213333333333335,0.7154266666666667,4.444444444444445e-06,0.18971555555555555,0.621071111111111,0.19611999999999996,0.006946666666666667,0.08825777777777778,0.15955555555555556,0.13620444444444446,0.0
Monroe's Approval Rule (Monroe),0.194810101010101,0.05045777777777779,0.6955733333333333,4.444444444444445e-06,0.18356,0.6004444444444444,0.18642666666666666,0.006835555555555556,0.07496444444444444,0.15478666666666668,0.1898577777777778,0.0
Greedy Monroe,0.11743757575757573,0.006937777777777777,0.5013333333333334,4.444444444444445e-06,0.11744444444444443,0.43429777777777784,0.10476888888888888,0.0015866666666666666,0.01952444444444444,0.09445777777777778,0.011457777777777779,0.0
Minimax Approval Voting (MAV),0.22773939393939394,0.09042222222222224,0.8154177777777777,4.444444444444445e-06,0.18990222222222225,0.7091822222222224,0.2545955555555556,0.01625333333333333,0.09880444444444446,0.1599422222222222,0.1706088888888889,0.0
NN,0.00014037878787878747,2.0781893004115236e-07,4.227160493827162e-05,4.11522633744856e-08,0.0005266028806584361,0.0,0.000564553497942387,8.23045267489712e-09,2.113168724279834e-06,0.00038905761316872424,1.9310699588477362e-05,0.0
