Method,violation_rate-mean,violation_rate-std,condorcet_loser-mean,condorcet_loser-std,condorcet_winner-mean,condorcet_winner-std,consensus_committee-mean,consensus_committee-std,dummetts_condition-mean,dummetts_condition-std,fixed_majority-mean,fixed_majority-std,local_stability-mean,local_stability-std,majority-mean,majority-std,majority_loser-mean,majority_loser-std,solid_coalitions-mean,solid_coalitions-std,strong_pareto_efficiency-mean,strong_pareto_efficiency-std,strong_unanimity-mean,strong_unanimity-std
Neural Network,0.0012812727272727275,0.01932216773756815,0.0,0.0,0.008834,0.09335354090030931,0.0,0.0,6.000000000000001e-06,0.000948664324194929,0.0,0.0,0.002862,0.05263580117133496,0.0,0.0,0.000496,0.021373186186413637,6.000000000000001e-06,0.000948664324194929,0.0018900000000000004,0.04328398820680186,0.0,0.0
Random Choice,0.2199163636363636,0.225586699861066,0.05648,0.23084628998530585,0.90264,0.2964473484448464,0.0,0.0,0.01936,0.1377867569833529,0.76756,0.4223880282395352,0.39304,0.4884255914670513,0.0132,0.1141304516770129,0.09748,0.29661026550002817,0.01936,0.1377867569833529,0.14996,0.35703220919124,0.0,0.0
Borda ranking,0.02763636363636363,0.0833387942269445,0.0,0.0,0.16324,0.3695844996749537,0.0,0.0,0.0012,0.03462022530255227,0.1296,0.3358628291431122,0.00704,0.08360884163771247,0.00072,0.026823154176943923,0.0,0.0,0.0012,0.03462022530255227,0.001,0.03160696125856266,0.0,0.0
Plurality ranking,0.1294290909090909,0.1360822259147117,0.0052,0.0719232924719301,0.717,0.4504564351854875,0.0,0.0,0.0,0.0,0.6146,0.48668967525520096,0.01612,0.1259370699992637,0.0,0.0,0.0218,0.14602999691845114,0.0,0.0,0.049,0.21586801523149535,0.0,0.0
Approval Voting (AV),0.0639890909090909,0.10428789032889059,0.00028,0.01673085771859812,0.37104,0.48308313818634363,0.0,0.0,0.0,0.0,0.30876,0.46198188535920226,0.0224,0.14798053926111016,0.0,0.0,0.0014,0.03739037309254214,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.08678909090909091,0.10859971971497932,8e-05,0.008943914131968683,0.51464,0.49978562444312297,0.0,0.0,0.00144,0.03792000000000443,0.43232,0.49539824141801964,0.00268,0.051699299801828066,0.0006,0.024487547855997494,0.00148,0.03844228921382694,0.00144,0.03792000000000443,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.13494181818181822,0.14151378744694296,0.00012,0.01095379386331374,0.7596,0.4273263857989962,0.0,0.0,0.01468,0.12026843975044404,0.65248,0.4761825801097674,0.01892,0.1362425542919307,0.00964,0.0977091111411523,0.00816,0.08996340589371468,0.01468,0.12026843975044404,0.00608,0.07773695131660918,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.13013090909090907,0.13452866142398756,0.00012,0.01095379386331374,0.73628,0.44064925008442757,0.0,0.0,0.01432,0.11880630286313587,0.63272,0.4820636903979035,0.018,0.13295111883693475,0.00932,0.09608921687680676,0.00636,0.07949559987820493,0.01432,0.11880630286313587,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.12815272727272728,0.13249538298671695,0.00012,0.010953793863315367,0.73296,0.4424134247510591,0.0,0.0,0.00716,0.0843133109301529,0.63016,0.4827611981093685,0.0108,0.10336034055668321,0.0044,0.06618640343755613,0.00876,0.09318402438188493,0.00716,0.0843133109301529,0.00816,0.08996340589371353,0.0,0.0
Monroe's Approval Rule (Monroe),0.11678545454545454,0.1398406963230798,0.00012,0.01095379386331374,0.66428,0.4722415500566502,0.0,0.0,0.01084,0.10354947802862434,0.565,0.4957569969249916,0.01616,0.1260906594478965,0.00696,0.0831357829096507,0.00392,0.06248706746201449,0.01084,0.10354947802862434,0.00652,0.08048285283211179,0.0,0.0
Greedy Monroe,0.1141309090909091,0.12207087773309298,0.00012,0.010953793863315367,0.66468,0.47210221096699645,0.0,0.0,0.00332,0.05752371337110991,0.56752,0.49542007387678616,0.00592,0.07671345123249691,0.0018,0.04238820590682729,0.00584,0.07619641986339554,0.00332,0.05752371337110991,0.00292,0.053958072611985375,0.0,0.0
Minimax Approval Voting (MAV),0.2179309090909091,0.22500309874375238,0.05152,0.22105585176598053,0.90152,0.29796256409148203,0.0,0.0,0.02084,0.14284850156719198,0.76564,0.423598147304784,0.38772,0.48723013207313987,0.01448,0.11945848483890097,0.09548,0.2938767932313775,0.02084,0.14284850156719198,0.1392,0.3461551097412275,0.0,0.0
