step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.1155,0.1155,"[1.         0.96921671 0.66666667 0.5        0.33333333 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.19,0.107,"[1.         0.98010794 0.8884347  0.43611464 0.26049556 0.13412173
 0.        ]","[1.         0.72119089 0.64769439 0.43611464 0.26049556 0.13412173
 0.        ]"
20,20794.094277566775,0.183,0.107,"[1.         0.28137006 0.27168571 0.27147367 0.07349801 0.03784203
 0.        ]","[1.         0.72119089 0.64769439 0.43611464 0.26049556 0.13412173
 0.        ]"
30,18964.43937572959,0.2095,0.107,"[1.         0.45859927 0.11564244 0.11495713 0.11475662 0.01594231
 0.        ]","[1.         0.72119089 0.64769439 0.43611464 0.26049556 0.13412173
 0.        ]"
40,17295.77427297341,0.186,0.107,"[1.         0.67107205 0.57728738 0.04283575 0.04283016 0.00594048
 0.        ]","[1.         0.72119089 0.64769439 0.43611464 0.26049556 0.13412173
 0.        ]"
50,15773.933612004832,0.183,0.107,"[1.         0.51571826 0.31654592 0.19430758 0.01765553 0.00244849
 0.        ]","[1.         0.72119089 0.64769439 0.43611464 0.26049556 0.13412173
 0.        ]"
60,14385.99843342892,0.135,0.0965,"[1.         0.83913097 0.62338032 0.36785214 0.10050405 0.06184243
 0.        ]","[1.         0.68763079 0.42720216 0.34167863 0.10050405 0.02891514
 0.        ]"
70,13120.186506244314,0.176,0.093,"[1.         0.82106057 0.65500166 0.21642426 0.18085376 0.03234733
 0.        ]","[1.         0.68842989 0.5114263  0.3017889  0.08245435 0.05073603
 0.        ]"
80,11965.752308065956,0.2275,0.093,"[1.         0.7853066  0.7853066  0.06984508 0.06494622 0.05836566
 0.        ]","[1.         0.68842989 0.5114263  0.3017889  0.08245435 0.05073603
 0.        ]"
90,10912.895806004148,0.1755,0.093,"[1.         0.3131518  0.3131518  0.25528854 0.13567861 0.06820907
 0.        ]","[1.         0.68842989 0.5114263  0.3017889  0.08245435 0.05073603
 0.        ]"
100,9952.67926383743,0.2815,0.093,"[1.83026598 0.10197659 0.10197659 0.10147945 0.04418318 0.04294276
 0.        ]","[1.         0.68842989 0.5114263  0.3017889  0.08245435 0.05073603
 0.        ]"
110,9076.951369252534,0.307,0.093,"[1.         0.69268186 0.01268722 0.01268593 0.01257507 0.00545166
 0.        ]","[1.         0.68842989 0.5114263  0.3017889  0.08245435 0.05073603
 0.        ]"
120,8278.278037064774,0.2015,0.093,"[1.         0.38541068 0.32125079 0.00634294 0.00634294 0.00633041
 0.        ]","[1.         0.68842989 0.5114263  0.3017889  0.08245435 0.05073603
 0.        ]"
