step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.2245,0.2245,"[1.         0.83333333 0.66666667 0.66666667 0.33333333 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.3535,0.2245,"[1.         0.52563012 0.24720194 0.24162414 0.2300805  0.09750209
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
20,20794.094277566775,0.5135,0.2245,"[1.         0.99024261 0.06252922 0.06111833 0.0602845  0.05803115
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
30,18964.43937572959,0.2545,0.2245,"[1.         0.69278047 0.69278047 0.57742892 0.03986201 0.03778862
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
40,17295.77427297341,0.548,0.2245,"[1.         0.73376746 0.50833977 0.46709832 0.46709832 0.06293055
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
50,15773.933612004832,0.3015,0.2245,"[1.         0.75822592 0.61170984 0.4283092  0.39497773 0.39060489
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
60,14385.99843342892,0.462,0.2245,"[1.         0.27284158 0.25853263 0.12412638 0.11574604 0.10994471
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
70,13120.186506244314,0.357,0.2245,"[1.         0.9810871  0.20576007 0.20435319 0.14305259 0.08660555
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
80,11965.752308065956,0.523,0.2245,"[1.         1.         0.13131416 0.04165106 0.04155126 0.01765185
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
90,10912.895806004148,0.3625,0.2245,"[1.         0.72457013 0.44110441 0.03262298 0.02398204 0.01631373
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
100,9952.67926383743,0.293,0.2245,"[1.         1.         0.62066509 0.25707336 0.24697993 0.07903742
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
110,9076.951369252534,0.3915,0.2245,"[1.         1.         0.26907429 0.0691744  0.06789083 0.02126773
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
120,8278.278037064774,0.2755,0.2245,"[1.85068851 1.         0.5401237  0.26903356 0.07783323 0.02900793
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
130,7549.87930100504,0.4315,0.2245,"[1.         1.         0.63635638 0.11949018 0.0808139  0.01716369
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
140,6885.571758345414,0.2525,0.2245,"[1.         1.         0.63635638 0.60438462 0.36300136 0.06784786
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
150,6279.7160787739485,0.4695,0.2245,"[1.         0.37379235 0.14421178 0.14310359 0.12166594 0.09862125
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
160,5727.169131919431,0.4605,0.2245,"[1.         0.87417642 0.15189489 0.0593863  0.05899815 0.05498085
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
170,5223.240327135098,0.635,0.2245,"[1.         0.08105082 0.03373738 0.03373738 0.00534615 0.00534272
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
180,4763.651794908117,0.6625,0.2245,"[1.         0.71636641 0.02428637 0.0212435  0.01739482 0.01490142
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
190,4344.502071873437,0.324,0.2245,"[1.         0.67366284 0.5147477  0.10446618 0.0066728  0.0066728
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
200,3962.232981152783,0.2405,0.2245,"[1.         0.99128742 0.5988753  0.5147477  0.35458414 0.0066728
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
210,3613.599426864818,0.2865,0.2245,"[1.         0.99977761 0.72183101 0.6368762  0.4750603  0.35810529
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
220,3295.6418463910177,0.3765,0.2245,"[1.82730071 1.         0.33178841 0.30766579 0.2946222  0.1597764
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
230,3005.661086543532,0.515,0.2245,"[1.         0.79806428 0.06850552 0.06352483 0.06303838 0.05815107
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
240,2741.195490357961,0.2615,0.2245,"[1.         0.56001657 0.56001657 0.46015051 0.03550815 0.03282721
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
250,2499.9999999999995,0.512,0.2245,"[1.         0.17882966 0.17882966 0.16345603 0.15182175 0.13510634
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
260,2280.027098389774,0.6235,0.2245,"[1.         0.11246641 0.06986539 0.04884467 0.03498953 0.03370017
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
270,2079.409427756677,0.339,0.2245,"[1.         0.53167301 0.53107476 0.07954352 0.07922629 0.03851693
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
280,1896.4439375729587,0.269,0.2245,"[1.17158271 0.96162203 0.53109086 0.34858187 0.08711934 0.06830429
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
290,1729.5774272973404,0.304,0.2245,"[1.         0.85692155 0.64068765 0.18323687 0.1823084  0.03805061
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
300,1577.3933612004823,0.365,0.2245,"[1.         0.48191758 0.19063118 0.19063118 0.11418778 0.05210287
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
310,1438.5998433428915,0.7155,0.2245,"[1.67418499 0.48191758 0.48191758 0.19063118 0.19063118 0.19063118
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
