step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.169,0.169,"[1.         0.83333333 0.66666667 0.57092053 0.33333333 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.301,0.169,"[1.         0.48105859 0.47933546 0.32957547 0.32701507 0.32701507
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
20,20794.094277566775,0.334,0.169,"[1.         0.48105859 0.47936173 0.47671057 0.45185965 0.33055718
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
30,18964.43937572959,1.0865,0.169,"[1.90335421 0.09261426 0.09257575 0.09257575 0.09165182 0.06363946
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
40,17295.77427297341,0.4615,0.169,"[1.83521128 0.21574237 0.15755695 0.02324044 0.02305339 0.02112188
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
50,15773.933612004832,0.4745,0.169,"[1.         0.94844523 0.05317071 0.05097874 0.01069197 0.00826344
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
60,14385.99843342892,0.3115,0.169,"[1.7097853  0.42945409 0.28662    0.11607894 0.02229693 0.01546032
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
70,13120.186506244314,0.3615,0.169,"[1.         0.59796587 0.21934211 0.04251569 0.03404969 0.00268237
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
80,11965.752308065956,0.439,0.169,"[1.92063679 0.93543073 0.10336886 0.01460194 0.01337113 0.00934092
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
90,10912.895806004148,0.228,0.169,"[1.29644904 0.60454136 0.53052158 0.00444368 0.00436346 0.00406912
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
