step,temperature,current_energy,best_energy,current_state,best_state
310,1438.5998433428915,0.3735,0.161,"[1.         1.         0.21004863 0.03011688 0.02241064 0.01580568
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
320,1312.0186506244306,0.2925,0.161,"[1.         0.9032536  0.32915738 0.04810863 0.01347604 0.00921577
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
330,1196.5752308065955,0.2615,0.161,"[1.         0.7277606  0.6497982  0.2058234  0.11680191 0.01805147
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
340,1091.2895806004146,0.499,0.161,"[1.80555538 0.96182252 0.32530858 0.32530858 0.05847456 0.00903711
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
350,995.2679263837426,0.3725,0.161,"[1.         0.34473626 0.2145484  0.05770722 0.03279514 0.03279514
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
360,907.6951369252529,0.17,0.161,"[1.         0.75173241 0.63537891 0.51018596 0.03279514 0.03279514
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
370,827.8278037064773,0.2535,0.161,"[1.         0.38108292 0.37787665 0.23352413 0.23175319 0.18617337
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
380,754.9879301005036,0.321,0.161,"[1.53057872 0.36928092 0.29941454 0.09912904 0.04823108 0.03874529
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
390,688.5571758345411,0.404,0.161,"[1.97775009 0.35490647 0.14441395 0.11150947 0.03355368 0.01813236
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
400,627.9716078773948,0.516,0.161,"[1.39312692 0.10778708 0.10034698 0.04385932 0.03381883 0.03020518
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
410,572.7169131919431,0.268,0.161,"[1.73630144 0.46630109 0.4568554  0.0170876  0.01319156 0.01084065
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
420,522.3240327135096,0.48,0.161,"[1.         0.27026169 0.07111122 0.00446256 0.00313335 0.00204975
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
430,476.36517949081156,0.444,0.161,"[1.         0.8922302  0.06120165 0.03416796 0.0013597  0.0010306
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
440,434.4502071873439,0.225,0.161,"[1.25533801e+00 6.40906424e-01 4.35618557e-01 3.44785604e-01
 8.71440861e-04 6.60517362e-04 0.00000000e+00]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
450,396.2232981152785,0.3385,0.161,"[1.         0.95393109 0.24805696 0.1963334  0.19541763 0.14713413
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
460,361.3599426864818,0.238,0.161,"[1.         0.44898812 0.44898812 0.32109592 0.0919775  0.09010055
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
470,329.5641846391018,0.3865,0.161,"[1.         0.44130658 0.15711271 0.15612259 0.05543265 0.03464943
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
480,300.5661086543529,0.281,0.161,"[1.         0.85145585 0.61773986 0.15821207 0.07117309 0.01837614
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
490,274.11954903579607,0.2055,0.161,"[1.95687069 0.51418311 0.44146821 0.37305803 0.26260381 0.03257209
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
500,249.9999999999999,0.3885,0.161,"[1.         1.         0.43160593 0.10897175 0.08365344 0.00836579
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
510,228.0027098389772,0.2945,0.161,"[1.         0.82134718 0.47041621 0.22368193 0.0565999  0.0292007
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
520,207.94094277566765,0.3205,0.161,"[1.         0.52436903 0.25148635 0.18584395 0.13633136 0.12424768
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
530,189.64439375729575,0.2355,0.161,"[1.         0.83025687 0.40446236 0.33243832 0.23355211 0.12424768
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
540,172.957742729734,0.231,0.155,"[1.6039112  0.97711131 0.57926998 0.1330995  0.09350808 0.08774425
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
550,157.73933612004814,0.4515,0.155,"[1.         0.16787052 0.12936866 0.11102675 0.07268157 0.01599876
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
560,143.85998433428912,0.236,0.155,"[1.         1.         0.58241578 0.12405773 0.12156576 0.07478097
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
570,131.2018650624431,0.2785,0.155,"[1.         0.99967859 0.45696413 0.07257221 0.07257221 0.04131413
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
580,119.65752308065949,0.2085,0.155,"[1.         0.51885759 0.51885759 0.22407937 0.04516767 0.03766578
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
590,109.12895806004144,0.6055,0.155,"[1.         0.64899201 0.31240027 0.31240027 0.30861115 0.03793529
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
600,99.5267926383742,0.2185,0.155,"[1.         1.         0.58524977 0.14327723 0.14265516 0.05199025
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
610,90.76951369252528,0.381,0.155,"[1.         0.97427244 0.16776267 0.0467039  0.04170787 0.01706643
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
620,82.78278037064767,0.464,0.155,"[1.         0.37495999 0.12957049 0.08769781 0.00374423 0.00370903
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
630,75.49879301005035,0.235,0.155,"[1.         0.93963911 0.79260479 0.05761673 0.05745357 0.00245652
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
640,68.85571758345408,0.2385,0.155,"[1.00000000e+00 5.72952706e-01 2.83597520e-01 2.83418898e-01
 2.76261943e-01 8.78953565e-04 0.00000000e+00]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
650,62.79716078773944,0.3985,0.155,"[1.         0.77371445 0.20258814 0.2025673  0.19734796 0.19729771
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
660,57.2716913191943,0.2325,0.155,"[1.20059106 0.87948389 0.57073757 0.20256957 0.1975835  0.19734778
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
670,52.23240327135093,0.387,0.155,"[1.         0.45262844 0.15415597 0.14847191 0.04480153 0.04458662
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
680,47.63651794908115,0.371,0.155,"[1.         0.69572552 0.216911   0.07730784 0.02416605 0.01703582
 0.        ]","[1.         0.83025687 0.7050501  0.33243832 0.23355211 0.19560402
 0.        ]"
690,43.445020718734334,0.1935,0.1475,"[1.         0.92472511 0.69572552 0.62908847 0.6199612  0.07374985
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
700,39.622329811527806,0.2045,0.1475,"[1.         0.59225816 0.59225816 0.44522545 0.42340176 0.27541286
 0.        ]","[1.         0.85131423 0.69572552 0.37826443 0.12915198 0.01938208
 0.        ]"
