step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.101,0.101,"[1.         0.83333333 0.66666667 0.5        0.35012646 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.153,0.097,"[1.         1.         0.80738734 0.58856504 0.50497204 0.29401104
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
20,20794.094277566775,0.5105,0.097,"[1.         0.87081738 0.87081738 0.38985067 0.35337923 0.22063118
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
30,18964.43937572959,0.2335,0.097,"[1.         0.97113101 0.88564932 0.3508326  0.2495594  0.24869161
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
40,17295.77427297341,0.25,0.097,"[1.         0.94092384 0.82619795 0.14333422 0.12180591 0.11052139
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
50,15773.933612004832,0.2465,0.097,"[1.         0.73940324 0.69008563 0.10647396 0.10098198 0.09795897
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
60,14385.99843342892,0.1215,0.097,"[1.         0.90341188 0.69008563 0.63229919 0.38981043 0.11212146
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
70,13120.186506244314,0.2025,0.097,"[1.         0.97195803 0.83656644 0.31157636 0.18481216 0.14405484
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
80,11965.752308065956,0.205,0.097,"[1.         0.97195803 0.84598112 0.78874508 0.53038314 0.15796614
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
90,10912.895806004148,0.1115,0.097,"[1.         0.84577807 0.67753827 0.56349858 0.38336378 0.33892477
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
100,9952.67926383743,0.333,0.097,"[1.83551387 0.30743342 0.29207131 0.17512944 0.11929983 0.11929983
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
110,9076.951369252534,0.6505,0.097,"[1.         0.15601746 0.15601746 0.05478593 0.05478593 0.01313555
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
120,8278.278037064774,0.275,0.097,"[1.         0.53365234 0.38823759 0.09438068 0.03657777 0.02268082
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
130,7549.87930100504,0.209,0.097,"[1.         0.54256129 0.43776463 0.25646081 0.25646081 0.09894168
 0.        ]","[1.         0.83333333 0.66666667 0.51317994 0.35012646 0.2480812
 0.        ]"
140,6885.571758345414,0.1305,0.086,"[1.         0.97801035 0.97801035 0.49457802 0.34169786 0.25646081
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
150,6279.7160787739485,0.268,0.086,"[1.25520839 0.46621659 0.4563853  0.2307932  0.17490189 0.15870559
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
160,5727.169131919431,0.2805,0.086,"[1.         0.38498651 0.36359325 0.35753705 0.17722568 0.17251143
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
170,5223.240327135098,0.2605,0.086,"[1.         1.         0.12415272 0.12176611 0.11572559 0.0556325
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
180,4763.651794908117,0.263,0.086,"[1.         0.79095871 0.09819968 0.09819968 0.09771124 0.07692479
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
190,4344.502071873437,0.352,0.086,"[1.         0.29446955 0.27301406 0.02901539 0.02901539 0.02272922
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
200,3962.232981152783,0.2665,0.086,"[1.         0.48983528 0.15614386 0.10846847 0.0157123  0.01518884
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
210,3613.599426864818,0.55,0.086,"[1.         0.44651784 0.44651784 0.05110935 0.04945805 0.00904076
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
220,3295.6418463910177,0.5745,0.086,"[1.         1.         0.38684261 0.17315458 0.17315458 0.17063913
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
230,3005.661086543532,0.192,0.086,"[1.         0.90112735 0.7983045  0.31770602 0.24350493 0.14531972
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
240,2741.195490357961,0.275,0.086,"[1.         0.34794701 0.28674928 0.27388336 0.11411933 0.08785209
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
250,2499.9999999999995,0.318,0.086,"[1.         0.30961317 0.26983476 0.25793619 0.15501423 0.12489488
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
260,2280.027098389774,0.351,0.086,"[1.         0.62834438 0.09393615 0.09298879 0.05787039 0.04877846
 0.        ]","[1.         0.86500172 0.54256129 0.41053821 0.25646081 0.09894168
 0.        ]"
