step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.17567567567567569,0.17567567567567569,"[1.         0.83333333 0.66666667 0.66666667 0.33333333 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.35935935935935936,0.17567567567567569,"[1.         1.         0.26207766 0.26207766 0.15821276 0.06435839
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
20,20794.094277566775,0.30430430430430433,0.17567567567567569,"[1.         1.         0.20001336 0.19288575 0.06827131 0.02777167
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
30,18964.43937572959,0.2982982982982983,0.17567567567567569,"[1.         1.         0.39884525 0.0769541  0.076911   0.01107984
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
40,17295.77427297341,0.23023023023023023,0.17567567567567569,"[1.         0.71823519 0.70608141 0.70608141 0.05524019 0.02514053
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
50,15773.933612004832,0.27677677677677676,0.17567567567567569,"[1.         0.40327787 0.40208546 0.4017368  0.0310165  0.0219197
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
60,14385.99843342892,0.24574574574574576,0.17567567567567569,"[1.         0.79866187 0.3209465  0.32087463 0.13716395 0.04798771
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
70,13120.186506244314,0.2247247247247247,0.17567567567567569,"[1.         0.74764668 0.3806137  0.26459936 0.08193973 0.0431748
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
80,11965.752308065956,0.27877877877877877,0.17567567567567569,"[1.         0.99228763 0.3806137  0.36615465 0.23619634 0.17868516
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
90,10912.895806004148,0.27877877877877877,0.17567567567567569,"[1.56357404 1.         0.86234208 0.69866266 0.29880119 0.29189264
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
100,9952.67926383743,0.2852852852852853,0.17567567567567569,"[1.         1.         0.56929079 0.55151983 0.40798976 0.35908909
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
110,9076.951369252534,0.2747747747747748,0.17567567567567569,"[1.37823245 0.90312989 0.51414353 0.50873672 0.37596478 0.3744936
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
120,8278.278037064774,0.22522522522522523,0.17567567567567569,"[1.29916463 0.72732754 0.52607822 0.30927523 0.22149367 0.2023119
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
130,7549.87930100504,0.33633633633633636,0.17567567567567569,"[1.         0.99853441 0.26349218 0.0806173  0.07081405 0.06912534
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
