step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.236,0.236,"[1.         0.83333333 0.66666667 0.5        0.38243826 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.565,0.236,"[1.70398756 0.28557492 0.08836483 0.05333136 0.05108972 0.02108664
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
20,20794.094277566775,0.659,0.236,"[1.         0.05974703 0.0552661  0.02859804 0.01111265 0.00788453
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
30,18964.43937572959,0.629,0.236,"[1.         0.39598032 0.01103138 0.010945   0.00367807 0.00157379
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
40,17295.77427297341,0.645,0.236,"[1.         0.1306203  0.12493355 0.0036371  0.00358541 0.00107712
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
50,15773.933612004832,0.32,0.236,"[1.00000000e+00 3.91280999e-01 3.91280999e-01 1.70605664e-01
 8.80046947e-02 3.19411301e-04 0.00000000e+00]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
60,14385.99843342892,0.5205,0.236,"[1.         0.17345394 0.17345394 0.17272046 0.17198365 0.15273598
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
70,13120.186506244314,0.5925,0.236,"[1.         0.15479701 0.15479701 0.15479701 0.15356415 0.1523668
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
80,11965.752308065956,0.744,0.236,"[1.         0.02627315 0.02627315 0.02627315 0.02619331 0.02606408
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
90,10912.895806004148,0.623,0.236,"[1.         0.53750068 0.02742003 0.01412183 0.01412132 0.01410541
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
100,9952.67926383743,0.4005,0.236,"[1.         0.77005086 0.19786371 0.16414444 0.00626688 0.0062668
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
110,9076.951369252534,0.93,0.236,"[1.         0.39529921 0.39529921 0.05120944 0.05120944 0.04642598
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
120,8278.278037064774,1.0085,0.236,"[1.12526887 0.99193495 0.88869949 0.05120944 0.05120944 0.05120944
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
130,7549.87930100504,0.3525,0.2315,"[1.         0.31283023 0.28380137 0.16649535 0.10789612 0.04100046
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
140,6885.571758345414,0.4135,0.2315,"[1.         0.34779429 0.34779429 0.07141527 0.04913669 0.04749635
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
150,6279.7160787739485,0.4655,0.2315,"[1.         0.62355588 0.23083687 0.0473995  0.04730311 0.04586895
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
160,5727.169131919431,0.852,0.2315,"[1.         0.76936212 0.32330131 0.03360774 0.03360774 0.03133256
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
170,5223.240327135098,0.855,0.2315,"[1.16792952 0.97370748 0.56498976 0.02026058 0.02026058 0.01888897
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
180,4763.651794908117,0.249,0.2315,"[1.         0.61498923 0.36664637 0.36664637 0.26914268 0.00711258
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
190,4344.502071873437,0.464,0.2315,"[1.         1.         0.13966942 0.13966942 0.12124077 0.00270945
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
200,3962.232981152783,0.5815,0.2315,"[1.         0.41488127 0.08133634 0.05794622 0.05741923 0.05740926
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
210,3613.599426864818,0.44,0.2315,"[1.50888676 0.9774605  0.23379703 0.09696708 0.03759251 0.0375822
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
220,3295.6418463910177,0.239,0.2315,"[1.         0.81382885 0.74473313 0.62813516 0.05762499 0.05698188
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
230,3005.661086543532,0.279,0.2315,"[1.         0.85242481 0.6099478  0.51179669 0.29142356 0.02643677
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
240,2741.195490357961,0.332,0.2315,"[1.         1.         0.98654025 0.28892043 0.17157381 0.17157381
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
250,2499.9999999999995,0.275,0.2315,"[1.         0.97273304 0.75560645 0.29535718 0.15082036 0.09941793
 0.        ]","[1.         0.60372142 0.54769953 0.32131424 0.13405647 0.02837167
 0.        ]"
260,2280.027098389774,0.3095,0.2215,"[1.         0.94990423 0.29696626 0.23018826 0.04604404 0.0369476
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
270,2079.409427756677,0.541,0.2215,"[1.         0.99084593 0.78229492 0.13414449 0.12302123 0.12302123
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
280,1896.4439375729587,0.432,0.2215,"[1.76432452 0.37368685 0.36804452 0.05050022 0.04663891 0.04631274
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
290,1729.5774272973404,0.595,0.2215,"[1.         0.46420649 0.05566446 0.05566446 0.03148718 0.00694618
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
300,1577.3933612004823,0.264,0.2215,"[1.         1.         0.86541324 0.36840121 0.0150712  0.00528232
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
310,1438.5998433428915,0.2445,0.2215,"[1.         0.5358784  0.45042173 0.45042173 0.00784411 0.00650762
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
320,1312.0186506244306,0.2805,0.2215,"[1.64939991 0.8130513  0.38585096 0.3243192  0.00564803 0.00564803
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
330,1196.5752308065955,0.2935,0.2215,"[1.         0.48243472 0.29214698 0.26728351 0.12543104 0.08237161
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
340,1091.2895806004146,0.4895,0.2215,"[1.         0.65018332 0.15139579 0.11298392 0.07537156 0.03899391
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
350,995.2679263837426,0.3365,0.2215,"[1.         0.99985633 0.71344838 0.15139579 0.09485716 0.07432355
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
360,907.6951369252529,0.229,0.2215,"[1.         0.54080759 0.44589942 0.40162249 0.1219723  0.05323359
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
370,827.8278037064773,0.354,0.2215,"[1.         0.96952247 0.79722836 0.4283213  0.24572817 0.24572817
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
380,754.9879301005036,0.4245,0.2215,"[1.         1.         0.95537966 0.4283213  0.42786032 0.41324544
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
390,688.5571758345411,0.3645,0.2215,"[1.         1.         0.97324642 0.94161465 0.42831852 0.41324544
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
400,627.9716078773948,0.322,0.2215,"[1.         0.85296743 0.71406815 0.44941423 0.35906134 0.24231742
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
410,572.7169131919431,0.7895,0.2215,"[1.         0.43098437 0.43098437 0.20007673 0.20007673 0.14997664
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
420,522.3240327135096,0.3105,0.2215,"[1.         0.81027815 0.66134493 0.18881885 0.18489593 0.1003735
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
430,476.36517949081156,0.409,0.2215,"[1.         0.95906551 0.94026109 0.18881885 0.18878487 0.18177613
 0.        ]","[1.         0.70382941 0.50246578 0.38947765 0.07790634 0.0625152
 0.        ]"
440,434.4502071873439,0.305,0.2205,"[1.         0.6019947  0.28228619 0.24823597 0.20642518 0.05529866
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
450,396.2232981152785,0.562,0.2205,"[1.         0.69881542 0.04203939 0.04179465 0.03573282 0.03381852
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
460,361.3599426864818,0.566,0.2205,"[1.         0.98328446 0.0562323  0.02568978 0.02496273 0.02258834
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
470,329.5641846391018,0.3895,0.2205,"[1.         1.         0.99619567 0.05783909 0.02165306 0.02111867
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
480,300.5661086543529,0.2375,0.2205,"[1.         0.61789067 0.61675197 0.61581272 0.2857385  0.01310983
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
490,274.11954903579607,0.3685,0.2205,"[1.         0.87360362 0.26791457 0.26784705 0.26776682 0.00569486
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
500,249.9999999999999,0.5165,0.2205,"[1.         1.         0.14544764 0.14541792 0.14541328 0.11784867
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
510,228.0027098389772,0.467,0.2205,"[1.         0.41827205 0.17943429 0.08146176 0.08146176 0.06080419
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
520,207.94094277566765,0.91,0.2205,"[1.79461561 0.63225919 0.19453944 0.04703821 0.04703821 0.04401246
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
530,189.64439375729575,0.5245,0.2205,"[1.73470256 1.         0.09178227 0.06094144 0.00674511 0.00655003
 0.        ]","[1.         0.58515597 0.56370994 0.44894145 0.11318123 0.10897932
 0.        ]"
