step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.2405,0.2405,"[1.46415278 0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.2785,0.2205,"[1.         0.93328138 0.89552058 0.59787878 0.40371752 0.13379828
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
20,20794.094277566775,0.501,0.2205,"[1.         0.15383745 0.14805411 0.14771608 0.07660283 0.07558145
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
30,18964.43937572959,0.2965,0.2205,"[1.         0.66173838 0.6515713  0.1480157  0.14619581 0.07558145
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
40,17295.77427297341,0.2635,0.2205,"[1.         0.95792346 0.67282988 0.60085773 0.56417482 0.10314166
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
50,15773.933612004832,0.2715,0.2205,"[1.         0.91783706 0.80472802 0.49437091 0.49320848 0.22598818
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
60,14385.99843342892,0.369,0.2205,"[1.62591736 0.96893355 0.88005355 0.80472802 0.7227972  0.40060738
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
70,13120.186506244314,0.308,0.2205,"[1.         0.55312221 0.18540024 0.18277784 0.17103726 0.11190086
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
80,11965.752308065956,0.334,0.2205,"[1.         1.         0.46512994 0.32738831 0.32738831 0.3135061
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
90,10912.895806004148,0.2835,0.2205,"[1.         0.65484319 0.30458717 0.3038758  0.30357904 0.20529733
 0.        ]","[1.         0.56915736 0.45532589 0.34149442 0.22766294 0.11383147
 0.        ]"
