step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.3035,0.3035,"[1.         0.85304805 0.66666667 0.5        0.33333333 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.331,0.3035,"[1.         0.67009597 0.60076612 0.23583483 0.13421996 0.12900431
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
20,20794.094277566775,0.4105,0.3035,"[1.         1.         0.49804998 0.34258535 0.16397639 0.08673437
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
30,18964.43937572959,0.3325,0.284,"[1.         1.         0.93346433 0.47220488 0.33869801 0.33869801
 0.        ]","[1.         1.         0.49804998 0.47220488 0.33869801 0.33869801
 0.        ]"
40,17295.77427297341,0.302,0.283,"[1.         0.87073514 0.83352783 0.39433394 0.39433394 0.28284359
 0.        ]","[1.         0.83509079 0.80716285 0.39433394 0.39433394 0.28284359
 0.        ]"
50,15773.933612004832,0.4145,0.283,"[1.         0.98154045 0.86608111 0.21248981 0.21248981 0.16923644
 0.        ]","[1.         0.83509079 0.80716285 0.39433394 0.39433394 0.28284359
 0.        ]"
60,14385.99843342892,0.461,0.283,"[1.         0.99615675 0.91636974 0.69771502 0.10932712 0.08707303
 0.        ]","[1.         0.83509079 0.80716285 0.39433394 0.39433394 0.28284359
 0.        ]"
70,13120.186506244314,0.437,0.283,"[1.         0.44822921 0.2803928  0.25197325 0.1738745  0.0266428
 0.        ]","[1.         0.83509079 0.80716285 0.39433394 0.39433394 0.28284359
 0.        ]"
80,11965.752308065956,0.432,0.283,"[1.         0.7836044  0.2828344  0.22552705 0.22552705 0.02245669
 0.        ]","[1.         0.83509079 0.80716285 0.39433394 0.39433394 0.28284359
 0.        ]"
90,10912.895806004148,0.3705,0.283,"[1.         0.66127867 0.2539115  0.17050772 0.16551387 0.16516601
 0.        ]","[1.         0.83509079 0.80716285 0.39433394 0.39433394 0.28284359
 0.        ]"
100,9952.67926383743,0.3385,0.283,"[1.         0.78521411 0.7654163  0.2341908  0.21727935 0.16521759
 0.        ]","[1.         0.83509079 0.80716285 0.39433394 0.39433394 0.28284359
 0.        ]"
110,9076.951369252534,0.357,0.283,"[1.         1.         0.7654163  0.51075934 0.22735822 0.20308626
 0.        ]","[1.         0.83509079 0.80716285 0.39433394 0.39433394 0.28284359
 0.        ]"
120,8278.278037064774,0.3815,0.2725,"[1.         0.79050515 0.24577539 0.16027644 0.15563611 0.13885055
 0.        ]","[1.         0.52403935 0.41043929 0.267658   0.24173135 0.2032664
 0.        ]"
130,7549.87930100504,0.458,0.2725,"[1.         0.92287913 0.92020966 0.8784177  0.15563611 0.15476203
 0.        ]","[1.         0.52403935 0.41043929 0.267658   0.24173135 0.2032664
 0.        ]"
140,6885.571758345414,0.2595,0.259,"[1.         0.57452361 0.5704861  0.53448371 0.52532065 0.51630098
 0.        ]","[1.         0.57452361 0.56610801 0.53448371 0.51630098 0.51630098
 0.        ]"
150,6279.7160787739485,0.258,0.249,"[1.         0.90319127 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
160,5727.169131919431,0.274,0.249,"[1.         0.503755   0.48220089 0.32301797 0.18913428 0.18903721
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
170,5223.240327135098,0.3895,0.249,"[1.         0.33583786 0.31804085 0.27483457 0.09036954 0.09033308
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
180,4763.651794908117,0.6335,0.249,"[1.         0.3602861  0.27898877 0.04730901 0.01555588 0.01555588
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
190,4344.502071873437,0.499,0.249,"[1.         0.63214569 0.28031445 0.11882014 0.10932438 0.0182881
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
200,3962.232981152783,0.6265,0.249,"[1.         0.3743246  0.06609077 0.06609077 0.02577581 0.01859065
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
210,3613.599426864818,0.5055,0.249,"[1.         0.70430631 0.66537684 0.04654815 0.04654815 0.0144403
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
220,3295.6418463910177,0.313,0.249,"[1.         0.89662886 0.89485309 0.75446703 0.36411749 0.32283412
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
230,3005.661086543532,0.311,0.249,"[1.         0.98743947 0.55012575 0.463948   0.39983084 0.19100268
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
240,2741.195490357961,0.252,0.249,"[1.         0.5801815  0.54760683 0.39206465 0.27246076 0.24243666
 0.        ]","[1.         0.41964167 0.40202659 0.34803505 0.34803505 0.3442664
 0.        ]"
250,2499.9999999999995,0.2775,0.2435,"[1.         0.51006705 0.45932089 0.38905144 0.22808301 0.15770233
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
260,2280.027098389774,0.284,0.2435,"[1.         0.99114427 0.99114427 0.4359053  0.37532486 0.34550874
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
270,2079.409427756677,0.277,0.2435,"[1.         0.51505413 0.46536019 0.4551377  0.20044025 0.15921457
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
280,1896.4439375729587,0.277,0.2435,"[1.7791203  0.47507234 0.36965109 0.26855068 0.26855068 0.26444089
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
290,1729.5774272973404,0.684,0.2435,"[1.         0.08264467 0.08263824 0.08263824 0.04671769 0.04671743
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
300,1577.3933612004823,0.492,0.2435,"[1.         0.71875445 0.71875445 0.22220928 0.03703616 0.03060414
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
310,1438.5998433428915,0.555,0.2435,"[1.         0.33972622 0.22401354 0.21375374 0.01139985 0.01077076
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
320,1312.0186506244306,0.486,0.2435,"[1.         0.89373956 0.32532857 0.3249603  0.31327168 0.01121468
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
330,1196.5752308065955,0.294,0.2435,"[1.37238295 0.75173185 0.53536384 0.2585202  0.2585202  0.22847481
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
340,1091.2895806004146,0.3395,0.2435,"[1.         0.95070961 0.60695692 0.47363891 0.18837322 0.18785269
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
350,995.2679263837426,0.539,0.2435,"[1.         0.28309593 0.10932839 0.08531442 0.08379745 0.04918408
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
360,907.6951369252529,0.6355,0.2435,"[1.14935643 0.56498955 0.02780991 0.02688374 0.02155308 0.01402024
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
370,827.8278037064773,0.449,0.2435,"[1.         0.84979242 0.58465945 0.23748528 0.18108775 0.01219834
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
380,754.9879301005036,0.504,0.2435,"[1.         0.72621848 0.31900682 0.12307828 0.06347456 0.01140986
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
390,688.5571758345411,0.577,0.2435,"[1.         0.66433438 0.24930915 0.08525568 0.01708633 0.01266805
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
400,627.9716078773948,0.561,0.2435,"[1.         0.83847665 0.26002982 0.03462497 0.01356318 0.01356318
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
410,572.7169131919431,0.564,0.2435,"[1.         0.99383655 0.91974189 0.91974189 0.01356318 0.01356318
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
420,522.3240327135096,0.501,0.2435,"[1.         0.84898557 0.19446569 0.19446569 0.10419704 0.00286773
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
430,476.36517949081156,0.475,0.2435,"[1.51244278 0.9843966  0.23682286 0.23643867 0.20567322 0.01286425
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
440,434.4502071873439,0.6965,0.2435,"[1.         0.18073136 0.11292829 0.07392532 0.04028278 0.00901199
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
450,396.2232981152785,0.858,0.2435,"[1.57064897e+00 6.11208423e-02 4.98695785e-02 1.11743165e-02
 8.66452851e-03 1.36222418e-03 0.00000000e+00]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
460,361.3599426864818,0.6265,0.2435,"[1.         0.4174673  0.26759886 0.02165529 0.00213694 0.00213694
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
470,329.5641846391018,0.4855,0.2435,"[1.22985553 0.68535289 0.33262806 0.12844091 0.03070432 0.03070432
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
480,300.5661086543529,0.4345,0.2435,"[1.         0.70707692 0.16525927 0.14928658 0.11566642 0.08886095
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
490,274.11954903579607,0.3945,0.2435,"[1.         0.79973288 0.32221971 0.32079444 0.23951621 0.04760325
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
500,249.9999999999999,0.3765,0.2435,"[1.         0.59793281 0.54879947 0.23562446 0.17023916 0.03764296
 0.        ]","[1.         0.5801815  0.54760683 0.39206465 0.3256364  0.24243666
 0.        ]"
