step,temperature,current_energy,best_energy,current_state,best_state
310,1438.5998433428915,0.4655,0.2915,"[1.         1.         0.12253797 0.12192465 0.09792951 0.03568712
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
320,1312.0186506244306,0.493,0.2915,"[1.         0.47437883 0.04753439 0.04752846 0.03798838 0.03679995
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
330,1196.5752308065955,0.458,0.2915,"[1.         0.33445294 0.33445294 0.02935798 0.02806865 0.02368458
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
340,1091.2895806004146,0.6295,0.2915,"[1.         0.08071221 0.08071221 0.05230636 0.01656152 0.0148486
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
350,995.2679263837426,0.841,0.2915,"[1.         0.97986188 0.3535043  0.04368293 0.00952889 0.00952889
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
360,907.6951369252529,0.435,0.2915,"[1.         0.88785128 0.25488814 0.25488814 0.12397378 0.01274943
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
370,827.8278037064773,0.4925,0.2915,"[1.         0.32176592 0.08603585 0.08603585 0.04184655 0.0337618
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
380,754.9879301005036,0.625,0.2915,"[1.33265552 0.17373814 0.05973066 0.04645523 0.04498995 0.03864071
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
390,688.5571758345411,0.4725,0.2915,"[1.         0.87422288 0.84689051 0.02782802 0.02151159 0.02043393
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
400,627.9716078773948,0.489,0.2915,"[1.         1.         0.28411116 0.06506567 0.0077205  0.00730249
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
410,572.7169131919431,0.443,0.2915,"[1.         0.97202503 0.1737808  0.14143277 0.0691127  0.00993507
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
420,522.3240327135096,0.462,0.2915,"[1.62030427 0.99917027 0.99904409 0.16494989 0.12849767 0.00993507
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
430,476.36517949081156,0.3335,0.2915,"[1.         0.46298241 0.46298241 0.46021739 0.05954156 0.01340387
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
440,434.4502071873439,0.412,0.263,"[1.38459868 0.67774302 0.1326144  0.13182241 0.0947923  0.06549512
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
450,396.2232981152785,0.3025,0.263,"[1.         0.33495499 0.22269051 0.22269051 0.18784591 0.03077449
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
460,361.3599426864818,0.5785,0.263,"[1.         0.15105402 0.10042632 0.10042632 0.10036551 0.0996987
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
470,329.5641846391018,0.804,0.263,"[1.         0.67928279 0.23812933 0.06821787 0.0682074  0.06817657
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
480,300.5661086543529,0.4015,0.263,"[1.47137025 0.7113054  0.7113054  0.56981816 0.05974989 0.05974794
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
490,274.11954903579607,0.4115,0.263,"[1.         0.68022024 0.58965668 0.379641   0.33368218 0.30412582
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
500,249.9999999999999,0.5115,0.263,"[1.         0.87314793 0.87314793 0.379641   0.379641   0.36402889
 0.        ]","[1.         0.46298241 0.46298241 0.46021739 0.30542017 0.05949933
 0.        ]"
