,majority,majority_loser,condorcet_winner,condorcet_loser,drummetts_condition,count_viols
Neural Network,0,0,86,0,0,0
Random Choice,0,0,2462,724,0,0
Borda ranking,0,0,98,0,0,0
Plurality ranking,0,0,1893,0,0,0
Approval Voting (AV),0,0,69,0,0,0
Proportional Approval Voting (PAV),0,0,99,0,0,0
Approval Chamberlin-Courant (CC),0,0,2728,696,0,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,189,0,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,2129,678,0,0
Monroe's Approval Rule (Monroe),0,0,181,4,0,0
Greedy Monroe,0,0,149,0,0,0
Minimax Approval Voting (MAV),0,0,345,5,0,0
