,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.0010541818181818183,0.0,0.0,0.0,0.00064,0.000116,0.00381,0.001712,0.0,0.0,0.005314,0.0
Random Choice,0.007202909090909091,0.0,0.0,0.013552,0.031206,0.000978,0.011254,0.006134,0.0,0.0,0.016108,0.0
Borda ranking,0.0008627272727272727,0.0,0.0,0.001354,0.005938,0.0,0.000886,0.000212,0.0,0.0,0.0011,0.0
Plurality ranking,0.00288,0.0,0.0,0.009166,0.02248,2.4e-05,0.0,0.0,0.0,0.0,1e-05,0.0
Approval Voting (AV),0.0032094545454545453,0.0,0.0,0.005558,0.015388,2e-06,0.005208,0.002362,0.0,0.0,0.006786,0.0
Proportional Approval Voting (PAV),0.0032405454545454547,0.0,0.0,0.00567,0.015716,4e-06,0.00526,0.002374,0.0,0.0,0.006622,0.0
Approval Chamberlin-Courant (CC),0.007256,0.0,0.0,0.013552,0.031278,0.000988,0.011484,0.006294,0.0,0.0,0.01622,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.003830181818181818,0.0,0.0,0.0075,0.019166,6e-06,0.00577,0.00266,0.0,0.0,0.00703,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.00628,0.0,0.0,0.012862,0.029592,0.000158,0.008972,0.004638,0.0,0.0,0.012858,0.0
Monroe's Approval Rule (Monroe),0.007256,0.0,0.0,0.013552,0.031278,0.000988,0.011484,0.006294,0.0,0.0,0.01622,0.0
Greedy Monroe,0.005022,0.0,0.0,0.010304,0.024416,3.6e-05,0.007222,0.003426,0.0,0.0,0.009838,0.0
Minimax Approval Voting (MAV),0.007256,0.0,0.0,0.013552,0.031278,0.000988,0.011484,0.006294,0.0,0.0,0.01622,0.0
