,majority,majority_loser,condorcet_winner,condorcet_loser,count_viols
Neural Network,0,0,350,0,0
Random Choice,0,0,902,42,0
Borda ranking,0,0,370,0,0
Plurality ranking,0,0,669,5,0
Approval Voting (AV),0,0,518,1,0
Proportional Approval Voting (PAV),0,0,529,0,0
Approval Chamberlin-Courant (CC),0,0,922,36,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,645,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,819,5,0
Monroe's Approval Rule (Monroe),0,0,922,36,0
Greedy Monroe,0,0,699,1,0
Minimax Approval Voting (MAV),0,0,922,36,0
