,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.001415090909090909,0.0,0.0,0.0,3.6e-05,0.0,0.005194,0.005164,0.0,0.0,0.005164,6e-06
Random Choice,0.015541454545454546,0.000166,0.012566,0.036474,0.040312,0.00746,0.01881,0.01811,0.0,0.0,0.01811,0.018948
Borda ranking,0.001845090909090909,0.0,0.0009,0.00568,0.006546,0.0,0.0024,0.002384,0.0,0.0,0.002384,2e-06
Plurality ranking,0.007536,0.0,0.008864,0.027406,0.030396,0.00157,0.000236,0.0,0.0,0.0,0.0,0.014424
Approval Voting (AV),0.003542,2e-06,0.0,0.00637,0.007514,3.4e-05,0.008438,0.008302,0.0,0.0,0.008302,0.0
Proportional Approval Voting (PAV),0.003542,2e-06,0.0,0.00637,0.007514,3.4e-05,0.008438,0.008302,0.0,0.0,0.008302,0.0
Approval Chamberlin-Courant (CC),0.01564690909090909,0.000192,0.01255,0.036678,0.040534,0.007502,0.018968,0.01827,0.0,0.0,0.01827,0.019152
Lexicographic Chamberlin-Courant (lex-CC),0.003542,2e-06,0.0,0.00637,0.007514,3.4e-05,0.008438,0.008302,0.0,0.0,0.008302,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.01532109090909091,0.000178,0.012342,0.036382,0.040262,0.006952,0.018584,0.017972,0.0,0.0,0.017972,0.017888
Monroe's Approval Rule (Monroe),0.015619272727272728,0.000188,0.012492,0.03662,0.040476,0.007492,0.018938,0.018246,0.0,0.0,0.018246,0.019114
Greedy Monroe,0.006211818181818182,2.4e-05,0.002694,0.01583,0.01733,0.000166,0.01089,0.010698,0.0,0.0,0.010698,0.0
Minimax Approval Voting (MAV),0.01564690909090909,0.000192,0.01255,0.036678,0.040534,0.007502,0.018968,0.01827,0.0,0.0,0.01827,0.019152
