,majority,majority_loser,condorcet_winner,condorcet_loser,count_viols
Neural Network,0,0,17,0,0
Random Choice,0,0,331,99,0
Borda ranking,0,0,17,0,0
Plurality ranking,0,0,268,0,0
Approval Voting (AV),0,0,8,1,0
Proportional Approval Voting (PAV),0,0,19,1,0
Approval Chamberlin-Courant (CC),0,0,369,94,0
Lexicographic Chamberlin-Courant (lex-CC),0,0,35,0,0
Sequential Approval Chamberlin-Courant (seq-CC),0,0,294,84,0
Monroe's Approval Rule (Monroe),0,0,35,0,0
Greedy Monroe,0,0,24,1,0
Minimax Approval Voting (MAV),0,0,65,0,0
