,mean_violations,majority,majority_loser,fixed_majority,condorcet_winner,condorcet_loser,dummetts_condition,solid_coalitions,consensus_committee,strong_unanimity,local_stability,strong_pareto_efficiency
Neural Network,0.001978181818181818,9.4e-05,0.000298,1.8e-05,0.000842,0.0,0.00607,0.00489,4e-06,0.0,0.007686,0.00185
Random Choice,0.018338909090909093,0.013408,0.01343,0.032336,0.037208,0.001612,0.02902,0.023006,8e-06,0.001856,0.028078,0.021766
Borda ranking,0.0021085454545454545,5.8e-05,4.2e-05,0.005486,0.007096,0.0,0.003066,0.002266,8e-06,0.0,0.003396,0.001776
Plurality ranking,0.008895272727272727,0.0,0.010108,0.02893,0.032948,6e-06,0.00892,0.0,0.0,0.001748,5.6e-05,0.015132
Approval Voting (AV),0.0024465454545454547,9.4e-05,8.8e-05,0.002724,0.004762,0.0,0.006514,0.005202,8e-06,0.0,0.00752,0.0
Proportional Approval Voting (PAV),0.0033563636363636365,0.000796,0.000698,0.006114,0.008936,0.0,0.007118,0.005898,8e-06,0.0,0.007352,0.0
Approval Chamberlin-Courant (CC),0.017619454545454546,0.012712,0.01277,0.03236,0.03718,8.4e-05,0.028206,0.021856,8e-06,0.001862,0.025126,0.02165
Lexicographic Chamberlin-Courant (lex-CC),0.009601818181818182,0.00574,0.005672,0.024652,0.028544,0.0,0.01585,0.011936,8e-06,0.0,0.013218,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.015428,0.01053,0.011062,0.030898,0.0354,2e-05,0.024778,0.018662,1e-05,0.001856,0.021214,0.015278
Monroe's Approval Rule (Monroe),0.007464727272727273,0.003288,0.002732,0.015928,0.020278,1.4e-05,0.011698,0.010002,8e-06,0.0,0.012596,0.005568
Greedy Monroe,0.005391272727272727,0.00214,0.002176,0.01229,0.015754,0.0,0.009222,0.007662,8e-06,0.0,0.009198,0.000854
Minimax Approval Voting (MAV),0.014541636363636364,0.009542,0.009538,0.030026,0.034748,7.2e-05,0.023598,0.018384,1e-05,0.0,0.02151,0.01253
