,Standard Deviation
mean_violations,0.00017273263149582084
majority,8.717797887081348e-06
majority_loser,0.0
fixed_majority,0.0
condorcet_winner,0.001060271663301439
condorcet_loser,0.0
dummetts_condition,0.00034756294393965424
solid_coalitions,0.0003031237371107711
consensus_committee,0.0
strong_unanimity,0.0
local_stability,0.00034905013966477795
strong_pareto_efficiency,0.00012792185114357904
