NN-0,NN-1,NN-2,NN-3,NN-4,NN-5,NN-6,NN-7,NN-8,NN-9,NN-10,NN-11,NN-12,NN-13,NN-14,NN-15,NN-16,NN-17,NN-18,NN-19
62.48034518957138,63.31472274661064,62.623202323913574,64.47325974702835,60.1555797085166,61.40924792736769,64.0979810282588,65.2329194098711,62.77058159559965,63.08049704879522,61.50572348386049,63.35550905019045,63.98220656812191,63.25293652713299,59.87534574791789,62.295219868421555,62.590865053236485,60.57022860646248,62.5463642925024,64.66687216609716
14.722727235406637,11.45354476571083,9.536807230208069,18.01559959864244,8.874257462564856,9.190450735390186,13.067455336917192,14.896819828543812,10.27791529102251,13.383996522985399,10.927729928866029,9.77350277453661,14.417097119614482,20.027183418162167,8.91654659807682,11.510569266043603,9.911238037981093,9.7546751704067,13.539843838661909,11.92769567342475
6.193766799289733,5.675417184829712,5.657072330825031,5.7435112171806395,5.448417446110398,5.838218753691763,5.850617941003293,5.930140886921436,5.720174360089004,5.724719004705548,5.516273710876703,5.593440484721214,5.857080620480701,6.2813947279937565,5.762784922495484,6.064437078312039,5.5286059393547475,5.623767039272934,6.072304232977331,5.709695586469024
4.9570593372918665,4.4637122405692935,4.63520902232267,4.463250915752724,4.3555527799762785,4.643371331039816,4.65410148515366,4.825809749774635,4.508681498002261,4.437653457513079,4.286453265463933,4.505344807868823,4.570359269855544,4.948454284109175,4.651940492447466,4.833073708694428,4.338421327294782,4.458283926360309,4.965000499272719,4.46590049774386
3.9442036426626146,3.4094082545489073,3.685508168535307,3.481370471883565,3.377478108042851,3.6392391936387867,3.673131834482774,3.9887239017989486,3.4254136863164604,3.417627504328266,3.363702377770096,3.5801418053451926,3.493399749044329,3.8057858294341713,3.636587244691327,3.6838743845000863,3.339737424859777,3.4632372583728284,3.9752576167229563,3.4119958127848804
2.981399917509407,2.6917330669239163,2.8661387907341123,2.827427368145436,2.692543137120083,2.899844831554219,2.8536323697771877,3.1816807745490223,2.585485804826021,2.724716298514977,2.766534818802029,2.851148855406791,2.747837712056935,2.8439905445557088,2.8863418018445373,2.9039259504061192,2.700808587949723,2.745414417469874,3.0949457820970565,2.6877617549616843
2.4117441175039858,2.297234795987606,2.3657917962409556,2.401264928630553,2.2896130399312824,2.419478009804152,2.3549609396141022,2.560764118330553,2.1290700576500967,2.3412404989358038,2.3061781231081113,2.384150374913588,2.288046772708185,2.31132545217406,2.3783825791906565,2.44269519392401,2.2644857394043356,2.2668387121520936,2.538669435074553,2.3012883553747088
2.079879249096848,2.0072689397493377,2.024857629206963,2.1423847591504455,2.0510121297556907,2.077177658909932,2.1183150749420747,2.144899472477846,1.8521227583987638,2.0602965822909027,2.020682047237642,2.1286153374239802,2.0571572220651433,1.9819524142658338,2.0676443862030283,2.1483188754646108,2.015234383638017,1.9228390229400247,2.1906840787269175,2.011279462603852
1.8446013380307704,1.8454121865797788,1.799056853284128,1.8436809761915356,1.8278186599491164,1.8562257217708975,1.881063307984732,1.907990500330925,1.6511214707279578,1.814818898565136,1.8059410031419247,1.88507513073273,1.8706763590453193,1.7874110840493813,1.8197886283742264,1.9320079324534163,1.78741092258133,1.7405301399994642,1.9713736526900902,1.8073569965781644
1.6375424454454333,1.669749555643648,1.6007909262552857,1.6956752063706517,1.6861249717185274,1.694406114751473,1.733000440406613,1.7095813172636554,1.5166882163612172,1.664888062980026,1.5975652649067342,1.712121622869745,1.6609538233606145,1.5997586916200817,1.6224867100827396,1.757222746615298,1.6107157808728516,1.5712783324997872,1.7721970723941922,1.6543292205315083
1.5196717079961672,1.552946666488424,1.4784099174430594,1.5431381294038147,1.5379246801603585,1.535370446043089,1.5473270969232544,1.5626434341538697,1.3595200257841498,1.51080428075511,1.483498016721569,1.5908934499602765,1.5634670428698882,1.491623917943798,1.4777847970835865,1.5991500172531232,1.4995996548095718,1.410909504047595,1.6452156545128673,1.5402787110069767
1.3632720378227532,1.4355870557483286,1.343973635463044,1.442337472224608,1.4253063796786591,1.4352178600383922,1.4373566103167832,1.4111664918018505,1.2418304873863235,1.394295941106975,1.361552560236305,1.4296686517773196,1.4130206995178014,1.3492400313261896,1.3853712782729417,1.482832092558965,1.4000473320484161,1.3577512230258435,1.4960511322133243,1.399393315659836
1.32397207361646,1.332666561123915,1.243569208891131,1.3089302480220795,1.3107582174707204,1.341883601504378,1.349339324166067,1.341828091070056,1.1763548457529396,1.2816686748992652,1.2993531144456938,1.3449063615407795,1.3365297308191657,1.2628134672995657,1.2690071960678324,1.3655752635095268,1.344275699579157,1.2185048321262002,1.3947468710830435,1.279760963167064
1.225088273989968,1.2604585516965017,1.1977978764334694,1.2267877024132758,1.2386313315946609,1.2525742418365553,1.2539784429827705,1.2511438716901466,1.1228622923372313,1.1891056522727013,1.2031490401132032,1.275278122862801,1.2611528629204258,1.1881561881164089,1.1881303507834673,1.292851862963289,1.2249710243195295,1.1725349102634937,1.3234488853486255,1.207464407896623
1.1452722675167024,1.1957010881742463,1.1181552233174443,1.1792433885857463,1.1394045448396355,1.1734928799560294,1.1956412899307907,1.1713778678094968,1.0823012526961975,1.131770716747269,1.1262528517981991,1.1887195417657495,1.2083807879826054,1.1111144325695932,1.1447300349827856,1.221573316026479,1.1487594983773306,1.1041839976678602,1.2342127508018166,1.1100384659366682
1.1073456642916426,1.123799211345613,1.102224378613755,1.1059375578770414,1.1126527208834887,1.1232332345098257,1.1153675622772425,1.1317460897844285,1.015861781546846,1.0638759775320068,1.0778735309140757,1.1252197910798714,1.118261813884601,1.0782211445039138,1.077139689354226,1.1318181201349944,1.0958295273594558,1.0601080472115427,1.162138274346944,1.0839396013179794
1.0373557472485118,1.0896062923129648,1.0132145798415877,1.0952224567299709,1.0603012965293601,1.0743882958777249,1.0652815477224067,1.0659898004960269,0.951567618525587,0.9895577238639817,1.0534214571816847,1.0634574756259099,1.0709133757045493,1.0780703474301845,1.023485706653446,1.0832261086907238,1.0669538847869262,1.02913991198875,1.1055998571682721,0.9911921729217283
1.0313768145279028,1.047480565495789,0.9644940436119214,1.0036255459999666,0.9952242866856977,0.9941961731528863,0.9963286674465053,1.036818576278165,0.9277539829490706,0.9476086777285673,0.9893844741745852,1.0459868640755303,0.9955370634561405,0.9890261893160641,0.9867851238814183,1.0238631404936314,1.005240507191047,0.9929430980118923,1.0336281128693372,0.9535855804570019
0.9770075537380762,1.023344019195065,0.9573870651656762,0.9398025763803162,0.9475562995648943,0.9813205014215782,0.9886120644514449,0.9849638809682801,0.9481234627310187,0.9152071791468188,0.9684872003272176,1.00935606675921,0.9836615144158714,0.9551952931797132,0.9746306039160118,1.0139027197146788,0.9809272749116644,0.9644001113483682,0.9950094351079315,0.9286986176739447
0.9463092215009965,0.9726380160427652,0.9598322396632284,0.9310292568989098,0.9405688568367623,0.9515811154269613,0.9391592409228906,0.9522140646586195,0.9282171208178625,0.8705684401211329,0.9312859860365279,0.9501016697613522,0.9608472767868079,0.9446556344046257,0.8801071566995233,0.9683490296010859,0.9504236504435539,0.9359148589428514,0.9583226710674353,0.8763643327401951
0.9207056018640287,0.9490058763185516,0.9027787531958893,0.8852883345680311,0.88160072080791,0.8770494533819146,0.9160629743128084,0.9138119523995556,0.8733187046018429,0.7705416251556017,0.9156749794492498,0.9373337316792458,0.8902174046961591,0.9202170737553388,0.8816393977613188,0.8867288178880699,0.9315582273993641,0.9094203141867183,0.9275293286773376,0.8291280199191533
0.9252050238428637,0.9066931683919393,0.8475124813849106,0.8628089642734267,0.8479081952827983,0.8743793858448043,0.8616955295437947,0.9185277302749455,0.8635814090375789,0.7883818833506666,0.8460614014766179,0.9128082531387918,0.8558349938830361,0.8699079984216951,0.8563229930005036,0.892629643145483,0.8939728934783489,0.9057447336963378,0.8752088936162181,0.7710278462036513
0.8840866517275572,0.8984920974471606,0.86980967852287,0.8029798655188642,0.8477572682895698,0.8559518855181523,0.8548982753418386,0.9212372405454516,0.8340199702652171,0.760587336786557,0.7811642832821235,0.8677022983320057,0.8398155005997978,0.8218679801793769,0.841870756004937,0.8313647358445451,0.9353723006788641,0.904108849412296,0.843096730299294,0.8248860844760202
0.8604723570169881,0.8408351586549543,0.8226845305762254,0.7674894988886081,0.8218739584553987,0.7896281441790052,0.83023063512519,0.8751176820951514,0.8091759009985253,0.7156093654921278,0.7708220834028907,0.8682473951485008,0.8298494389164262,0.7949623462045565,0.8104283654247411,0.8052983505185694,0.8494304204941727,0.8839017692953348,0.8205827349447645,0.7345916103222407
0.8209815747686662,0.8066928295302205,0.7881513863685541,0.7610978347365744,0.8049974834430031,0.7705972897238098,0.7997030350379646,0.8730542888515629,0.8198566167848185,0.7257304927334189,0.7859889822429977,0.8651097779511474,0.8156565341632813,0.8067011705134064,0.8061016729916446,0.77939243032597,0.8175099377403967,0.8419413695228286,0.7666124842362478,0.6979223688831553
0.81097539619077,0.7722378381877206,0.7823192209471017,0.7757444438175298,0.7468991050845943,0.72735909052426,0.7821286750258878,0.7990767435403541,0.7777777399751358,0.7266485583386384,0.7388262280146591,0.8139711752301082,0.8111700378358364,0.7369635262875818,0.7408977003651671,0.7290640138089657,0.8238887632614933,0.878121655783616,0.7409287974587642,0.6883362925727852
0.7699878496932797,0.7294074643286876,0.7530192055273801,0.704764214460738,0.7270887311897241,0.7343442051787861,0.794867885299027,0.7924959439551458,0.7718593805911951,0.6896335313795134,0.7260001270915382,0.8559730957495049,0.768308115308173,0.7647558973403648,0.7237042263732292,0.7323420948814601,0.783722133433912,0.818558857543394,0.732501425605733,0.668913864181377
