NN-0,NN-1,NN-2,NN-3,NN-4,NN-5,NN-6,NN-7,NN-8,NN-9,NN-10,NN-11,NN-12,NN-13,NN-14,NN-15,NN-16,NN-17
88.71950733661652,94.9201670512557,90.91147036105394,81.6492702588439,95.32099148631096,93.54015927016735,86.85589199513197,86.42174161225557,83.47389730811119,95.9087900519371,86.42139510065317,86.45733881741762,86.14830308407545,87.87090229988098,88.65663755685091,86.90518391877413,89.43453124165535,88.89443400502205
27.60560762695968,27.57151059061289,27.23429599404335,22.717957204207778,26.50199800543487,26.978032048791647,28.126490084454417,27.603661002591252,25.947525784373283,28.386328529566526,28.218966268002987,29.436931231990457,26.18584157153964,26.166203601285815,26.8546501416713,27.578313330188394,25.665767507627606,24.85335535183549
15.626837389543653,15.285065765492618,15.414888396859169,14.649850598536432,15.170526403933764,15.10045163333416,16.222558546811342,15.194831876084208,14.798041289672256,15.582943882793188,15.585917309857905,16.4378126161173,14.866154688410461,15.052488384768367,15.746567180380225,15.82610603235662,15.044104631990194,14.52876925561577
12.687335974536836,12.296641692519188,12.654317921027541,12.460660836659372,12.484725013375282,12.727263901382685,12.901990981772542,12.3198435138911,12.446663021109998,12.887096631340683,12.576054978184402,13.269892128184438,12.228634021244943,12.540394356939942,13.296621388290077,13.23982189875096,12.393362910952419,12.207787424325943
11.082235731184483,10.685495843645185,11.089020585641265,11.221870234701782,11.113701448775828,11.43697704654187,11.342723141424358,10.889389734715223,11.174562938511372,11.535021339543164,11.038323879241943,11.564200908876956,10.866924460045993,11.361162800807506,11.945472660008818,11.87202172074467,10.859948767814785,10.8679354544729
10.015240126289427,9.599436012562364,9.945848688017577,10.387396737001836,10.157442264258862,10.54218168463558,10.195209603756666,9.996623174287379,10.161039050668478,10.535038812551647,9.998318010941148,10.562823329586536,9.941964026074857,10.488124794792384,10.936542477458715,10.902705846820027,9.964213659521192,9.889934578444809
9.175540244206786,8.68719644472003,9.155333635862917,9.721200754400343,9.356157990638167,9.792397565208375,9.351834480185062,9.063438698183745,9.325227563269436,9.837070977315307,9.215089849196374,9.63285893946886,9.146158112213016,9.62659295881167,10.28729920880869,10.098904512356967,9.072673148475587,9.08668282488361
8.36083877691999,7.917465660255402,8.40589594701305,9.085951162967831,8.765563164837658,9.108361903578043,8.689191052224487,8.362750372849405,8.664400303270668,9.098513529170305,8.615761344321072,8.95075225038454,8.606177137233317,9.034307736437768,9.64947206620127,9.510309921111912,8.395245680119842,8.411625402513891
7.6232704925350845,7.227586359251291,7.664945473428816,8.603096037171781,7.962016263045371,8.541040433570743,7.9000706118531525,7.788360679289326,7.980178835336119,8.509142868686467,7.92634049244225,8.303577535785735,7.947555605787784,8.346009097527713,9.07488365098834,8.881190900690854,7.665521564427763,7.727167473640293
6.9344991482794285,6.5798195051029325,7.078512749169022,8.12652730382979,7.433901140699163,7.920697969384491,7.313888684147969,7.0732079721055925,7.4223554083146155,7.966126196086407,7.3905749609693885,7.61018035793677,7.344417679589242,7.749610698781908,8.57853029947728,8.35594728635624,7.057821518741548,7.060211177449673
6.368715594755486,6.003215346019715,6.480079814791679,7.660306634614244,6.930380730424076,7.2647009992506355,6.67400430329144,6.411683556623757,6.704099455382675,7.389265662524849,6.6794384946115315,7.112453480251133,6.772717481479049,7.109037529444322,7.973541232291609,7.90130457142368,6.486366347875446,6.502530472818762
5.835632182657719,5.541240183869377,5.962237634230405,7.277443656697869,6.512597339693457,6.759632165543735,6.073635621229187,5.878751809243113,6.171556259039789,6.846542676910758,6.217003529891372,6.484546610387042,6.201151688117534,6.523060000501573,7.478308807592839,7.369389110244811,5.846469329902902,5.991907825227827
5.355849749408662,5.099199496675283,5.4702304932288826,6.697815631516278,6.010821869131178,6.1711705040652305,5.559411426074803,5.353695611003786,5.65774435037747,6.307970604160801,5.625306395580992,5.966060447273776,5.729610588867217,6.045824075350538,6.947765823453665,6.8442440568469465,5.252932314993814,5.497035544132814
4.890217418782413,4.727421218296513,4.978096039732918,6.274951788131148,5.609228646848351,5.688888330711052,5.114194181980565,4.871417182730511,5.131431562360376,5.819470027927309,5.233244788134471,5.408813113346696,5.175471663009375,5.573214121628553,6.508400070946664,6.314082918688655,4.829809440067038,5.128399781882763
4.483703763922676,4.408996105426922,4.61625182419084,5.797012777533382,5.314205629983917,5.20609882264398,4.621025428408757,4.38033611048013,4.756900338688865,5.414587490726262,4.762176547665149,5.040875725215301,4.7621814522426575,5.146958291530609,6.033356790430844,5.831622373312712,4.400059670675546,4.822694804985076
4.180328257381916,4.154633639845997,4.312292639398947,5.414243540493771,4.970407304121181,4.7477477786596864,4.241443614242598,3.9777504331432283,4.250447637634352,4.956814841832966,4.373296658275649,4.482896478846669,4.432585338829085,4.748358644312248,5.656810448737815,5.4155282464344054,4.059805121971294,4.422869726084173
3.835148542188108,3.8722240899223834,4.0090486174449325,4.979855158831924,4.681587006198242,4.380776229780167,3.89151968434453,3.801679164171219,3.9481380032375455,4.615025976672769,4.044725435320288,4.167941119521856,4.046425088308752,4.450839433819056,5.227533391676843,5.023089248454198,3.730071516474709,4.126475427066907
3.5861775148659945,3.636776963248849,3.7816156996414065,4.645248956279829,4.387673880439252,4.092477687634528,3.6183360749855638,3.3615981268230826,3.6906778186094016,4.265855435747653,3.7992755558807403,3.7800881369039416,3.8078205010388047,4.1563517660833895,4.885824516881257,4.640257499413565,3.5099858110770583,3.8875313312746584
3.2713163022417575,3.4505993467755616,3.5382559704594314,4.348054327536374,4.132826144807041,3.8074766097124666,3.393740660743788,3.1432031316217035,3.3691231079865247,4.036855656886473,3.515172846149653,3.463167865294963,3.5393808404915035,3.8813150669448078,4.587625798303634,4.337871731957421,3.3200587863102555,3.596840442623943
3.0228062921669334,3.1093821635004133,3.2925861566327512,4.092306075850502,3.982534426962957,3.54647906543687,3.2227191973943263,2.9387626748066396,3.1460332586430013,3.710378730436787,3.3026037092786282,3.1643920871429145,3.346647687489167,3.667040441185236,4.283579662442207,3.984888064209372,3.1420360524207354,3.279724419815466
2.808143061120063,2.9626426030881703,3.052019930910319,3.893140723928809,3.792245399672538,3.326198485912755,2.98604777129367,2.779367009876296,2.92606561887078,3.5338148691225797,3.1170577814336866,3.0015958102885634,3.1097149013075978,3.410378031199798,4.0181140042841434,3.7369492121506482,2.9378916500136256,3.1527315620332956
2.7138593636918813,2.8062245545443147,2.876793206902221,3.6268001161515713,3.558306052116677,3.133294061291963,2.812598059535958,2.558348620077595,2.7261670329608023,3.294332973426208,2.96699347672984,2.8100119209848344,2.9324214712250978,3.185652292566374,3.759285193635151,3.461142171174288,2.7736567410174757,3.0227497778832912
2.5472376472316682,2.6192944701761007,2.78738383250311,3.3587829663883895,3.440293378662318,2.969640628201887,2.665478403912857,2.510285658761859,2.5650210324674845,3.0545444320887327,2.76137846079655,2.626001157797873,2.7241328528616577,3.042053148848936,3.575837610056624,3.2189177076797932,2.6526409476064146,2.8067246335558593
2.405870840535499,2.480809196131304,2.6163902466651052,3.1900730817578733,3.2580086826346815,2.77229936234653,2.515416071866639,2.319074440514669,2.377225761767477,2.9341674253810197,2.611186972935684,2.553210940444842,2.616969275055453,2.8849246725440025,3.333337905583903,3.090582184959203,2.5368548337137327,2.6357327171135694
2.261296269716695,2.3782204531598836,2.5178934605792165,3.040779083268717,3.1057210883591324,2.6862220724578947,2.446401974419132,2.247841545380652,2.308039578492753,2.77023463556543,2.4473194319289178,2.425457156379707,2.4949692382942885,2.8173054666258395,3.1305606144014746,2.9653560244478285,2.431165707530454,2.505181301617995
2.2032563546672463,2.3426283826120198,2.403335116105154,2.825075102970004,2.9326711434405297,2.534984687808901,2.291370865656063,2.09406863048207,2.1660283349920064,2.5936337949242443,2.3610108317807317,2.2908106381073594,2.386236503487453,2.666399105102755,2.9604652707930654,2.681239476893097,2.3573958934284747,2.382625286350958
2.0972188190789893,2.2600225005298853,2.3034904666710645,2.6912369591882452,2.7928499612025917,2.4638606591615826,2.2059579235501587,2.044146192492917,2.0913459029980004,2.455761469202116,2.250121332006529,2.198106340947561,2.2406857976457104,2.5025480368640274,2.834668781608343,2.521248837467283,2.3036691029556096,2.3317940898705274
2.0827923828037456,2.161457529873587,2.260419438709505,2.561182928038761,2.6847717812051997,2.2910201782360673,2.149093785788864,1.998268147232011,1.981632812996395,2.344637389178388,2.184730297536589,2.0901145867537707,2.113044894649647,2.4230471928603947,2.689628299092874,2.410405649105087,2.2047140391077846,2.242328692227602
1.958554113516584,2.0826396910706535,2.2001411381643265,2.453969459864311,2.6361207824666053,2.2126278545474634,2.048332301317714,1.9502009092830122,1.90606628137175,2.3547837394289672,2.073895251727663,2.056317284470424,2.1437332179630175,2.3251024708151817,2.5285969672258943,2.377550079720095,2.1256859180284664,2.213090035598725
1.9343786891549826,2.046686244313605,2.0732053420506418,2.3346103415824473,2.463358778040856,2.065339902532287,1.9838398596039042,1.8687264597974718,1.8583006424596533,2.2129292441532016,2.025246865232475,1.9644604489440098,2.033436889294535,2.186436126474291,2.45324102207087,2.224224217236042,2.0731880699750036,2.1066700011724606
1.8264935004990548,2.017648688983172,2.066111807245761,2.254213540465571,2.4173321219859645,2.027385072200559,1.9233703154604882,1.8442490411689505,1.7669612263562158,2.111425241921097,1.943129794439301,1.9288514552172273,1.9396895498503,2.1443539971951395,2.3638410132844,2.240383667172864,2.0077173630706966,2.0074317909311503
1.806968577671796,1.9206697478657588,2.005149253993295,2.1974137857323512,2.293451988371089,1.934570418088697,1.9075148327974603,1.7621868883725256,1.7724253007909283,2.068978276103735,1.9104615155374631,1.8678379897028208,1.8741066640941426,2.0342767911497504,2.2301334507064894,2.0996755650267005,1.9204507450340316,1.8896514641819522
1.796765833045356,1.884108581696637,1.9989567656302825,2.0988221066072583,2.231648587039672,1.935854846611619,1.830555692082271,1.7213648423785344,1.796262813033536,1.9986973642371595,1.8250495670363307,1.8322153455810621,1.8294542090734467,2.0230722796404734,2.2572597643593326,2.0106482302071527,1.9075291805202141,1.934791443636641
1.7083856023382396,1.9048344203038141,1.9103643916314468,2.059715482755564,2.1983587800059468,1.9006807069526985,1.8152230714913458,1.7422381980577484,1.7365986969089136,1.9454387224977836,1.8120809140382335,1.8283951408229768,1.7737505967961624,1.9841079545440152,2.129893553792499,1.9704567799344659,1.788683602004312,1.8371917689219117
1.7382740444736555,1.8071824447251856,1.8535730947041884,2.0437855975469574,2.13327181013301,1.8146181574556977,1.7522582816891372,1.7153616066789255,1.7436001768801361,1.8805626158136874,1.7360557590145618,1.7042689255904406,1.7746993886539713,1.910697286366485,2.112308268318884,1.9073296737624332,1.7878196212695912,1.7872598273679614
1.6678458638489246,1.7745411343639717,1.8823654795996845,1.9732184817548841,2.008944538072683,1.7322384123690426,1.7205014135688543,1.7255456197308376,1.628281912067905,1.877181587740779,1.699474573484622,1.7429532668320462,1.6881910797674209,1.8593573766993359,2.0607457105070353,1.8247479089768603,1.6978994793025777,1.7200907334918156
1.6527447043918073,1.762690544128418,1.8902882868424058,1.9535710300551727,1.9921358522260562,1.7213330008089542,1.7083718632347882,1.6529708782909438,1.6301333489827812,1.7451232131570578,1.6747015747241676,1.675109273288399,1.683021308039315,1.795912257861346,1.985471572726965,1.8065503722755238,1.7111137413885444,1.7254549879580736
1.626711138524115,1.714462271425873,1.8235368854366243,1.845962891005911,2.0296979610575363,1.757126158918254,1.716900851461105,1.683074911008589,1.5981414910638705,1.7459284976357594,1.6504034884274006,1.657028121757321,1.6530396055895835,1.844988188589923,1.9187320176279172,1.7722659386927262,1.6975271380506456,1.6335980267031118
1.6438275792170316,1.6010565912583843,1.7391724344342947,1.7940076778177172,1.878974391380325,1.6962239957647398,1.6078539282316342,1.64761012874078,1.5719476920785382,1.8055638698861003,1.639625502168201,1.6263389508239925,1.6358890391420573,1.795671592000872,1.8866033776430413,1.755287570063956,1.6695469096302986,1.6332488871412352
1.6290544093353674,1.6264845529804006,1.7047394729452208,1.7728551571490243,1.8659644410945475,1.6939145445358008,1.6931242790305987,1.5969638710375875,1.548628167132847,1.6819253362482414,1.6134352900553495,1.6425587151898071,1.5870474502444267,1.791770705487579,1.8487205199198797,1.763505321694538,1.620354371261783,1.7134576031239703
1.639373604208231,1.6076011847471818,1.6636899842415005,1.8116025532362983,1.8673543595941737,1.6714227152988315,1.639008762431331,1.5495107023743913,1.5323509597219527,1.653076991206035,1.623850197182037,1.5765959315467626,1.6410369272343814,1.8165668834699318,1.8136421830859035,1.704554786090739,1.5929697055835277,1.627825868083164
1.5806910949759185,1.6003420652123168,1.74730824038852,1.7162920865230262,1.8004583839792758,1.640481090405956,1.6395115134073421,1.5854290378047153,1.5793189458781853,1.7175052320817485,1.5718024047091603,1.6323534122202545,1.5982504052808508,1.766771755181253,1.7723037548130378,1.7030333703150973,1.6370095865568146,1.6337778947781771
1.5441755127394572,1.6432714280672371,1.6494169934885576,1.678462786716409,1.809620908810757,1.6641905525466427,1.648814739775844,1.6445509247714654,1.499933289596811,1.632162238121964,1.5804664723109454,1.5754967279499397,1.6136957543203607,1.6820648004068062,1.7408356751548126,1.6748623008606955,1.637480940669775,1.5794610645389184
1.5384568516165018,1.6416562936501577,1.5986772225005552,1.6708755503641441,1.758212441462092,1.5722659562015906,1.5942190013593063,1.5445011388510466,1.4794295588508248,1.604646458174102,1.5371190222213045,1.5880800974555314,1.5402872051345184,1.6375390224857256,1.688335042912513,1.622289487393573,1.5898850619560108,1.5762511388165876
1.5291752448538318,1.6026243566302583,1.6533238047268242,1.6670864570187405,1.7126021881122142,1.64998469944112,1.5680888923816383,1.5597107462817803,1.5484435447724536,1.5641660579713061,1.5306871453067288,1.5355450831120834,1.5497092839796096,1.6923838111106306,1.6560971499420702,1.6519083532039076,1.590551762841642,1.596530482522212
1.4989362218184397,1.5409195170504972,1.6080994217190892,1.6014732477487996,1.626430914271623,1.556662334362045,1.5792994855437428,1.4988526141969487,1.4873745465883985,1.5969113927567378,1.523107665241696,1.5844780500046909,1.4972860297420993,1.6128521438222378,1.6382632772438228,1.6065692737465724,1.5242244197288528,1.4966109083034098
1.49245290691033,1.5006857020780444,1.6089539547683671,1.6129772709682584,1.657658143201843,1.5615210628602654,1.5622568267863244,1.518777895369567,1.4963431087089702,1.5952536455588415,1.5038388022221625,1.4912769393995404,1.5256508825113997,1.6333841296145692,1.6299768361495808,1.594612239394337,1.5445323603926226,1.594855852657929
1.5141014738474041,1.5671210491564125,1.5742108813719824,1.6161474721739069,1.5738476156257093,1.6855984335998073,,1.501481260289438,1.5311201569857076,1.5786363200750202,1.48383399983868,1.5571525925770402,1.4938419122481719,1.5830577589804307,1.5736275764647871,1.613024711725302,1.5738538173027337,1.5521670746384189
1.5207713730633259,1.5118960696272552,1.5411028189118952,1.606026413734071,1.625305317225866,1.5538899019593373,,1.4915783285396174,,1.5858065861975774,1.4669718799414113,1.4773869053460658,1.5156427748734131,1.570027137058787,1.605055024730973,1.575272437883541,1.535755168646574,1.5244262418709695
1.5095545036019757,1.464306679670699,1.5905023639788851,1.563397187856026,1.5901440524030477,1.4715647177072242,,,,,1.5256910958560184,1.5424250940559432,1.49447335395962,1.5296100561972708,1.573053216561675,1.6315107210539281,1.4719150055898353,1.485252388054505
