Axiom,1,2,3,4,5
mean_violations,2.5077730399369693e-05,0.0002982895592491,0.0001292009774033,0.0002629150634302,7.908150414300987e-05
majority,0.0,1.98997487421324e-05,0.0,0.0,0.0
majority_loser,5.8343808583259295e-05,0.0003863469942939,8.69712596206356e-05,0.0,0.0
fixed_majority,0.0,0.0,0.0,0.0,0.0
condorcet_winner,7.536577472566709e-05,0.0011870231674234,0.0008316032707968,0.0019041123916407,0.0003064375956047
condorcet_loser,0.000190536085821,0.0001441526968183,0.0,0.0,4.878524367060188e-05
dummetts_condition,0.0,2.65329983228432e-05,0.0001965604232799,0.0005226815474072,0.0002812756654956
solid_coalitions,0.0,2.65329983228432e-05,0.0001635114674877,0.0004380821840705,0.0002747726332806
consensus_committee,0.0,0.0,0.0,0.0,0.0
strong_unanimity,0.0,0.0,0.0,0.0,0.0
local_stability,0.0,0.002159892589922,0.0004186215474626,0.0004258591316386,0.0002747726332806
strong_pareto_efficiency,8.717797887081322e-06,0.000732710038146,0.000416672533292,0.0001923642378406,0.0003263372488699
