Axiom,1,2,3,4,5
mean_violations,2.6388076445857073e-05,0.000183742903388,0.0002804728003488,0.0001490199387624,5.475444810037681e-05
majority,0.0,1.4282856857085702e-05,0.0,0.0,0.0
majority_loser,6.8e-05,0.0003159430328397,9.75499871860576e-05,8.717797887081348e-06,0.0
fixed_majority,0.0,0.0,0.0,0.0,0.0
condorcet_winner,0.0001166876171665,0.0009570370943699,0.0022438850237924,0.0009090192517213,0.0003610817082046
condorcet_loser,0.0002302259759453,3.1240998703626626e-05,0.0,0.0,1.2e-05
dummetts_condition,0.0,1.8330302779823365e-05,0.0003092183694414,0.0003492334462791,0.0001419154677968
solid_coalitions,0.0,1.8330302779823365e-05,0.0002215851980616,0.0003111976863667,0.0001471189994528
consensus_committee,0.0,0.0,0.0,0.0,0.0
strong_unanimity,0.0,0.0,0.0,0.0,0.0
local_stability,0.0,0.0008914953729549,0.0003960757503306,0.0003351656306962,0.0001471189994528
strong_pareto_efficiency,8.717797887081348e-06,0.0004133521501093,0.0004872124793147,0.0001257934815481,7.186097689288673e-05
