Axiom,1,2,3,4,5
mean_violations,2.477735569773136e-05,0.0001452037610787,0.0002064041610189,0.0002928449227156,9.867401878646214e-05
majority,0.0,0.0,1.8330302779823365e-05,0.0,1.8330302779823365e-05
majority_loser,0.0,0.0,0.0,0.0,0.0
fixed_majority,0.0,1.907878402833892e-05,2.90516780926679e-05,8.717797887081348e-06,0.0
condorcet_winner,8.908422980528036e-05,0.0014483977354304,0.0014558901057428,0.0011103801150957,0.000190777357147
condorcet_loser,0.0002012361796496,0.0001091787525116,0.0,8.588364221433555e-05,0.0001257934815481
dummetts_condition,0.0,0.0,0.0001606984754128,0.0007705582392006,0.000306881084461
solid_coalitions,0.0,0.0,0.0001076847250077,0.0005892232174651,0.000306881084461
consensus_committee,0.0,0.0,0.0,0.0,0.0
strong_unanimity,0.0,0.0,0.0,0.0,0.0
local_stability,0.0,0.0001703643155123,0.0006978681823955,0.0010957280684549,0.000306881084461
strong_pareto_efficiency,1.4282856857085702e-05,0.0,1.8330302779823365e-05,0.0,1.8330302779823365e-05
