Axiom,1,2,3,4,5
mean_violations,0.0,5.97515517278363e-06,1.11251334842024e-05,1.702793038578516e-05,7.206516793676372e-06
majority,0.0,0.0,0.0,0.0,0.0
majority_loser,0.0,1.2e-05,1.2e-05,0.0,0.0
fixed_majority,0.0,0.0,0.0,0.0,0.0
condorcet_winner,0.0,7.364781055808787e-05,8.340263784797217e-05,6.705221845696085e-05,2.039607805437114e-05
condorcet_loser,0.0,0.0,0.0,0.0,0.0
dummetts_condition,0.0,0.0,0.0,3.893584466786516e-05,3.168595903551163e-05
solid_coalitions,0.0,0.0,4.336808689942019e-19,4.363484845854108e-05,3.168595903551163e-05
consensus_committee,0.0,0.0,0.0,0.0,0.0
strong_unanimity,0.0,0.0,0.0,0.0,0.0
local_stability,0.0,6.308724118234998e-05,7.858753081755038e-05,6.311893535223482e-05,3.168595903551163e-05
strong_pareto_efficiency,0.0,1.7320508075688777e-05,8.340263784797217e-05,6.705221845696085e-05,2.039607805437114e-05
