Axiom,1,2,3,4,5
mean_violations,0.0,2.5435707314945468e-05,0.0,0.0001038337832569,0.0
majority,0.0,0.0,0.0,0.0,0.0
majority_loser,0.0,0.0,0.0,0.0,0.0
fixed_majority,0.0,0.0,0.0,0.0,0.0
condorcet_winner,0.0,0.0002797927804644,0.0,0.0011421716158266,0.0
condorcet_loser,0.0,0.0,0.0,0.0,0.0
dummetts_condition,0.0,0.0,0.0,0.0,0.0
solid_coalitions,0.0,0.0,0.0,0.0,0.0
consensus_committee,0.0,0.0,0.0,0.0,0.0
strong_unanimity,0.0,0.0,0.0,0.0,0.0
local_stability,0.0,0.0,0.0,0.0,0.0
strong_pareto_efficiency,0.0,0.0,0.0,0.0,0.0
