Axiom,1,2,3,4,5
mean_violations,7.925270806437589e-07,0.000158835743422,0.001006882940663,0.0009453932847285,0.0006425034713865
majority,0.0,0.0,0.0,0.0,0.0
majority_loser,0.0,0.0,0.0,0.0,0.0
fixed_majority,0.0,0.0,0.0005404590641297,0.0,8.717797887081348e-06
condorcet_winner,0.0,0.0016806712944534,0.0086520110956933,0.004821101533882,0.0006030058042838
condorcet_loser,8.717797887081348e-06,0.0001049952379872,0.0,0.0003069527650958,0.000511605316626
dummetts_condition,0.0,0.0,0.0001607358080827,0.0024727992235521,0.0022388032517396
solid_coalitions,0.0,0.0,9.057593499379402e-05,0.0015665963104769,0.0022388032517396
consensus_committee,0.0,0.0,0.0,0.0,0.0
strong_unanimity,0.0,0.0,0.0,0.0,0.0
local_stability,0.0,4.77912125813942e-05,0.0020812871017714,0.0033326746015775,0.0022388032517396
strong_pareto_efficiency,0.0,0.0,0.0,0.0,1.2e-05
