,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0102624,0.0,0.4,0.320912,0.045632,0.276864,0.217664,0.010272,0.010272,0.313872,0.010272,0.325232,0.31384,0.138896,0.313872,0.035376,0.010272,0.176784
Max Violations Committee,0.39995200000000003,0.4,0.0,0.32056,0.399776,0.375392,0.375024,0.399952,0.399952,0.342976,0.399952,0.295408,0.342992,0.38776,0.342976,0.39992,0.399952,0.383216
Random Choice,0.3211448,0.320912,0.32056,0.0,0.320176,0.320304,0.320624,0.321136,0.321136,0.319104,0.321136,0.319456,0.319104,0.3208,0.319104,0.320768,0.321136,0.319984
Borda ranking,0.053926399999999985,0.045632,0.399776,0.320176,0.0,0.260736,0.198448,0.053936,0.053936,0.320608,0.053936,0.318896,0.320576,0.140576,0.320608,0.051472,0.053936,0.179104
Plurality ranking,0.27924079999999996,0.276864,0.375392,0.320304,0.260736,0.0,0.118448,0.279248,0.279248,0.334832,0.279248,0.303008,0.334816,0.29928,0.334832,0.277696,0.279248,0.3128
STV,0.2210168,0.217664,0.375024,0.320624,0.198448,0.118448,0.0,0.221024,0.221024,0.316336,0.221024,0.325296,0.316304,0.259152,0.316336,0.221808,0.221024,0.27864
Approval Voting (AV),1.1199999999999998e-05,0.010272,0.399952,0.321136,0.053936,0.279248,0.221024,0.0,0.0,0.31016,0.0,0.329424,0.310128,0.141616,0.31016,0.045152,0.0,0.17672
Proportional Approval Voting (PAV),1.1199999999999998e-05,0.010272,0.399952,0.321136,0.053936,0.279248,0.221024,0.0,0.0,0.31016,0.0,0.329424,0.310128,0.141616,0.31016,0.045152,0.0,0.17672
Approval Chamberlin-Courant (CC),0.31016,0.313872,0.342976,0.319104,0.320608,0.334832,0.316336,0.31016,0.31016,0.0,0.31016,0.4,3.2e-05,0.336048,0.0,0.328336,0.31016,0.317552
Lexicographic Chamberlin-Courant (lex-CC),1.1199999999999998e-05,0.010272,0.399952,0.321136,0.053936,0.279248,0.221024,0.0,0.0,0.31016,0.0,0.329424,0.310128,0.141616,0.31016,0.045152,0.0,0.17672
Sequential Approval Chamberlin-Courant (seq-CC),0.3294168,0.325232,0.295408,0.319456,0.318896,0.303008,0.325296,0.329424,0.329424,0.4,0.329424,0.0,0.4,0.302272,0.4,0.310688,0.329424,0.320256
Monroe's Approval Rule (Monroe),0.31012799999999996,0.31384,0.342992,0.319104,0.320576,0.334816,0.316304,0.310128,0.310128,3.2e-05,0.310128,0.4,0.0,0.336016,3.2e-05,0.328304,0.310128,0.317536
Greedy Monroe,0.14160640000000002,0.138896,0.38776,0.3208,0.140576,0.29928,0.259152,0.141616,0.141616,0.336048,0.141616,0.302272,0.336016,0.0,0.336048,0.13048,0.141616,0.188448
Minimax Approval Voting (MAV),0.31016,0.313872,0.342976,0.319104,0.320608,0.334832,0.316336,0.31016,0.31016,0.0,0.31016,0.4,3.2e-05,0.336048,0.0,0.328336,0.31016,0.317552
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0451424,0.035376,0.39992,0.320768,0.051472,0.277696,0.221808,0.045152,0.045152,0.328336,0.045152,0.310688,0.328304,0.13048,0.328336,0.0,0.045152,0.176976
E Pluribus Hugo (EPH),1.1199999999999998e-05,0.010272,0.399952,0.321136,0.053936,0.279248,0.221024,0.0,0.0,0.31016,0.0,0.329424,0.310128,0.141616,0.31016,0.045152,0.0,0.17672
Random Serial Dictator,0.17672640000000006,0.176784,0.383216,0.319984,0.179104,0.3128,0.27864,0.17672,0.17672,0.317552,0.17672,0.320256,0.317536,0.188448,0.317552,0.176976,0.17672,0.0
NN,,0.0102624,0.39995200000000003,0.3211448,0.053926399999999985,0.27924079999999996,0.2210168,1.1199999999999998e-05,1.1199999999999998e-05,0.31016,1.1199999999999998e-05,0.3294168,0.31012799999999996,0.14160640000000002,0.31016,0.0451424,1.1199999999999998e-05,0.17672640000000006
