Method,Mean,Maj W,Maj L,Pareto,Mean,Cond W,Cond L,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.002876958381664697,0.0,0.0,0.0,0.002876958381664697,0.00018249816007358377,8.650000000000002e-05,0.0,0.0,0.0158215,0.0,0.0,0.0,0.0064995,0.014810460801567924
Borda,0.009082997357028751,0.0,0.0,0.0,0.009082997357028751,0.10569896564137432,0.0,0.0,0.0,0.0072299999999999994,0.0,0.0,0.0,0.0022600000000000003,0.00289
EPH,0.031631318716482046,0.0,0.0,0.0,0.031631318716482046,0.30366714651413945,0.003969996800127975,0.0,0.0,0.04596,0.0,0.0,0.0,0.0251,0.03251
SNTV,0.030013540012245623,0.0,0.0,0.0,0.030013540012245623,0.3858160301587936,0.004349990000399975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05
STV,0.022049768040047574,0.0,0.0,0.0,0.022049768040047574,0.2847369853205872,0.0019099992000319987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloc,0.0315097842547836,0.0,0.0,0.0,0.0315097842547836,0.3021471969121235,0.0039299984000639755,0.0,0.0,0.045899999999999996,0.0,0.0,0.0,0.02506,0.03259
CC,0.060937366289963754,0.0,1e-05,0.0,0.060937366289963754,0.5232957685692572,0.03940999320027198,0.0,0.0,0.08665,0.0,0.0,0.0,0.05234,0.09048
lex-CC,0.036110463642992675,0.0,0.0,0.0,0.036110463642992675,0.3598260333586657,0.004069994000239975,0.0,0.0,0.04706,0.0,0.0,0.0,0.02569,0.03279
seq-CC,0.053107374812699774,0.0,0.0,0.0,0.053107374812699774,0.4887058801647934,0.019569992400303975,0.0,0.0,0.07436999999999999,0.0,0.0,0.0,0.04444,0.06331
Monroe,0.0609265973976425,0.0,1e-05,0.0,0.0609265973976425,0.5231757729690811,0.03940999320027198,0.0,0.0,0.08665,0.0,0.0,0.0,0.05234,0.09046
Greedy M.,0.04449045512025668,0.0,0.0,0.0,0.04449045512025668,0.4264459241630335,0.009909992400303973,0.0,0.0,0.05991,0.0,0.0,0.0,0.034379999999999994,0.047729999999999995
PAV,0.03265821370222108,0.0,0.0,0.0,0.03265821370222108,0.31738678412863486,0.0040399940002399755,0.0,0.0,0.04606,0.0,0.0,0.0,0.0252,0.03187
MES,0.034096656256826625,0.0,0.0,0.0,0.034096656256826625,0.3358365345386185,0.003849996800127975,0.0,0.0,0.04634,0.0,0.0,0.0,0.025249999999999998,0.031979999999999995
MAV,0.07564481673040765,0.0,1e-05,0.0,0.07564481673040765,0.6725332774689012,0.07290967841286347,0.0,0.0,0.08665,0.0,0.0,0.0,0.05234,0.09893966161353546
RSD,0.06781101660548958,0.0,1e-05,0.0,0.06781101660548958,0.6218136934522619,0.05175977640894362,0.0,0.0,0.07746,0.0,0.0,0.0,0.04586,0.08463974601015958
Random,0.07626712153052333,0.0,1e-05,1e-05,0.07626712153052333,0.6719932826686933,0.0770696304147834,0.0,0.0,0.087669999600016,1.999920003199872e-05,1.999920003199872e-05,1.999920003199872e-05,0.054339999600015995,0.10031967001319944
